# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,514,65535)  #000002FF  srgba(0,0,2,1)
2,0: (0,0,9509,65535)  #000025FF  srgba(0,0,37,1)
3,0: (0,0,10280,65535)  #000028FF  srgba(0,0,40,1)
4,0: (0,0,13364,65535)  #000034FF  srgba(0,0,52,1)
5,0: (0,0,18504,65535)  #000048FF  srgba(0,0,72,1)
6,0: (0,0,21588,65535)  #000054FF  srgba(0,0,84,1)
7,0: (0,0,22102,65535)  #000056FF  srgba(0,0,86,1)
8,0: (0,0,27242,65535)  #00006AFF  srgba(0,0,106,1)
9,0: (0,0,28784,65535)  #000070FF  srgba(0,0,112,1)
10,0: (0,0,30069,65535)  #000075FF  srgba(0,0,117,1)
11,0: (0,0,32125,65535)  #00007DFF  srgba(0,0,125,1)
12,0: (0,0,36751,65535)  #00008FFF  srgba(0,0,143,1)
13,0: (0,0,40092,65535)  #00009CFF  srgba(0,0,156,1)
14,0: (0,0,42148,65535)  #0000A4FF  srgba(0,0,164,1)
15,0: (0,0,44204,65535)  #0000ACFF  srgba(0,0,172,1)
0,1: (0,0,46774,65535)  #0000B6FF  srgba(0,0,182,1)
1,1: (0,0,52171,65535)  #0000CBFF  srgba(0,0,203,1)
2,1: (0,0,56283,65535)  #0000DBFF  srgba(0,0,219,1)
3,1: (0,0,56283,65535)  #0000DBFF  srgba(0,0,219,1)
4,1: (0,0,57311,65535)  #0000DFFF  srgba(0,0,223,1)
5,1: (0,0,57825,65535)  #0000E1FF  srgba(0,0,225,1)
6,1: (0,0,60909,65535)  #0000EDFF  srgba(0,0,237,1)
7,1: (0,0,64507,65535)  #0000FBFF  srgba(0,0,251,1)
8,1: (0,0,64507,65535)  #0000FBFF  srgba(0,0,251,1)
9,1: (0,0,65278,65535)  #0000FEFF  srgba(0,0,254,1)
10,1: (0,0,65278,65535)  #0000FEFF  srgba(0,0,254,1)
11,1: (0,0,65535,65535)  #0000FFFF  blue
12,1: (0,257,0,65535)  #000100FF  srgba(0,1,0,1)
13,1: (0,257,0,65535)  #000100FF  srgba(0,1,0,1)
14,1: (0,257,1285,65535)  #000105FF  srgba(0,1,5,1)
15,1: (0,257,6425,65535)  #000119FF  srgba(0,1,25,1)
0,2: (0,257,52685,65535)  #0001CDFF  srgba(0,1,205,1)
1,2: (0,257,64764,65535)  #0001FCFF  srgba(0,1,252,1)
2,2: (0,1028,65278,65535)  #0004FEFF  srgba(0,4,254,1)
3,2: (0,2056,0,65535)  #000800FF  srgba(0,8,0,1)
4,2: (0,2313,12079,65535)  #00092FFF  srgba(0,9,47,1)
5,2: (0,2570,0,65535)  #000A00FF  srgba(0,10,0,1)
6,2: (0,3598,24672,65535)  #000E60FF  srgba(0,14,96,1)
7,2: (0,7453,514,65535)  #001D02FF  srgba(0,29,2,1)
8,2: (0,8224,36751,65535)  #00208FFF  srgba(0,32,143,1)
9,2: (0,8481,31611,65535)  #00217BFF  srgba(0,33,123,1)
10,2: (0,8995,0,65535)  #002300FF  srgba(0,35,0,1)
11,2: (0,13621,1285,65535)  #003505FF  srgba(0,53,5,1)
12,2: (0,14649,22359,65535)  #003957FF  srgba(0,57,87,1)
13,2: (0,14906,12336,65535)  #003A30FF  srgba(0,58,48,1)
14,2: (0,16191,46260,65535)  #003FB4FF  srgba(0,63,180,1)
15,2: (0,16962,10023,65535)  #004227FF  srgba(0,66,39,1)
0,3: (0,18504,0,65535)  #004800FF  srgba(0,72,0,1)
1,3: (0,19018,257,65535)  #004A01FF  srgba(0,74,1,1)
2,3: (0,20560,0,65535)  #005000FF  srgba(0,80,0,1)
3,3: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
4,3: (257,0,64507,65535)  #0100FBFF  srgba(1,0,251,1)
5,3: (257,257,6682,65535)  #01011AFF  srgba(1,1,26,1)
6,3: (257,257,15677,65535)  #01013DFF  srgba(1,1,61,1)
7,3: (257,257,59881,65535)  #0101E9FF  srgba(1,1,233,1)
8,3: (257,514,0,65535)  #010200FF  srgba(1,2,0,1)
9,3: (257,771,60652,65535)  #0103ECFF  srgba(1,3,236,1)
10,3: (257,19018,0,65535)  #014A00FF  srgba(1,74,0,1)
11,3: (514,514,41377,65535)  #0202A1FF  srgba(2,2,161,1)
12,3: (514,19275,771,65535)  #024B03FF  srgba(2,75,3,1)
13,3: (771,257,23901,65535)  #03015DFF  srgba(3,1,93,1)
14,3: (771,514,1028,65535)  #030204FF  srgba(3,2,4,1)
15,3: (771,18247,1028,65535)  #034704FF  srgba(3,71,4,1)
0,4: (1028,0,61937,65535)  #0400F1FF  srgba(4,0,241,1)
1,4: (1028,11308,2056,65535)  #042C08FF  srgba(4,44,8,1)
2,4: (1285,1028,32382,65535)  #05047EFF  srgba(5,4,126,1)
3,4: (1285,19275,26728,65535)  #054B68FF  srgba(5,75,104,1)
4,4: (1285,20560,39321,65535)  #055099FF  srgba(5,80,153,1)
5,4: (1542,0,0,65535)  #060000FF  srgba(6,0,0,1)
6,4: (1542,0,57054,65535)  #0600DEFF  srgba(6,0,222,1)
7,4: (1542,0,64764,65535)  #0600FCFF  srgba(6,0,252,1)
8,4: (1542,771,13878,65535)  #060336FF  srgba(6,3,54,1)
