# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,257,771,65535)  #000103FF  srgba(0,1,3,1)
2,0: (2827,2827,3084,65535)  #0B0B0CFF  srgba(11,11,12,1)
3,0: (7453,7710,6939,65535)  #1D1E1BFF  srgba(29,30,27,1)
4,0: (7453,34695,40606,65535)  #1D879EFF  srgba(29,135,158,1)
5,0: (7967,43690,49344,65535)  #1FAAC0FF  srgba(31,170,192,1)
6,0: (8224,28270,26471,65535)  #206E67FF  srgba(32,110,103,1)
7,0: (8224,53713,60395,65535)  #20D1EBFF  srgba(32,209,235,1)
8,0: (8995,10023,9766,65535)  #232726FF  srgba(35,39,38,1)
9,0: (8995,22616,23901,65535)  #23585DFF  srgba(35,88,93,1)
10,0: (9252,26728,37779,65535)  #246893FF  srgba(36,104,147,1)
11,0: (9509,25186,25700,65535)  #256264FF  srgba(37,98,100,1)
12,0: (9509,42405,41120,65535)  #25A5A0FF  srgba(37,165,160,1)
13,0: (9509,53199,53713,65535)  #25CFD1FF  srgba(37,207,209,1)
14,0: (10023,17476,17990,65535)  #274446FF  srgba(39,68,70,1)
15,0: (10023,22873,31354,65535)  #27597AFF  srgba(39,89,122,1)
0,1: (10280,27756,42148,65535)  #286CA4FF  srgba(40,108,164,1)
1,1: (10280,34181,48059,65535)  #2885BBFF  srgba(40,133,187,1)
2,1: (10280,43176,30069,65535)  #28A875FF  srgba(40,168,117,1)
3,1: (10280,50372,45232,65535)  #28C4B0FF  srgba(40,196,176,1)
4,1: (10280,54227,29041,65535)  #28D371FF  srgba(40,211,113,1)
5,1: (10280,58339,44461,65535)  #28E3ADFF  srgba(40,227,173,1)
6,1: (10537,28270,45746,65535)  #296EB2FF  srgba(41,110,178,1)
7,1: (10537,31868,33153,65535)  #297C81FF  srgba(41,124,129,1)
8,1: (10537,46260,60909,65535)  #29B4EDFF  srgba(41,180,237,1)
9,1: (10794,31868,26985,65535)  #2A7C69FF  srgba(42,124,105,1)
10,1: (10794,36237,30840,65535)  #2A8D78FF  srgba(42,141,120,1)
11,1: (11051,19275,23644,65535)  #2B4B5CFF  srgba(43,75,92,1)
12,1: (11051,19275,37779,65535)  #2B4B93FF  srgba(43,75,147,1)
13,1: (11051,25186,33153,65535)  #2B6281FF  srgba(43,98,129,1)
14,1: (11051,28013,33410,65535)  #2B6D82FF  srgba(43,109,130,1)
15,1: (11051,34438,57825,65535)  #2B86E1FF  srgba(43,134,225,1)
0,2: (11051,59110,61423,65535)  #2BE6EFFF  srgba(43,230,239,1)
1,2: (11308,22616,24672,65535)  #2C5860FF  srgba(44,88,96,1)
2,2: (11565,18504,21074,65535)  #2D4852FF  srgba(45,72,82,1)
3,2: (11565,27756,50372,65535)  #2D6CC4FF  srgba(45,108,196,1)
4,2: (11822,13364,20817,65535)  #2E3451FF  srgba(46,52,81,1)
5,2: (12079,16962,17990,65535)  #2F4246FF  srgba(47,66,70,1)
6,2: (12079,19789,28527,65535)  #2F4D6FFF  srgba(47,77,111,1)
7,2: (12079,20046,30840,65535)  #2F4E78FF  srgba(47,78,120,1)
8,2: (12336,19789,26214,65535)  #304D66FF  srgba(48,77,102,1)
9,2: (12336,26471,37779,65535)  #306793FF  srgba(48,103,147,1)
10,2: (12336,28270,57311,65535)  #306EDFFF  srgba(48,110,223,1)
11,2: (12336,34438,40092,65535)  #30869CFF  srgba(48,134,156,1)
12,2: (12850,14135,16191,65535)  #32373FFF  srgba(50,55,63,1)
13,2: (12850,20817,14392,65535)  #325138FF  srgba(50,81,56,1)
14,2: (12850,22873,31354,65535)  #32597AFF  srgba(50,89,122,1)
15,2: (13107,13107,12593,65535)  #333331FF  srgba(51,51,49,1)
0,3: (13107,16705,17990,65535)  #334146FF  srgba(51,65,70,1)
1,3: (13107,25186,25957,65535)  #336265FF  srgba(51,98,101,1)
2,3: (13364,13878,12850,65535)  #343632FF  srgba(52,54,50,1)
3,3: (13364,22359,24158,65535)  #34575EFF  srgba(52,87,94,1)
4,3: (13364,28013,25957,65535)  #346D65FF  srgba(52,109,101,1)
5,3: (13621,14135,12850,65535)  #353732FF  srgba(53,55,50,1)
6,3: (13621,14392,15420,65535)  #35383CFF  srgba(53,56,60,1)
7,3: (13878,13107,12336,65535)  #363330FF  srgba(54,51,48,1)
8,3: (13878,13878,13107,65535)  #363633FF  srgba(54,54,51,1)
9,3: (13878,13878,13878,65535)  #363636FF  grey21
10,3: (13878,14135,14906,65535)  #36373AFF  srgba(54,55,58,1)
11,3: (13878,18247,20817,65535)  #364751FF  srgba(54,71,81,1)
12,3: (13878,19018,23644,65535)  #364A5CFF  srgba(54,74,92,1)
13,3: (14135,13621,13107,65535)  #373533FF  srgba(55,53,51,1)
14,3: (14135,14135,13364,65535)  #373734FF  srgba(55,55,52,1)
15,3: (14135,15677,15420,65535)  #373D3CFF  srgba(55,61,60,1)
0,4: (14135,16448,13621,65535)  #374035FF  srgba(55,64,53,1)
1,4: (14135,17990,14135,65535)  #374637FF  srgba(55,70,55,1)
2,4: (14135,35209,60395,65535)  #3789EBFF  srgba(55,137,235,1)
3,4: (14392,14392,14392,65535)  #383838FF  grey22
4,4: (14392,15163,15420,65535)  #383B3CFF  srgba(56,59,60,1)
5,4: (14392,15677,13364,65535)  #383D34FF  srgba(56,61,52,1)
6,4: (14392,15934,17476,65535)  #383E44FF  srgba(56,62,68,1)
7,4: (14392,17476,14135,65535)  #384437FF  srgba(56,68,55,1)
8,4: (14392,17733,17990,65535)  #384546FF  srgba(56,69,70,1)
9,4: (14649,14392,13621,65535)  #393835FF  srgba(57,56,53,1)
10,4: (14649,14906,15163,65535)  #393A3BFF  srgba(57,58,59,1)
11,4: (14906,14392,13878,65535)  #3A3836FF  srgba(58,56,54,1)
12,4: (14906,14649,14135,65535)  #3A3937FF  srgba(58,57,55,1)
13,4: (14906,14649,14906,65535)  #3A393AFF  srgba(58,57,58,1)
14,4: (14906,14906,13878,65535)  #3A3A36FF  srgba(58,58,54,1)
15,4: (14906,15163,13878,65535)  #3A3B36FF  srgba(58,59,54,1)
0,5: (15420,14135,13364,65535)  #3C3734FF  srgba(60,55,52,1)
1,5: (15677,14135,15163,65535)  #3D373BFF  srgba(61,55,59,1)
2,5: (15677,15420,13878,65535)  #3D3C36FF  srgba(61,60,54,1)
3,5: (15677,15677,15934,65535)  #3D3D3EFF  srgba(61,61,62,1)
4,5: (16448,13878,12593,65535)  #403631FF  srgba(64,54,49,1)
5,5: (16448,15934,14649,65535)  #403E39FF  srgba(64,62,57,1)
6,5: (16448,16191,16705,65535)  #403F41FF  srgba(64,63,65,1)
7,5: (16705,14135,15934,65535)  #41373EFF  srgba(65,55,62,1)
8,5: (16705,17733,12850,65535)  #414532FF  srgba(65,69,50,1)
9,5: (16705,19275,28013,65535)  #414B6DFF  srgba(65,75,109,1)
10,5: (16962,18504,23387,65535)  #42485BFF  srgba(66,72,91,1)
11,5: (16962,19275,11565,65535)  #424B2DFF  srgba(66,75,45,1)
12,5: (17219,17733,17476,65535)  #434544FF  srgba(67,69,68,1)
13,5: (17476,19275,17476,65535)  #444B44FF  srgba(68,75,68,1)
14,5: (17476,26471,17219,65535)  #446743FF  srgba(68,103,67,1)
15,5: (17733,15934,14135,65535)  #453E37FF  srgba(69,62,55,1)
0,6: (17733,15934,17733,65535)  #453E45FF  srgba(69,62,69,1)
1,6: (17733,20303,11308,65535)  #454F2CFF  srgba(69,79,44,1)
2,6: (17990,20560,17476,65535)  #465044FF  srgba(70,80,68,1)
3,6: (17990,22359,14135,65535)  #465737FF  srgba(70,87,55,1)
4,6: (18247,21331,13621,65535)  #475335FF  srgba(71,83,53,1)
5,6: (18761,21331,37265,65535)  #495391FF  srgba(73,83,145,1)
6,6: (18761,23130,47545,65535)  #495AB9FF  srgba(73,90,185,1)
7,6: (18761,29555,37522,65535)  #497392FF  srgba(73,115,146,1)
8,6: (18761,30326,47802,65535)  #4976BAFF  srgba(73,118,186,1)
9,6: (18761,51657,33667,65535)  #49C983FF  srgba(73,201,131,1)
10,6: (19018,13364,11308,65535)  #4A342CFF  srgba(74,52,44,1)
