# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,30583,3341,65535)  #00770DFF  srgba(0,119,13,1)
2,0: (257,41120,3598,65535)  #01A00EFF  srgba(1,160,14,1)
3,0: (514,514,257,65535)  #020201FF  srgba(2,2,1,1)
4,0: (1285,21845,5911,65535)  #055517FF  srgba(5,85,23,1)
5,0: (1542,31097,5654,65535)  #067916FF  srgba(6,121,22,1)
6,0: (3598,19789,24929,65535)  #0E4D61FF  srgba(14,77,97,1)
7,0: (3598,42919,15677,65535)  #0EA73DFF  srgba(14,167,61,1)
8,0: (4369,32125,40863,65535)  #117D9FFF  srgba(17,125,159,1)
9,0: (4369,33153,47802,65535)  #1181BAFF  srgba(17,129,186,1)
10,0: (5140,45746,24929,65535)  #14B261FF  srgba(20,178,97,1)
11,0: (5397,20817,33153,65535)  #155181FF  srgba(21,81,129,1)
12,0: (5654,5654,5654,65535)  #161616FF  srgba(22,22,22,1)
13,0: (5654,19532,12850,65535)  #164C32FF  srgba(22,76,50,1)
14,0: (5654,32896,20303,65535)  #16804FFF  srgba(22,128,79,1)
15,0: (6168,32639,29812,65535)  #187F74FF  srgba(24,127,116,1)
0,1: (6939,21845,15677,65535)  #1B553DFF  srgba(27,85,61,1)
1,1: (6939,56797,21331,65535)  #1BDD53FF  srgba(27,221,83,1)
2,1: (7453,20817,38550,65535)  #1D5196FF  srgba(29,81,150,1)
3,1: (8224,19275,17990,65535)  #204B46FF  srgba(32,75,70,1)
4,1: (8481,8481,8224,65535)  #212120FF  srgba(33,33,32,1)
5,1: (8481,13364,28784,65535)  #213470FF  srgba(33,52,112,1)
6,1: (8995,34181,57825,65535)  #2385E1FF  srgba(35,133,225,1)
7,1: (8995,57054,31868,65535)  #23DE7CFF  srgba(35,222,124,1)
8,1: (9509,13621,23387,65535)  #25355BFF  srgba(37,53,91,1)
9,1: (9509,50886,43690,65535)  #25C6AAFF  srgba(37,198,170,1)
10,1: (9766,15163,30069,65535)  #263B75FF  srgba(38,59,117,1)
11,1: (10280,12593,40606,65535)  #28319EFF  srgba(40,49,158,1)
12,1: (10794,62451,4369,65535)  #2AF311FF  srgba(42,243,17,1)
13,1: (11051,21331,49344,65535)  #2B53C0FF  srgba(43,83,192,1)
14,1: (11051,59624,43947,65535)  #2BE8ABFF  srgba(43,232,171,1)
15,1: (12336,12336,12079,65535)  #30302FFF  srgba(48,48,47,1)
0,2: (12336,53456,62965,65535)  #30D0F5FF  srgba(48,208,245,1)
1,2: (12850,12850,13107,65535)  #323233FF  srgba(50,50,51,1)
2,2: (13107,13364,15934,65535)  #33343EFF  srgba(51,52,62,1)
3,2: (13364,13107,13107,65535)  #343333FF  srgba(52,51,51,1)
4,2: (13364,13621,13364,65535)  #343534FF  srgba(52,53,52,1)
5,2: (13621,13621,14392,65535)  #353538FF  srgba(53,53,56,1)
6,2: (13878,13878,13878,65535)  #363636FF  grey21
7,2: (13878,18504,24415,65535)  #36485FFF  srgba(54,72,95,1)
8,2: (14135,15163,19275,65535)  #373B4BFF  srgba(55,59,75,1)
9,2: (14135,16962,15677,65535)  #37423DFF  srgba(55,66,61,1)
10,2: (14392,14392,14392,65535)  #383838FF  grey22
11,2: (14649,14906,14649,65535)  #393A39FF  srgba(57,58,57,1)
12,2: (14906,14906,14906,65535)  #3A3A3AFF  srgba(58,58,58,1)
13,2: (14906,16191,13621,65535)  #3A3F35FF  srgba(58,63,53,1)
14,2: (15163,15163,14135,65535)  #3B3B37FF  srgba(59,59,55,1)
15,2: (15163,15163,15163,65535)  #3B3B3BFF  grey23
0,3: (15420,14392,15163,65535)  #3C383BFF  srgba(60,56,59,1)
1,3: (15420,15163,15934,65535)  #3C3B3EFF  srgba(60,59,62,1)
2,3: (15420,15163,16448,65535)  #3C3B40FF  srgba(60,59,64,1)
3,3: (15420,15163,16962,65535)  #3C3B42FF  srgba(60,59,66,1)
4,3: (15420,15420,15420,65535)  #3C3C3CFF  srgba(60,60,60,1)
5,3: (15420,16705,17476,65535)  #3C4144FF  srgba(60,65,68,1)
6,3: (15677,14392,13621,65535)  #3D3835FF  srgba(61,56,53,1)
7,3: (15677,15677,15677,65535)  #3D3D3DFF  grey24
8,3: (15934,13107,12850,65535)  #3E3332FF  srgba(62,51,50,1)
9,3: (15934,13878,16448,65535)  #3E3640FF  srgba(62,54,64,1)
10,3: (16191,13107,19275,65535)  #3F334BFF  srgba(63,51,75,1)
11,3: (16191,16191,16191,65535)  #3F3F3FFF  srgba(63,63,63,1)
12,3: (16191,16448,17219,65535)  #3F4043FF  srgba(63,64,67,1)
13,3: (16448,11822,39064,65535)  #402E98FF  srgba(64,46,152,1)
14,3: (16705,13107,22102,65535)  #413356FF  srgba(65,51,86,1)
15,3: (16962,12850,24929,65535)  #423261FF  srgba(66,50,97,1)
0,4: (16962,16448,16448,65535)  #424040FF  srgba(66,64,64,1)
1,4: (17219,12850,27242,65535)  #43326AFF  srgba(67,50,106,1)
2,4: (17219,16448,16705,65535)  #434041FF  srgba(67,64,65,1)
3,4: (17733,16191,15677,65535)  #453F3DFF  srgba(69,63,61,1)
4,4: (17990,16962,17733,65535)  #464245FF  srgba(70,66,69,1)
5,4: (18504,16191,14135,65535)  #483F37FF  srgba(72,63,55,1)
6,4: (19275,17219,19532,65535)  #4B434CFF  srgba(75,67,76,1)
7,4: (19789,16705,7967,65535)  #4D411FFF  srgba(77,65,31,1)
8,4: (20046,16448,22873,65535)  #4E4059FF  srgba(78,64,89,1)
9,4: (20303,58339,60138,65535)  #4FE3EAFF  srgba(79,227,234,1)
10,4: (20303,63736,12593,65535)  #4FF831FF  srgba(79,248,49,1)
11,4: (20560,16705,26471,65535)  #504167FF  srgba(80,65,103,1)
12,4: (20560,16962,34181,65535)  #504285FF  srgba(80,66,133,1)
13,4: (20817,13878,15934,65535)  #51363EFF  srgba(81,54,62,1)
14,4: (20817,13878,21074,65535)  #513652FF  srgba(81,54,82,1)
15,4: (21074,12593,19018,65535)  #52314AFF  srgba(82,49,74,1)
0,5: (21074,21074,21331,65535)  #525253FF  srgba(82,82,83,1)
1,5: (21331,12336,28270,65535)  #53306EFF  srgba(83,48,110,1)
2,5: (21331,13621,13364,65535)  #533534FF  srgba(83,53,52,1)
3,5: (21588,21074,7453,65535)  #54521DFF  srgba(84,82,29,1)
4,5: (22102,11051,19275,65535)  #562B4BFF  srgba(86,43,75,1)
5,5: (22359,56283,35723,65535)  #57DB8BFF  srgba(87,219,139,1)
6,5: (22616,11051,13621,65535)  #582B35FF  srgba(88,43,53,1)
7,5: (22616,51143,61937,65535)  #58C7F1FF  srgba(88,199,241,1)
8,5: (23130,23644,40606,65535)  #5A5C9EFF  srgba(90,92,158,1)
9,5: (23387,13878,7453,65535)  #5B361DFF  srgba(91,54,29,1)
10,5: (23387,21331,16962,65535)  #5B5342FF  srgba(91,83,66,1)
11,5: (23644,10794,7967,65535)  #5C2A1FFF  srgba(92,42,31,1)
12,5: (23901,41891,59881,65535)  #5DA3E9FF  srgba(93,163,233,1)
13,5: (24415,23644,26471,65535)  #5F5C67FF  srgba(95,92,103,1)
14,5: (24415,28013,54227,65535)  #5F6DD3FF  srgba(95,109,211,1)
15,5: (24415,56540,45746,65535)  #5FDCB2FF  srgba(95,220,178,1)
0,6: (24929,10794,37779,65535)  #612A93FF  srgba(97,42,147,1)
1,6: (24929,25186,18504,65535)  #616248FF  srgba(97,98,72,1)
2,6: (25186,20303,57311,65535)  #624FDFFF  srgba(98,79,223,1)
3,6: (25186,25443,22359,65535)  #626357FF  srgba(98,99,87,1)
4,6: (25186,28527,63479,65535)  #626FF7FF  srgba(98,111,247,1)
5,6: (25700,16705,17219,65535)  #644143FF  srgba(100,65,67,1)
6,6: (25700,21845,22616,65535)  #645558FF  srgba(100,85,88,1)
7,6: (26471,43947,14649,65535)  #67AB39FF  srgba(103,171,57,1)
8,6: (26985,17219,28527,65535)  #69436FFF  srgba(105,67,111,1)
9,6: (27242,25186,8995,65535)  #6A6223FF  srgba(106,98,35,1)
10,6: (27499,28527,20817,65535)  #6B6F51FF  srgba(107,111,81,1)
11,6: (27756,23644,32639,65535)  #6C5C7FFF  srgba(108,92,127,1)
12,6: (27756,28527,23387,65535)  #6C6F5BFF  srgba(108,111,91,1)
13,6: (27756,37522,39578,65535)  #6C929AFF  srgba(108,146,154,1)
14,6: (28270,10794,30069,65535)  #6E2A75FF  srgba(110,42,117,1)
15,6: (28270,24929,27499,65535)  #6E616BFF  srgba(110,97,107,1)
0,7: (28784,29041,27499,65535)  #70716BFF  srgba(112,113,107,1)
1,7: (29041,9509,47545,65535)  #7125B9FF  srgba(113,37,185,1)
2,7: (29041,17219,21845,65535)  #714355FF  srgba(113,67,85,1)
3,7: (29298,16962,37779,65535)  #724293FF  srgba(114,66,147,1)
4,7: (29298,60652,59367,65535)  #72ECE7FF  srgba(114,236,231,1)
5,7: (29555,11051,17476,65535)  #732B44FF  srgba(115,43,68,1)
6,7: (29555,13878,18247,65535)  #733647FF  srgba(115,54,71,1)
7,7: (29812,28527,7967,65535)  #746F1FFF  srgba(116,111,31,1)
8,7: (29812,29298,38807,65535)  #747297FF  srgba(116,114,151,1)
9,7: (30069,29812,31097,65535)  #757479FF  srgba(117,116,121,1)
10,7: (30326,31097,19018,65535)  #76794AFF  srgba(118,121,74,1)
11,7: (30583,10537,12336,65535)  #772930FF  srgba(119,41,48,1)
12,7: (30840,11051,4369,65535)  #782B11FF  srgba(120,43,17,1)
13,7: (30840,14135,6425,65535)  #783719FF  srgba(120,55,25,1)
14,7: (30840,16705,9252,65535)  #784124FF  srgba(120,65,36,1)
15,7: (31097,16705,16962,65535)  #794142FF  srgba(121,65,66,1)
0,8: (31611,16705,2570,65535)  #7B410AFF  srgba(123,65,10,1)
1,8: (31611,24158,38807,65535)  #7B5E97FF  srgba(123,94,151,1)
2,8: (31868,21331,4112,65535)  #7C5310FF  srgba(124,83,16,1)
3,8: (31868,32896,34181,65535)  #7C8085FF  srgba(124,128,133,1)
4,8: (32125,8738,55512,65535)  #7D22D8FF  srgba(125,34,216,1)
5,8: (32382,32896,27756,65535)  #7E806CFF  srgba(126,128,108,1)
6,8: (32639,33924,17733,65535)  #7F8445FF  srgba(127,132,69,1)
7,8: (32639,34952,26728,65535)  #7F8868FF  srgba(127,136,104,1)
8,8: (33153,9766,38036,65535)  #812694FF  srgba(129,38,148,1)
9,8: (33924,35466,18247,65535)  #848A47FF  srgba(132,138,71,1)
10,8: (34952,12336,8224,65535)  #883020FF  srgba(136,48,32,1)
11,8: (35466,17219,8224,65535)  #8A4320FF  srgba(138,67,32,1)
12,8: (35466,17476,2056,65535)  #8A4408FF  srgba(138,68,8,1)
13,8: (35466,49087,61166,65535)  #8ABFEEFF  srgba(138,191,238,1)
14,8: (35723,35980,31097,65535)  #8B8C79FF  srgba(139,140,121,1)
15,8: (35723,39835,58853,65535)  #8B9BE5FF  srgba(139,155,229,1)
0,9: (35980,28270,31354,65535)  #8C6E7AFF  srgba(140,110,122,1)
1,9: (35980,35209,16448,65535)  #8C8940FF  srgba(140,137,64,1)
2,9: (36237,12336,18504,65535)  #8D3048FF  srgba(141,48,72,1)
3,9: (36237,26214,61166,65535)  #8D66EEFF  srgba(141,102,238,1)
4,9: (36751,16705,21845,65535)  #8F4155FF  srgba(143,65,85,1)
5,9: (36751,17219,41120,65535)  #8F43A0FF  srgba(143,67,160,1)
6,9: (36751,27499,41891,65535)  #8F6BA3FF  srgba(143,107,163,1)
7,9: (37008,16962,16448,65535)  #904240FF  srgba(144,66,64,1)
8,9: (37008,17476,25957,65535)  #904465FF  srgba(144,68,101,1)
9,9: (37265,17990,60138,65535)  #9146EAFF  srgba(145,70,234,1)
10,9: (37265,21331,7710,65535)  #91531EFF  srgba(145,83,30,1)
11,9: (37265,21845,16448,65535)  #915540FF  srgba(145,85,64,1)
12,9: (37265,22616,1542,65535)  #915806FF  srgba(145,88,6,1)
