# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (1285,0,2056,65535)  #050008FF  srgba(5,0,8,1)
2,0: (4112,4112,3855,65535)  #10100FFF  srgba(16,16,15,1)
3,0: (8224,7967,8224,65535)  #201F20FF  srgba(32,31,32,1)
4,0: (13878,13364,14135,65535)  #363437FF  srgba(54,52,55,1)
5,0: (16191,16191,15934,65535)  #3F3F3EFF  srgba(63,63,62,1)
6,0: (18247,17733,18761,65535)  #474549FF  srgba(71,69,73,1)
7,0: (20046,22873,23130,65535)  #4E595AFF  srgba(78,89,90,1)
8,0: (20303,41120,9766,65535)  #4FA026FF  srgba(79,160,38,1)
9,0: (20560,20560,20303,65535)  #50504FFF  srgba(80,80,79,1)
10,0: (21074,21074,21074,65535)  #525252FF  grey32
11,0: (21331,28270,15163,65535)  #536E3BFF  srgba(83,110,59,1)
12,0: (21588,21588,21588,65535)  #545454FF  grey33
13,0: (21588,21588,22873,65535)  #545459FF  srgba(84,84,89,1)
14,0: (21588,33410,15934,65535)  #54823EFF  srgba(84,130,62,1)
15,0: (21845,21845,22102,65535)  #555556FF  srgba(85,85,86,1)
0,1: (21845,36237,17219,65535)  #558D43FF  srgba(85,141,67,1)
1,1: (22359,22359,22359,65535)  #575757FF  grey34
2,1: (22616,22616,22616,65535)  #585858FF  srgba(88,88,88,1)
3,1: (22616,24929,19789,65535)  #58614DFF  srgba(88,97,77,1)
4,1: (22873,22616,22616,65535)  #595858FF  srgba(89,88,88,1)
5,1: (22873,22873,23130,65535)  #59595AFF  srgba(89,89,90,1)
6,1: (23387,22616,22359,65535)  #5B5857FF  srgba(91,88,87,1)
7,1: (23387,22873,23130,65535)  #5B595AFF  srgba(91,89,90,1)
8,1: (23387,23130,23130,65535)  #5B5A5AFF  srgba(91,90,90,1)
9,1: (23644,23130,23387,65535)  #5C5A5BFF  srgba(92,90,91,1)
10,1: (23644,23644,23644,65535)  #5C5C5CFF  grey36
11,1: (23901,22616,23387,65535)  #5D585BFF  srgba(93,88,91,1)
12,1: (23901,23387,23644,65535)  #5D5B5CFF  srgba(93,91,92,1)
13,1: (24158,22616,22102,65535)  #5E5856FF  srgba(94,88,86,1)
14,1: (24415,23387,22873,65535)  #5F5B59FF  srgba(95,91,89,1)
15,1: (24415,23901,23387,65535)  #5F5D5BFF  srgba(95,93,91,1)
0,2: (24415,23901,24158,65535)  #5F5D5EFF  srgba(95,93,94,1)
1,2: (24415,24158,24415,65535)  #5F5E5FFF  srgba(95,94,95,1)
2,2: (24929,24415,23387,65535)  #615F5BFF  srgba(97,95,91,1)
3,2: (24929,24672,24672,65535)  #616060FF  srgba(97,96,96,1)
4,2: (25186,23901,23130,65535)  #625D5AFF  srgba(98,93,90,1)
5,2: (25186,24929,25186,65535)  #626162FF  srgba(98,97,98,1)
6,2: (25443,23387,22873,65535)  #635B59FF  srgba(99,91,89,1)
7,2: (25700,24158,23130,65535)  #645E5AFF  srgba(100,94,90,1)
8,2: (25957,22616,22616,65535)  #655858FF  srgba(101,88,88,1)
9,2: (25957,23387,22616,65535)  #655B58FF  srgba(101,91,88,1)
10,2: (25957,24672,23644,65535)  #65605CFF  srgba(101,96,92,1)
11,2: (25957,25700,25957,65535)  #656465FF  srgba(101,100,101,1)
12,2: (25957,28013,14649,65535)  #656D39FF  srgba(101,109,57,1)
13,2: (26214,22359,23644,65535)  #66575CFF  srgba(102,87,92,1)
14,2: (26214,23644,23130,65535)  #665C5AFF  srgba(102,92,90,1)
15,2: (26214,24415,35980,65535)  #665F8CFF  srgba(102,95,140,1)
0,3: (26471,24158,22873,65535)  #675E59FF  srgba(103,94,89,1)
1,3: (26471,25186,30069,65535)  #676275FF  srgba(103,98,117,1)
2,3: (26471,27499,19789,65535)  #676B4DFF  srgba(103,107,77,1)
3,3: (26728,24929,22616,65535)  #686158FF  srgba(104,97,88,1)
4,3: (26728,26214,27242,65535)  #68666AFF  srgba(104,102,106,1)
5,3: (26728,30069,15677,65535)  #68753DFF  srgba(104,117,61,1)
6,3: (26985,22102,21845,65535)  #695655FF  srgba(105,86,85,1)
7,3: (26985,23644,22616,65535)  #695C58FF  srgba(105,92,88,1)
8,3: (26985,24158,23130,65535)  #695E5AFF  srgba(105,94,90,1)
9,3: (26985,25186,18504,65535)  #696248FF  srgba(105,98,72,1)
10,3: (27242,37008,17219,65535)  #6A9043FF  srgba(106,144,67,1)
11,3: (27499,21588,22616,65535)  #6B5458FF  srgba(107,84,88,1)
12,3: (27499,22359,24929,65535)  #6B5761FF  srgba(107,87,97,1)
13,3: (27499,22359,34695,65535)  #6B5787FF  srgba(107,87,135,1)
14,3: (27756,33667,15163,65535)  #6C833BFF  srgba(108,131,59,1)
15,3: (28013,22616,28270,65535)  #6D586EFF  srgba(109,88,110,1)
0,4: (28270,44975,14906,65535)  #6EAF3AFF  srgba(110,175,58,1)
1,4: (28527,21588,21074,65535)  #6F5452FF  srgba(111,84,82,1)
2,4: (28527,22102,32639,65535)  #6F567FFF  srgba(111,86,127,1)
3,4: (29555,24929,25700,65535)  #736164FF  srgba(115,97,100,1)
4,4: (29555,26214,28270,65535)  #73666EFF  srgba(115,102,110,1)
5,4: (29812,29298,29298,65535)  #747272FF  srgba(116,114,114,1)
6,4: (30326,21331,40863,65535)  #76539FFF  srgba(118,83,159,1)
7,4: (31354,21845,23644,65535)  #7A555CFF  srgba(122,85,92,1)
