# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (514,257,257,65535)  #020101FF  srgba(2,1,1,1)
1,0: (771,771,1285,65535)  #030305FF  srgba(3,3,5,1)
2,0: (771,1028,514,65535)  #030402FF  srgba(3,4,2,1)
3,0: (1028,29812,65278,65535)  #0474FEFF  srgba(4,116,254,1)
4,0: (1542,1285,3341,65535)  #06050DFF  srgba(6,5,13,1)
5,0: (1542,1799,1542,65535)  #060706FF  srgba(6,7,6,1)
6,0: (1542,26728,64507,65535)  #0668FBFF  srgba(6,104,251,1)
7,0: (1799,514,7967,65535)  #07021FFF  srgba(7,2,31,1)
8,0: (1799,1028,4883,65535)  #070413FF  srgba(7,4,19,1)
9,0: (1799,1799,2313,65535)  #070709FF  srgba(7,7,9,1)
10,0: (2570,2827,2570,65535)  #0A0B0AFF  srgba(10,11,10,1)
11,0: (3084,2056,4112,65535)  #0C0810FF  srgba(12,8,16,1)
12,0: (3341,1285,8738,65535)  #0D0522FF  srgba(13,5,34,1)
13,0: (3341,3341,3084,65535)  #0D0D0CFF  srgba(13,13,12,1)
14,0: (4112,3598,5911,65535)  #100E17FF  srgba(16,14,23,1)
15,0: (4112,4112,4112,65535)  #101010FF  srgba(16,16,16,1)
0,1: (4112,23387,65278,65535)  #105BFEFF  srgba(16,91,254,1)
1,1: (4626,1799,8738,65535)  #120722FF  srgba(18,7,34,1)
2,1: (4626,4626,4883,65535)  #121213FF  srgba(18,18,19,1)
3,1: (4626,11308,65535,65535)  #122CFFFF  srgba(18,44,255,1)
4,1: (5654,1285,14392,65535)  #160538FF  srgba(22,5,56,1)
5,1: (5911,5654,5654,65535)  #171616FF  srgba(23,22,22,1)
6,1: (6168,4626,8995,65535)  #181223FF  srgba(24,18,35,1)
7,1: (6168,5911,6425,65535)  #181719FF  srgba(24,23,25,1)
8,1: (6682,6682,6682,65535)  #1A1A1AFF  grey10
9,1: (6939,1028,19789,65535)  #1B044DFF  srgba(27,4,77,1)
10,1: (7453,0,0,65535)  #1D0000FF  srgba(29,0,0,1)
11,1: (7453,1542,11308,65535)  #1D062CFF  srgba(29,6,44,1)
12,1: (7453,5140,12850,65535)  #1D1432FF  srgba(29,20,50,1)
