# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (257,257,257,65535)  #010101FF  srgba(1,1,1,1)
2,0: (771,771,771,65535)  #030303FF  grey1
3,0: (1542,1285,1799,65535)  #060507FF  srgba(6,5,7,1)
4,0: (2570,2313,2313,65535)  #0A0909FF  srgba(10,9,9,1)
5,0: (2827,2570,3084,65535)  #0B0A0CFF  srgba(11,10,12,1)
6,0: (3855,2056,3855,65535)  #0F080FFF  srgba(15,8,15,1)
7,0: (4369,4112,4369,65535)  #111011FF  srgba(17,16,17,1)
8,0: (4626,2570,5140,65535)  #120A14FF  srgba(18,10,20,1)
9,0: (5140,5397,5140,65535)  #141514FF  srgba(20,21,20,1)
10,0: (5397,2570,6425,65535)  #150A19FF  srgba(21,10,25,1)
11,0: (5654,3598,6682,65535)  #160E1AFF  srgba(22,14,26,1)
12,0: (5911,4626,6939,65535)  #17121BFF  srgba(23,18,27,1)
13,0: (6682,3598,6425,65535)  #1A0E19FF  srgba(26,14,25,1)
14,0: (6682,6425,6425,65535)  #1A1919FF  srgba(26,25,25,1)
15,0: (6939,3855,7453,65535)  #1B0F1DFF  srgba(27,15,29,1)
0,1: (7196,4112,7967,65535)  #1C101FFF  srgba(28,16,31,1)
1,1: (7710,4626,8995,65535)  #1E1223FF  srgba(30,18,35,1)
2,1: (7710,6939,7710,65535)  #1E1B1EFF  srgba(30,27,30,1)
3,1: (8481,4369,8224,65535)  #211120FF  srgba(33,17,32,1)
4,1: (8481,4883,9252,65535)  #211324FF  srgba(33,19,36,1)
5,1: (8481,8481,8481,65535)  #212121FF  grey13
6,1: (8738,5397,9766,65535)  #221526FF  srgba(34,21,38,1)
7,1: (9252,4626,8481,65535)  #241221FF  srgba(36,18,33,1)
8,1: (9252,5140,10023,65535)  #241427FF  srgba(36,20,39,1)
9,1: (9252,7967,10023,65535)  #241F27FF  srgba(36,31,39,1)
10,1: (9509,5911,10280,65535)  #251728FF  srgba(37,23,40,1)
11,1: (9766,9766,9766,65535)  #262626FF  grey15
12,1: (10280,4626,8481,65535)  #281221FF  srgba(40,18,33,1)
13,1: (10280,6168,11822,65535)  #28182EFF  srgba(40,24,46,1)
14,1: (10280,9509,10023,65535)  #282527FF  srgba(40,37,39,1)
15,1: (10537,6168,10537,65535)  #291829FF  srgba(41,24,41,1)
0,2: (10537,7453,10794,65535)  #291D2AFF  srgba(41,29,42,1)
1,2: (10537,10794,10794,65535)  #292A2AFF  srgba(41,42,42,1)
2,2: (10794,6682,11822,65535)  #2A1A2EFF  srgba(42,26,46,1)
3,2: (11308,4883,8481,65535)  #2C1321FF  srgba(44,19,33,1)
4,2: (11308,11565,11565,65535)  #2C2D2DFF  srgba(44,45,45,1)
5,2: (11565,6939,12336,65535)  #2D1B30FF  srgba(45,27,48,1)
6,2: (11822,5911,9509,65535)  #2E1725FF  srgba(46,23,37,1)
7,2: (11822,8224,10794,65535)  #2E202AFF  srgba(46,32,42,1)
8,2: (12079,6425,10023,65535)  #2F1927FF  srgba(47,25,39,1)
9,2: (12079,11822,12079,65535)  #2F2E2FFF  srgba(47,46,47,1)
