# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,257,65535)  #000001FF  srgba(0,0,1,1)
2,0: (0,1028,0,65535)  #000400FF  srgba(0,4,0,1)
3,0: (0,1542,0,65535)  #000600FF  srgba(0,6,0,1)
4,0: (0,1799,0,65535)  #000700FF  srgba(0,7,0,1)
5,0: (0,1799,257,65535)  #000701FF  srgba(0,7,1,1)
6,0: (0,2313,0,65535)  #000900FF  srgba(0,9,0,1)
7,0: (0,2570,0,65535)  #000A00FF  srgba(0,10,0,1)
8,0: (0,3341,0,65535)  #000D00FF  srgba(0,13,0,1)
9,0: (0,4112,0,65535)  #001000FF  srgba(0,16,0,1)
10,0: (0,5140,0,65535)  #001400FF  srgba(0,20,0,1)
11,0: (0,5911,0,65535)  #001700FF  srgba(0,23,0,1)
12,0: (257,514,0,65535)  #010200FF  srgba(1,2,0,1)
13,0: (257,514,514,65535)  #010202FF  srgba(1,2,2,1)
14,0: (257,3084,257,65535)  #010C01FF  srgba(1,12,1,1)
15,0: (514,6682,257,65535)  #021A01FF  srgba(2,26,1,1)
0,1: (771,771,771,65535)  #030303FF  grey1
1,1: (771,1285,257,65535)  #030501FF  srgba(3,5,1,1)
2,1: (771,7710,0,65535)  #031E00FF  srgba(3,30,0,1)
3,1: (1285,5140,771,65535)  #051403FF  srgba(5,20,3,1)
4,1: (1542,1542,1285,65535)  #060605FF  srgba(6,6,5,1)
5,1: (1542,8738,257,65535)  #062201FF  srgba(6,34,1,1)
6,1: (1799,9766,0,65535)  #072600FF  srgba(7,38,0,1)
7,1: (2056,2056,2056,65535)  #080808FF  grey3
8,1: (2570,2570,2313,65535)  #0A0A09FF  srgba(10,10,9,1)
9,1: (2827,2827,2827,65535)  #0B0B0BFF  srgba(11,11,11,1)
10,1: (2827,8481,1799,65535)  #0B2107FF  srgba(11,33,7,1)
11,1: (3341,10280,514,65535)  #0D2802FF  srgba(13,40,2,1)
12,1: (3598,3598,3341,65535)  #0E0E0DFF  srgba(14,14,13,1)
13,1: (4112,4112,4112,65535)  #101010FF  srgba(16,16,16,1)
14,1: (4369,4626,3855,65535)  #11120FFF  srgba(17,18,15,1)
15,1: (4369,7967,3855,65535)  #111F0FFF  srgba(17,31,15,1)
0,2: (4369,11051,2056,65535)  #112B08FF  srgba(17,43,8,1)
1,2: (4626,4626,4369,65535)  #121211FF  srgba(18,18,17,1)
2,2: (4883,11308,3598,65535)  #132C0EFF  srgba(19,44,14,1)
3,2: (5140,5140,5140,65535)  #141414FF  grey8
4,2: (6168,6168,5911,65535)  #181817FF  srgba(24,24,23,1)
5,2: (6168,13621,3341,65535)  #18350DFF  srgba(24,53,13,1)
6,2: (6425,7710,5397,65535)  #191E15FF  srgba(25,30,21,1)
7,2: (6425,12079,4369,65535)  #192F11FF  srgba(25,47,17,1)
8,2: (6939,8224,6168,65535)  #1B2018FF  srgba(27,32,24,1)
9,2: (7196,7453,6682,65535)  #1C1D1AFF  srgba(28,29,26,1)
10,2: (7196,13878,5397,65535)  #1C3615FF  srgba(28,54,21,1)
11,2: (7710,7710,7710,65535)  #1E1E1EFF  srgba(30,30,30,1)
12,2: (7967,10023,7710,65535)  #1F271EFF  srgba(31,39,30,1)
13,2: (8224,8224,8224,65535)  #202020FF  srgba(32,32,32,1)
14,2: (8481,14649,6168,65535)  #213918FF  srgba(33,57,24,1)
15,2: (8738,8738,8481,65535)  #222221FF  srgba(34,34,33,1)
0,3: (8995,11308,8224,65535)  #232C20FF  srgba(35,44,32,1)
1,3: (9252,16705,6425,65535)  #244119FF  srgba(36,65,25,1)
2,3: (9509,9509,9252,65535)  #252524FF  srgba(37,37,36,1)
3,3: (9509,11822,9252,65535)  #252E24FF  srgba(37,46,36,1)
4,3: (10023,16705,8481,65535)  #274121FF  srgba(39,65,33,1)
5,3: (10280,10280,10023,65535)  #282827FF  srgba(40,40,39,1)
6,3: (10280,10537,10280,65535)  #282928FF  srgba(40,41,40,1)
7,3: (10280,13364,9766,65535)  #283426FF  srgba(40,52,38,1)
8,3: (10280,14392,9509,65535)  #283825FF  srgba(40,56,37,1)
9,3: (11308,11308,11051,65535)  #2C2C2BFF  srgba(44,44,43,1)
10,3: (11308,17733,8995,65535)  #2C4523FF  srgba(44,69,35,1)
11,3: (11565,14649,11051,65535)  #2D392BFF  srgba(45,57,43,1)
12,3: (12079,12079,12079,65535)  #2F2F2FFF  srgba(47,47,47,1)
13,3: (12336,17476,10794,65535)  #30442AFF  srgba(48,68,42,1)
14,3: (12593,15420,12336,65535)  #313C30FF  srgba(49,60,48,1)
15,3: (12850,20046,10280,65535)  #324E28FF  srgba(50,78,40,1)
0,4: (13107,13107,12850,65535)  #333332FF  srgba(51,51,50,1)
1,4: (14135,14135,13878,65535)  #373736FF  srgba(55,55,54,1)
2,4: (14135,17219,13621,65535)  #374335FF  srgba(55,67,53,1)
3,4: (14392,15163,14135,65535)  #383B37FF  srgba(56,59,55,1)
4,4: (14392,18247,13364,65535)  #384734FF  srgba(56,71,52,1)
5,4: (14392,21074,12336,65535)  #385230FF  srgba(56,82,48,1)
6,4: (15163,15163,14906,65535)  #3B3B3AFF  srgba(59,59,58,1)
7,4: (15420,17990,14906,65535)  #3C463AFF  srgba(60,70,58,1)
8,4: (15677,22616,13107,65535)  #3D5833FF  srgba(61,88,51,1)
9,4: (15934,15934,15934,65535)  #3E3E3EFF  srgba(62,62,62,1)
10,4: (16191,19532,15420,65535)  #3F4C3CFF  srgba(63,76,60,1)
11,4: (16448,17476,15677,65535)  #40443DFF  srgba(64,68,61,1)
12,4: (16705,23387,14392,65535)  #415B38FF  srgba(65,91,56,1)
13,4: (16962,16962,16962,65535)  #424242FF  grey26
14,4: (17219,20046,16962,65535)  #434E42FF  srgba(67,78,66,1)
15,4: (17219,23387,15420,65535)  #435B3CFF  srgba(67,91,60,1)
0,5: (18247,18247,17990,65535)  #474746FF  srgba(71,71,70,1)
1,5: (18504,25700,15934,65535)  #48643EFF  srgba(72,100,62,1)
2,5: (18761,19275,18504,65535)  #494B48FF  srgba(73,75,72,1)
3,5: (18761,22873,17733,65535)  #495945FF  srgba(73,89,69,1)
4,5: (19532,19532,19018,65535)  #4C4C4AFF  srgba(76,76,74,1)
5,5: (19789,23901,18504,65535)  #4D5D48FF  srgba(77,93,72,1)
6,5: (20046,20046,20046,65535)  #4E4E4EFF  srgba(78,78,78,1)
7,5: (20046,26728,17733,65535)  #4E6845FF  srgba(78,104,69,1)
8,5: (20560,21588,20303,65535)  #50544FFF  srgba(80,84,79,1)
9,5: (21331,21588,21331,65535)  #535453FF  srgba(83,84,83,1)
10,5: (21331,28013,18761,65535)  #536D49FF  srgba(83,109,73,1)
11,5: (21845,28013,20046,65535)  #556D4EFF  srgba(85,109,78,1)
12,5: (22102,24415,21845,65535)  #565F55FF  srgba(86,95,85,1)
13,5: (22359,22359,21845,65535)  #575755FF  srgba(87,87,85,1)
14,5: (23130,23130,23130,65535)  #5A5A5AFF  srgba(90,90,90,1)
15,5: (23387,28784,21331,65535)  #5B7053FF  srgba(91,112,83,1)
0,6: (23387,30583,20817,65535)  #5B7751FF  srgba(91,119,81,1)
1,6: (23901,24158,23901,65535)  #5D5E5DFF  srgba(93,94,93,1)
2,6: (24158,24158,23901,65535)  #5E5E5DFF  srgba(94,94,93,1)
3,6: (24672,24672,24158,65535)  #60605EFF  srgba(96,96,94,1)
4,6: (24672,28784,23644,65535)  #60705CFF  srgba(96,112,92,1)
5,6: (24929,31611,22102,65535)  #617B56FF  srgba(97,123,86,1)
6,6: (25443,25443,25186,65535)  #636362FF  srgba(99,99,98,1)
7,6: (25700,27499,25443,65535)  #646B63FF  srgba(100,107,99,1)
8,6: (25700,31868,23644,65535)  #647C5CFF  srgba(100,124,92,1)
9,6: (25957,26214,25957,65535)  #656665FF  srgba(101,102,101,1)
10,6: (26728,26728,26471,65535)  #686867FF  srgba(104,104,103,1)
11,6: (26728,32896,24672,65535)  #688060FF  srgba(104,128,96,1)
12,6: (27499,27499,26985,65535)  #6B6B69FF  srgba(107,107,105,1)
13,6: (27499,34952,24929,65535)  #6B8861FF  srgba(107,136,97,1)
14,6: (27756,32125,26471,65535)  #6C7D67FF  srgba(108,125,103,1)
15,6: (28013,28013,28013,65535)  #6D6D6DFF  srgba(109,109,109,1)
0,7: (28527,34952,26728,65535)  #6F8868FF  srgba(111,136,104,1)
1,7: (29041,29298,28527,65535)  #71726FFF  srgba(113,114,111,1)
2,7: (29298,29555,29298,65535)  #727372FF  srgba(114,115,114,1)
3,7: (29555,35723,27499,65535)  #738B6BFF  srgba(115,139,107,1)
4,7: (30069,30583,29298,65535)  #757772FF  srgba(117,119,114,1)
5,7: (30069,37522,27499,65535)  #75926BFF  srgba(117,146,107,1)
6,7: (30583,30583,30583,65535)  #777777FF  srgba(119,119,119,1)
7,7: (30840,35466,29298,65535)  #788A72FF  srgba(120,138,114,1)
8,7: (31354,38036,29041,65535)  #7A9471FF  srgba(122,148,113,1)
9,7: (31611,31868,31611,65535)  #7B7C7BFF  srgba(123,124,123,1)
10,7: (31868,36494,30583,65535)  #7C8E77FF  srgba(124,142,119,1)
11,7: (32382,38293,30840,65535)  #7E9578FF  srgba(126,149,120,1)
12,7: (32639,32639,32125,65535)  #7F7F7DFF  srgba(127,127,125,1)
13,7: (33153,37522,31611,65535)  #81927BFF  srgba(129,146,123,1)
14,7: (33410,33410,33410,65535)  #828282FF  grey51
15,7: (33410,38550,31868,65535)  #82967CFF  srgba(130,150,124,1)
0,8: (33410,39321,31611,65535)  #82997BFF  srgba(130,153,123,1)
1,8: (34181,40349,32125,65535)  #859D7DFF  srgba(133,157,125,1)
2,8: (34438,34695,34438,65535)  #868786FF  srgba(134,135,134,1)
