# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,257,0,65535)  #000100FF  srgba(0,1,0,1)
2,0: (0,257,0,65535)  #000100FF  srgba(0,1,0,1)
3,0: (257,257,257,65535)  #010101FF  srgba(1,1,1,1)
4,0: (257,771,0,65535)  #010300FF  srgba(1,3,0,1)
5,0: (257,771,771,65535)  #010303FF  srgba(1,3,3,1)
6,0: (257,1028,0,65535)  #010400FF  srgba(1,4,0,1)
7,0: (257,1542,257,65535)  #010601FF  srgba(1,6,1,1)
8,0: (514,1028,257,65535)  #020401FF  srgba(2,4,1,1)
9,0: (514,1285,1028,65535)  #020504FF  srgba(2,5,4,1)
10,0: (771,1285,514,65535)  #030502FF  srgba(3,5,2,1)
11,0: (1028,1285,1285,65535)  #040505FF  srgba(4,5,5,1)
12,0: (1028,1542,0,65535)  #040600FF  srgba(4,6,0,1)
13,0: (1028,1542,771,65535)  #040603FF  srgba(4,6,3,1)
14,0: (1285,2056,771,65535)  #050803FF  srgba(5,8,3,1)
15,0: (1285,2570,1542,65535)  #050A06FF  srgba(5,10,6,1)
0,1: (1542,1028,1028,65535)  #060404FF  srgba(6,4,4,1)
1,1: (1542,2056,1285,65535)  #060805FF  srgba(6,8,5,1)
2,1: (1542,2056,2056,65535)  #060808FF  srgba(6,8,8,1)
3,1: (1799,2056,1028,65535)  #070804FF  srgba(7,8,4,1)
4,1: (1799,2313,1542,65535)  #070906FF  srgba(7,9,6,1)
5,1: (2056,2313,2313,65535)  #080909FF  srgba(8,9,9,1)
6,1: (2056,2570,1799,65535)  #080A07FF  srgba(8,10,7,1)
7,1: (2313,2313,1542,65535)  #090906FF  srgba(9,9,6,1)
8,1: (2313,2827,2056,65535)  #090B08FF  srgba(9,11,8,1)
9,1: (2313,2827,2827,65535)  #090B0BFF  srgba(9,11,11,1)
10,1: (2570,2827,1542,65535)  #0A0B06FF  srgba(10,11,6,1)
11,1: (2570,3084,2313,65535)  #0A0C09FF  srgba(10,12,9,1)
12,1: (2570,3341,2056,65535)  #0A0D08FF  srgba(10,13,8,1)
13,1: (2570,3341,3084,65535)  #0A0D0CFF  srgba(10,13,12,1)
14,1: (2827,3341,2570,65535)  #0B0D0AFF  srgba(11,13,10,1)
15,1: (3084,4369,3084,65535)  #0C110CFF  srgba(12,17,12,1)
0,2: (3084,4369,3855,65535)  #0C110FFF  srgba(12,17,15,1)
1,2: (3341,3341,2827,65535)  #0D0D0BFF  srgba(13,13,11,1)
2,2: (3341,3598,3855,65535)  #0D0E0FFF  srgba(13,14,15,1)
3,2: (3341,3855,2570,65535)  #0D0F0AFF  srgba(13,15,10,1)
4,2: (3341,3855,3084,65535)  #0D0F0CFF  srgba(13,15,12,1)
5,2: (3598,4112,3341,65535)  #0E100DFF  srgba(14,16,13,1)
6,2: (3855,4112,4369,65535)  #0F1011FF  srgba(15,16,17,1)
7,2: (3855,4369,3598,65535)  #0F110EFF  srgba(15,17,14,1)
8,2: (3855,5140,4369,65535)  #0F1411FF  srgba(15,20,17,1)
9,2: (4112,4112,3341,65535)  #10100DFF  srgba(16,16,13,1)
10,2: (4112,4626,3855,65535)  #10120FFF  srgba(16,18,15,1)
11,2: (4369,4626,4626,65535)  #111212FF  srgba(17,18,18,1)
12,2: (4369,4883,4112,65535)  #111310FF  srgba(17,19,16,1)
13,2: (4626,5140,4369,65535)  #121411FF  srgba(18,20,17,1)
14,2: (4626,5911,5654,65535)  #121716FF  srgba(18,23,22,1)
15,2: (4883,5140,5140,65535)  #131414FF  srgba(19,20,20,1)
0,3: (5140,5140,4112,65535)  #141410FF  srgba(20,20,16,1)
1,3: (5140,5654,4883,65535)  #141613FF  srgba(20,22,19,1)
2,3: (5140,6425,5140,65535)  #141914FF  srgba(20,25,20,1)
3,3: (5397,5911,5140,65535)  #151714FF  srgba(21,23,20,1)
4,3: (5397,5911,5911,65535)  #151717FF  srgba(21,23,23,1)
5,3: (5397,6682,5654,65535)  #151A16FF  srgba(21,26,22,1)
