# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,514,65535)  #000002FF  srgba(0,0,2,1)
2,0: (0,0,1285,65535)  #000005FF  srgba(0,0,5,1)
3,0: (0,0,3341,65535)  #00000DFF  srgba(0,0,13,1)
4,0: (0,0,4883,65535)  #000013FF  srgba(0,0,19,1)
5,0: (0,0,7967,65535)  #00001FFF  srgba(0,0,31,1)
6,0: (0,0,12593,65535)  #000031FF  srgba(0,0,49,1)
7,0: (0,0,16962,65535)  #000042FF  srgba(0,0,66,1)
8,0: (0,0,17476,65535)  #000044FF  srgba(0,0,68,1)
9,0: (0,0,21845,65535)  #000055FF  srgba(0,0,85,1)
10,0: (0,0,26728,65535)  #000068FF  srgba(0,0,104,1)
11,0: (0,0,30583,65535)  #000077FF  srgba(0,0,119,1)
12,0: (0,0,32896,65535)  #000080FF  navy
13,0: (0,0,32896,65535)  #000080FF  navy
14,0: (0,0,33410,65535)  #000082FF  srgba(0,0,130,1)
15,0: (0,0,34181,65535)  #000085FF  srgba(0,0,133,1)
0,1: (0,0,35209,65535)  #000089FF  srgba(0,0,137,1)
1,1: (0,0,37265,65535)  #000091FF  srgba(0,0,145,1)
2,1: (0,0,39064,65535)  #000098FF  srgba(0,0,152,1)
3,1: (0,0,41891,65535)  #0000A3FF  srgba(0,0,163,1)
4,1: (0,0,46260,65535)  #0000B4FF  srgba(0,0,180,1)
5,1: (0,0,48059,65535)  #0000BBFF  srgba(0,0,187,1)
6,1: (0,257,53199,65535)  #0001CFFF  srgba(0,1,207,1)
7,1: (0,514,57568,65535)  #0002E0FF  srgba(0,2,224,1)
8,1: (0,771,61166,65535)  #0003EEFF  srgba(0,3,238,1)
9,1: (0,1028,64250,65535)  #0004FAFF  srgba(0,4,250,1)
10,1: (0,1285,65021,65535)  #0005FDFF  srgba(0,5,253,1)
11,1: (0,1542,65278,65535)  #0006FEFF  srgba(0,6,254,1)
12,1: (0,2056,64250,65535)  #0008FAFF  srgba(0,8,250,1)
