# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,771,65535)  #000003FF  srgba(0,0,3,1)
2,0: (0,0,1285,65535)  #000005FF  srgba(0,0,5,1)
3,0: (0,0,1799,65535)  #000007FF  srgba(0,0,7,1)
4,0: (0,0,3084,65535)  #00000CFF  srgba(0,0,12,1)
5,0: (0,0,3598,65535)  #00000EFF  srgba(0,0,14,1)
6,0: (0,0,4112,65535)  #000010FF  srgba(0,0,16,1)
7,0: (0,0,4883,65535)  #000013FF  srgba(0,0,19,1)
8,0: (0,0,5654,65535)  #000016FF  srgba(0,0,22,1)
9,0: (0,0,6168,65535)  #000018FF  srgba(0,0,24,1)
10,0: (0,0,6425,65535)  #000019FF  srgba(0,0,25,1)
11,0: (0,0,6425,65535)  #000019FF  srgba(0,0,25,1)
12,0: (0,0,7196,65535)  #00001CFF  srgba(0,0,28,1)
13,0: (0,0,7710,65535)  #00001EFF  srgba(0,0,30,1)
14,0: (0,0,7967,65535)  #00001FFF  srgba(0,0,31,1)
15,0: (0,0,8224,65535)  #000020FF  srgba(0,0,32,1)
0,1: (0,0,8738,65535)  #000022FF  srgba(0,0,34,1)
1,1: (0,0,9252,65535)  #000024FF  srgba(0,0,36,1)
2,1: (0,0,10537,65535)  #000029FF  srgba(0,0,41,1)
3,1: (0,0,11308,65535)  #00002CFF  srgba(0,0,44,1)
4,1: (0,0,11565,65535)  #00002DFF  srgba(0,0,45,1)
5,1: (0,0,12079,65535)  #00002FFF  srgba(0,0,47,1)
6,1: (0,0,12336,65535)  #000030FF  srgba(0,0,48,1)
7,1: (0,0,12850,65535)  #000032FF  srgba(0,0,50,1)
8,1: (0,0,13107,65535)  #000033FF  srgba(0,0,51,1)
9,1: (0,0,13621,65535)  #000035FF  srgba(0,0,53,1)
10,1: (0,0,13878,65535)  #000036FF  srgba(0,0,54,1)
11,1: (0,0,14649,65535)  #000039FF  srgba(0,0,57,1)
12,1: (0,0,15677,65535)  #00003DFF  srgba(0,0,61,1)
13,1: (0,0,16448,65535)  #000040FF  srgba(0,0,64,1)
14,1: (0,0,17990,65535)  #000046FF  srgba(0,0,70,1)
15,1: (0,0,19018,65535)  #00004AFF  srgba(0,0,74,1)
0,2: (0,0,19532,65535)  #00004CFF  srgba(0,0,76,1)
1,2: (0,0,19789,65535)  #00004DFF  srgba(0,0,77,1)
2,2: (0,0,20046,65535)  #00004EFF  srgba(0,0,78,1)
3,2: (0,0,20817,65535)  #000051FF  srgba(0,0,81,1)
4,2: (0,0,21588,65535)  #000054FF  srgba(0,0,84,1)
5,2: (0,0,22359,65535)  #000057FF  srgba(0,0,87,1)
6,2: (0,0,23130,65535)  #00005AFF  srgba(0,0,90,1)
7,2: (0,0,23130,65535)  #00005AFF  srgba(0,0,90,1)
8,2: (0,0,23644,65535)  #00005CFF  srgba(0,0,92,1)
9,2: (0,0,24158,65535)  #00005EFF  srgba(0,0,94,1)
10,2: (0,0,24672,65535)  #000060FF  srgba(0,0,96,1)
11,2: (0,0,24672,65535)  #000060FF  srgba(0,0,96,1)
12,2: (0,0,25700,65535)  #000064FF  srgba(0,0,100,1)
13,2: (0,0,26214,65535)  #000066FF  srgba(0,0,102,1)
14,2: (0,0,26985,65535)  #000069FF  srgba(0,0,105,1)
15,2: (0,0,27499,65535)  #00006BFF  srgba(0,0,107,1)
0,3: (0,0,27756,65535)  #00006CFF  srgba(0,0,108,1)
1,3: (0,0,28527,65535)  #00006FFF  srgba(0,0,111,1)
2,3: (0,0,28527,65535)  #00006FFF  srgba(0,0,111,1)
3,3: (0,0,28784,65535)  #000070FF  srgba(0,0,112,1)
4,3: (0,0,29298,65535)  #000072FF  srgba(0,0,114,1)
5,3: (0,0,29812,65535)  #000074FF  srgba(0,0,116,1)
6,3: (0,0,30326,65535)  #000076FF  srgba(0,0,118,1)
7,3: (0,0,30840,65535)  #000078FF  srgba(0,0,120,1)
8,3: (0,0,31097,65535)  #000079FF  srgba(0,0,121,1)
9,3: (0,0,31097,65535)  #000079FF  srgba(0,0,121,1)
10,3: (0,0,32896,65535)  #000080FF  navy
11,3: (0,0,32896,65535)  #000080FF  navy
12,3: (0,0,34695,65535)  #000087FF  srgba(0,0,135,1)
13,3: (0,0,35209,65535)  #000089FF  srgba(0,0,137,1)
14,3: (0,0,35980,65535)  #00008CFF  srgba(0,0,140,1)
15,3: (0,0,37008,65535)  #000090FF  srgba(0,0,144,1)
0,4: (0,0,37522,65535)  #000092FF  srgba(0,0,146,1)
1,4: (0,0,38807,65535)  #000097FF  srgba(0,0,151,1)
2,4: (0,0,39321,65535)  #000099FF  srgba(0,0,153,1)
3,4: (0,0,39578,65535)  #00009AFF  srgba(0,0,154,1)
4,4: (0,0,40863,65535)  #00009FFF  srgba(0,0,159,1)
5,4: (0,0,41120,65535)  #0000A0FF  srgba(0,0,160,1)
6,4: (0,0,41120,65535)  #0000A0FF  srgba(0,0,160,1)
7,4: (0,0,41891,65535)  #0000A3FF  srgba(0,0,163,1)
8,4: (0,0,42919,65535)  #0000A7FF  srgba(0,0,167,1)
9,4: (0,0,42919,65535)  #0000A7FF  srgba(0,0,167,1)
10,4: (0,0,43947,65535)  #0000ABFF  srgba(0,0,171,1)
11,4: (0,0,45232,65535)  #0000B0FF  srgba(0,0,176,1)
12,4: (0,0,46260,65535)  #0000B4FF  srgba(0,0,180,1)
13,4: (0,0,46774,65535)  #0000B6FF  srgba(0,0,182,1)
14,4: (0,0,49858,65535)  #0000C2FF  srgba(0,0,194,1)
15,4: (0,257,44975,65535)  #0001AFFF  srgba(0,1,175,1)
0,5: (0,257,46260,65535)  #0001B4FF  srgba(0,1,180,1)
1,5: (0,257,47802,65535)  #0001BAFF  srgba(0,1,186,1)
2,5: (0,257,48316,65535)  #0001BCFF  srgba(0,1,188,1)
3,5: (0,257,48573,65535)  #0001BDFF  srgba(0,1,189,1)
4,5: (0,257,48830,65535)  #0001BEFF  srgba(0,1,190,1)
5,5: (0,257,49858,65535)  #0001C2FF  srgba(0,1,194,1)
6,5: (0,257,50372,65535)  #0001C4FF  srgba(0,1,196,1)
7,5: (0,257,51143,65535)  #0001C7FF  srgba(0,1,199,1)
8,5: (0,514,0,65535)  #000200FF  srgba(0,2,0,1)
9,5: (0,514,45746,65535)  #0002B2FF  srgba(0,2,178,1)
10,5: (0,514,50372,65535)  #0002C4FF  srgba(0,2,196,1)
11,5: (0,514,51657,65535)  #0002C9FF  srgba(0,2,201,1)
12,5: (0,514,53199,65535)  #0002CFFF  srgba(0,2,207,1)
13,5: (0,514,53970,65535)  #0002D2FF  srgba(0,2,210,1)
14,5: (0,514,56283,65535)  #0002DBFF  srgba(0,2,219,1)
15,5: (0,514,57311,65535)  #0002DFFF  srgba(0,2,223,1)
0,6: (0,514,59367,65535)  #0002E7FF  srgba(0,2,231,1)
1,6: (0,771,58853,65535)  #0003E5FF  srgba(0,3,229,1)
2,6: (0,771,59624,65535)  #0003E8FF  srgba(0,3,232,1)
3,6: (0,771,60395,65535)  #0003EBFF  srgba(0,3,235,1)
4,6: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
5,6: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
6,6: (257,0,514,65535)  #010002FF  srgba(1,0,2,1)
7,6: (257,0,2056,65535)  #010008FF  srgba(1,0,8,1)
8,6: (257,0,2570,65535)  #01000AFF  srgba(1,0,10,1)
9,6: (257,0,3341,65535)  #01000DFF  srgba(1,0,13,1)
10,6: (257,0,6168,65535)  #010018FF  srgba(1,0,24,1)
11,6: (257,0,8738,65535)  #010022FF  srgba(1,0,34,1)
12,6: (257,0,10537,65535)  #010029FF  srgba(1,0,41,1)
13,6: (257,0,13107,65535)  #010033FF  srgba(1,0,51,1)
14,6: (257,0,15677,65535)  #01003DFF  srgba(1,0,61,1)
15,6: (257,0,18247,65535)  #010047FF  srgba(1,0,71,1)
0,7: (257,0,21845,65535)  #010055FF  srgba(1,0,85,1)
1,7: (257,257,257,65535)  #010101FF  srgba(1,1,1,1)
2,7: (257,771,56797,65535)  #0103DDFF  srgba(1,3,221,1)
3,7: (257,771,59367,65535)  #0103E7FF  srgba(1,3,231,1)
