# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,63993,30326,65535)  #00F976FF  srgba(0,249,118,1)
2,0: (257,0,257,65535)  #010001FF  srgba(1,0,1,1)
3,0: (257,6682,514,65535)  #011A02FF  srgba(1,26,2,1)
4,0: (257,8224,771,65535)  #012003FF  srgba(1,32,3,1)
5,0: (514,514,514,65535)  #020202FF  srgba(2,2,2,1)
6,0: (771,63736,30326,65535)  #03F876FF  srgba(3,248,118,1)
7,0: (1028,63736,28527,65535)  #04F86FFF  srgba(4,248,111,1)
8,0: (1799,1799,1542,65535)  #070706FF  srgba(7,7,6,1)
9,0: (1799,63736,28270,65535)  #07F86EFF  srgba(7,248,110,1)
10,0: (2056,62451,28013,65535)  #08F36DFF  srgba(8,243,109,1)
11,0: (3341,63736,25186,65535)  #0DF862FF  srgba(13,248,98,1)
12,0: (4112,63993,22873,65535)  #10F959FF  srgba(16,249,89,1)
13,0: (4626,12850,5911,65535)  #123217FF  srgba(18,50,23,1)
14,0: (4626,63736,26471,65535)  #12F867FF  srgba(18,248,103,1)
15,0: (4626,63736,27499,65535)  #12F86BFF  srgba(18,248,107,1)
0,1: (4883,4883,4883,65535)  #131313FF  srgba(19,19,19,1)
1,1: (4883,63736,29041,65535)  #13F871FF  srgba(19,248,113,1)
2,1: (5911,6425,6168,65535)  #171918FF  srgba(23,25,24,1)
3,1: (5911,15420,7453,65535)  #173C1DFF  srgba(23,60,29,1)
4,1: (6168,62194,22359,65535)  #18F257FF  srgba(24,242,87,1)
5,1: (6425,60909,19275,65535)  #19ED4BFF  srgba(25,237,75,1)
6,1: (6682,6682,6425,65535)  #1A1A19FF  srgba(26,26,25,1)
7,1: (6682,8995,6939,65535)  #1A231BFF  srgba(26,35,27,1)
8,1: (6682,30069,12336,65535)  #1A7530FF  srgba(26,117,48,1)
9,1: (6682,61937,25186,65535)  #1AF162FF  srgba(26,241,98,1)
10,1: (6682,63993,23901,65535)  #1AF95DFF  srgba(26,249,93,1)
11,1: (7196,7196,7196,65535)  #1C1C1CFF  grey11
12,1: (7196,63993,21331,65535)  #1CF953FF  srgba(28,249,83,1)
13,1: (9252,9509,9252,65535)  #242524FF  srgba(36,37,36,1)
14,1: (9252,63993,19275,65535)  #24F94BFF  srgba(36,249,75,1)
15,1: (9509,29555,12079,65535)  #25732FFF  srgba(37,115,47,1)
0,2: (9509,61423,28270,65535)  #25EF6EFF  srgba(37,239,110,1)
1,2: (9509,63736,22873,65535)  #25F859FF  srgba(37,248,89,1)
2,2: (9509,63993,20817,65535)  #25F951FF  srgba(37,249,81,1)
3,2: (10537,10794,10794,65535)  #292A2AFF  srgba(41,42,42,1)
4,2: (10794,63993,17733,65535)  #2AF945FF  srgba(42,249,69,1)
5,2: (11308,63993,19275,65535)  #2CF94BFF  srgba(44,249,75,1)
6,2: (11565,61937,20303,65535)  #2DF14FFF  srgba(45,241,79,1)
7,2: (11565,63993,17990,65535)  #2DF946FF  srgba(45,249,70,1)
8,2: (11822,63993,16962,65535)  #2EF942FF  srgba(46,249,66,1)
9,2: (11822,63993,17476,65535)  #2EF944FF  srgba(46,249,68,1)
10,2: (12079,63993,17476,65535)  #2FF944FF  srgba(47,249,68,1)
