# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,257,0,65535)  #000100FF  srgba(0,1,0,1)
2,0: (0,257,514,65535)  #000102FF  srgba(0,1,2,1)
3,0: (0,514,514,65535)  #000202FF  srgba(0,2,2,1)
4,0: (257,0,514,65535)  #010002FF  srgba(1,0,2,1)
5,0: (257,257,257,65535)  #010101FF  srgba(1,1,1,1)
6,0: (257,2570,9509,65535)  #010A25FF  srgba(1,10,37,1)
7,0: (257,3598,10537,65535)  #010E29FF  srgba(1,14,41,1)
8,0: (514,0,771,65535)  #020003FF  srgba(2,0,3,1)
9,0: (514,0,1542,65535)  #020006FF  srgba(2,0,6,1)
10,0: (514,257,0,65535)  #020100FF  srgba(2,1,0,1)
11,0: (514,514,514,65535)  #020202FF  srgba(2,2,2,1)
12,0: (514,1285,0,65535)  #020500FF  srgba(2,5,0,1)
13,0: (771,771,771,65535)  #030303FF  grey1
14,0: (771,771,1028,65535)  #030304FF  srgba(3,3,4,1)
15,0: (771,1028,1542,65535)  #030406FF  srgba(3,4,6,1)
0,1: (1028,257,514,65535)  #040102FF  srgba(4,1,2,1)
1,1: (1028,2056,4883,65535)  #040813FF  srgba(4,8,19,1)
2,1: (1028,2827,14906,65535)  #040B3AFF  srgba(4,11,58,1)
3,1: (1028,3855,15677,65535)  #040F3DFF  srgba(4,15,61,1)
4,1: (1285,0,1799,65535)  #050007FF  srgba(5,0,7,1)
5,1: (1285,1542,0,65535)  #050600FF  srgba(5,6,0,1)
6,1: (1285,4883,17219,65535)  #051343FF  srgba(5,19,67,1)
7,1: (1285,5140,15163,65535)  #05143BFF  srgba(5,20,59,1)
8,1: (1542,1799,2313,65535)  #060709FF  srgba(6,7,9,1)
9,1: (1542,4369,10794,65535)  #06112AFF  srgba(6,17,42,1)
10,1: (1799,514,1799,65535)  #070207FF  srgba(7,2,7,1)
11,1: (1799,1028,1799,65535)  #070407FF  srgba(7,4,7,1)
12,1: (1799,3341,17219,65535)  #070D43FF  srgba(7,13,67,1)
13,1: (2056,257,4626,65535)  #080112FF  srgba(8,1,18,1)
14,1: (2056,771,7453,65535)  #08031DFF  srgba(8,3,29,1)
15,1: (2056,4369,18504,65535)  #081148FF  srgba(8,17,72,1)
0,2: (2313,0,2570,65535)  #09000AFF  srgba(9,0,10,1)
1,2: (2313,771,10023,65535)  #090327FF  srgba(9,3,39,1)
2,2: (2313,1285,257,65535)  #090501FF  srgba(9,5,1,1)
3,2: (2827,2313,9509,65535)  #0B0925FF  srgba(11,9,37,1)
4,2: (2827,3598,10023,65535)  #0B0E27FF  srgba(11,14,39,1)
5,2: (2827,4369,257,65535)  #0B1101FF  srgba(11,17,1,1)
6,2: (3084,2313,2570,65535)  #0C090AFF  srgba(12,9,10,1)
7,2: (3084,3341,2570,65535)  #0C0D0AFF  srgba(12,13,10,1)
8,2: (3084,11308,32896,65535)  #0C2C80FF  srgba(12,44,128,1)
9,2: (3341,0,2827,65535)  #0D000BFF  srgba(13,0,11,1)
10,2: (3341,4112,20046,65535)  #0D104EFF  srgba(13,16,78,1)
11,2: (3598,2056,14906,65535)  #0E083AFF  srgba(14,8,58,1)
12,2: (3598,3341,4369,65535)  #0E0D11FF  srgba(14,13,17,1)
13,2: (3598,3598,6425,65535)  #0E0E19FF  srgba(14,14,25,1)
14,2: (3855,0,4626,65535)  #0F0012FF  srgba(15,0,18,1)
15,2: (3855,16705,47802,65535)  #0F41BAFF  srgba(15,65,186,1)
0,3: (4112,3855,4369,65535)  #100F11FF  srgba(16,15,17,1)
1,3: (4369,257,6425,65535)  #110119FF  srgba(17,1,25,1)
2,3: (4369,3341,257,65535)  #110D01FF  srgba(17,13,1,1)
3,3: (4369,4369,4626,65535)  #111112FF  srgba(17,17,18,1)
4,3: (4369,4369,22359,65535)  #111157FF  srgba(17,17,87,1)
5,3: (4369,5654,1542,65535)  #111606FF  srgba(17,22,6,1)
6,3: (4369,6425,9252,65535)  #111924FF  srgba(17,25,36,1)
7,3: (4626,6682,257,65535)  #121A01FF  srgba(18,26,1,1)
8,3: (4883,4626,4883,65535)  #131213FF  srgba(19,18,19,1)
9,3: (5140,5140,5140,65535)  #141414FF  grey8
10,3: (5397,0,5140,65535)  #150014FF  srgba(21,0,20,1)
11,3: (5397,257,8224,65535)  #150120FF  srgba(21,1,32,1)
12,3: (5397,2570,5140,65535)  #150A14FF  srgba(21,10,20,1)
13,3: (5654,6425,6425,65535)  #161919FF  srgba(22,25,25,1)
14,3: (5911,5911,5911,65535)  #171717FF  grey9
15,3: (5911,6682,257,65535)  #171A01FF  srgba(23,26,1,1)
0,4: (6168,4883,6425,65535)  #181319FF  srgba(24,19,25,1)
1,4: (6425,2313,0,65535)  #190900FF  srgba(25,9,0,1)
2,4: (6425,6425,6425,65535)  #191919FF  srgba(25,25,25,1)
3,4: (6682,771,4626,65535)  #1A0312FF  srgba(26,3,18,1)
4,4: (6682,1285,7453,65535)  #1A051DFF  srgba(26,5,29,1)
5,4: (6682,3341,6425,65535)  #1A0D19FF  srgba(26,13,25,1)
6,4: (6682,4369,5140,65535)  #1A1114FF  srgba(26,17,20,1)
7,4: (6682,6168,6425,65535)  #1A1819FF  srgba(26,24,25,1)
8,4: (6682,6168,7196,65535)  #1A181CFF  srgba(26,24,28,1)
9,4: (6682,6682,5654,65535)  #1A1A16FF  srgba(26,26,22,1)
10,4: (6682,6682,6682,65535)  #1A1A1AFF  grey10
11,4: (6682,7453,3855,65535)  #1A1D0FFF  srgba(26,29,15,1)
12,4: (6939,6939,6939,65535)  #1B1B1BFF  srgba(27,27,27,1)
13,4: (6939,7453,7710,65535)  #1B1D1EFF  srgba(27,29,30,1)
14,4: (7453,7453,7453,65535)  #1D1D1DFF  srgba(29,29,29,1)
