# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,24158,514,65535)  #005E02FF  srgba(0,94,2,1)
2,0: (0,61166,3084,65535)  #00EE0CFF  srgba(0,238,12,1)
3,0: (257,3084,30583,65535)  #010C77FF  srgba(1,12,119,1)
4,0: (257,3855,36751,65535)  #010F8FFF  srgba(1,15,143,1)
5,0: (257,4626,48316,65535)  #0112BCFF  srgba(1,18,188,1)
6,0: (514,2570,19789,65535)  #020A4DFF  srgba(2,10,77,1)
7,0: (514,4369,0,65535)  #021100FF  srgba(2,17,0,1)
8,0: (771,514,9252,65535)  #030224FF  srgba(3,2,36,1)
9,0: (771,771,514,65535)  #030302FF  srgba(3,3,2,1)
10,0: (771,3598,8995,65535)  #030E23FF  srgba(3,14,35,1)
11,0: (1028,771,1285,65535)  #040305FF  srgba(4,3,5,1)
12,0: (1028,1542,257,65535)  #040601FF  srgba(4,6,1,1)
13,0: (1028,15934,0,65535)  #043E00FF  srgba(4,62,0,1)
14,0: (1285,2056,3598,65535)  #05080EFF  srgba(5,8,14,1)
15,0: (1542,2056,1542,65535)  #060806FF  srgba(6,8,6,1)
0,1: (1799,2056,2313,65535)  #070809FF  srgba(7,8,9,1)
1,1: (2056,10280,60909,65535)  #0828EDFF  srgba(8,40,237,1)
2,1: (2056,11308,257,65535)  #082C01FF  srgba(8,44,1,1)
3,1: (2313,53970,2827,65535)  #09D20BFF  srgba(9,210,11,1)
4,1: (2570,2313,2570,65535)  #0A090AFF  srgba(10,9,10,1)
5,1: (2570,14135,65021,65535)  #0A37FDFF  srgba(10,55,253,1)
6,1: (2570,48059,2313,65535)  #0ABB09FF  srgba(10,187,9,1)
7,1: (2827,40863,1799,65535)  #0B9F07FF  srgba(11,159,7,1)
8,1: (3084,3341,3084,65535)  #0C0D0CFF  srgba(12,13,12,1)
9,1: (3084,15420,3084,65535)  #0C3C0CFF  srgba(12,60,12,1)
10,1: (3084,33410,1799,65535)  #0C8207FF  srgba(12,130,7,1)
11,1: (3341,61423,11822,65535)  #0DEF2EFF  srgba(13,239,46,1)
12,1: (3855,28270,48316,65535)  #0F6EBCFF  srgba(15,110,188,1)
13,1: (3855,37779,54741,65535)  #0F93D5FF  srgba(15,147,213,1)
14,1: (3855,53970,43433,65535)  #0FD2A9FF  srgba(15,210,169,1)
15,1: (4112,15420,62451,65535)  #103CF3FF  srgba(16,60,243,1)
0,2: (4112,47288,22359,65535)  #10B857FF  srgba(16,184,87,1)
1,2: (4112,50629,58339,65535)  #10C5E3FF  srgba(16,197,227,1)
2,2: (4369,3084,2570,65535)  #110C0AFF  srgba(17,12,10,1)
3,2: (4369,3084,5140,65535)  #110C14FF  srgba(17,12,20,1)
4,2: (4369,15934,60652,65535)  #113EECFF  srgba(17,62,236,1)
5,2: (4369,25957,26985,65535)  #116569FF  srgba(17,101,105,1)
6,2: (4626,10280,33924,65535)  #122884FF  srgba(18,40,132,1)
7,2: (4626,61937,20046,65535)  #12F14EFF  srgba(18,241,78,1)
8,2: (4883,61680,3855,65535)  #13F00FFF  srgba(19,240,15,1)
9,2: (5140,2056,10537,65535)  #140829FF  srgba(20,8,41,1)
10,2: (5140,4112,32639,65535)  #14107FFF  srgba(20,16,127,1)
