# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,257,0,65535)  #000100FF  srgba(0,1,0,1)
2,0: (0,1799,0,65535)  #000700FF  srgba(0,7,0,1)
3,0: (0,4369,0,65535)  #001100FF  srgba(0,17,0,1)
4,0: (0,8995,0,65535)  #002300FF  srgba(0,35,0,1)
5,0: (0,25957,0,65535)  #006500FF  srgba(0,101,0,1)
6,0: (0,34181,0,65535)  #008500FF  srgba(0,133,0,1)
7,0: (0,48573,0,65535)  #00BD00FF  srgba(0,189,0,1)
8,0: (0,53713,0,65535)  #00D100FF  srgba(0,209,0,1)
9,0: (0,57054,0,65535)  #00DE00FF  srgba(0,222,0,1)
10,0: (0,58596,0,65535)  #00E400FF  srgba(0,228,0,1)
11,0: (0,59624,0,65535)  #00E800FF  srgba(0,232,0,1)
12,0: (0,60395,0,65535)  #00EB00FF  srgba(0,235,0,1)
13,0: (257,257,514,65535)  #010102FF  srgba(1,1,2,1)
14,0: (257,59624,257,65535)  #01E801FF  srgba(1,232,1,1)
15,0: (514,0,257,65535)  #020001FF  srgba(2,0,1,1)
0,1: (514,0,6425,65535)  #020019FF  srgba(2,0,25,1)
1,1: (771,1285,514,65535)  #030502FF  srgba(3,5,2,1)
2,1: (771,6168,0,65535)  #031800FF  srgba(3,24,0,1)
3,1: (771,10280,0,65535)  #032800FF  srgba(3,40,0,1)
4,1: (1028,42148,57568,65535)  #04A4E0FF  srgba(4,164,224,1)
5,1: (1028,45746,4369,65535)  #04B211FF  srgba(4,178,17,1)
6,1: (1285,257,0,65535)  #050100FF  srgba(5,1,0,1)
7,1: (1285,55512,257,65535)  #05D801FF  srgba(5,216,1,1)
8,1: (1542,0,514,65535)  #060002FF  srgba(6,0,2,1)
9,1: (1542,18504,0,65535)  #064800FF  srgba(6,72,0,1)
10,1: (1542,38807,3341,65535)  #06970DFF  srgba(6,151,13,1)
11,1: (1542,43690,41377,65535)  #06AAA1FF  srgba(6,170,161,1)
12,1: (1542,46774,27756,65535)  #06B66CFF  srgba(6,182,108,1)
13,1: (1799,24415,2313,65535)  #075F09FF  srgba(7,95,9,1)
14,1: (1799,61937,257,65535)  #07F101FF  srgba(7,241,1,1)
15,1: (2056,39835,0,65535)  #089B00FF  srgba(8,155,0,1)
0,2: (2056,44461,0,65535)  #08AD00FF  srgba(8,173,0,1)
1,2: (2313,2313,2313,65535)  #090909FF  srgba(9,9,9,1)
2,2: (2570,50372,257,65535)  #0AC401FF  srgba(10,196,1,1)
3,2: (2827,0,19018,65535)  #0B004AFF  srgba(11,0,74,1)
4,2: (2827,4369,257,65535)  #0B1101FF  srgba(11,17,1,1)
5,2: (2827,8995,0,65535)  #0B2300FF  srgba(11,35,0,1)
6,2: (2827,46260,17733,65535)  #0BB445FF  srgba(11,180,69,1)
7,2: (3341,51143,2570,65535)  #0DC70AFF  srgba(13,199,10,1)
8,2: (3598,3855,3341,65535)  #0E0F0DFF  srgba(14,15,13,1)
9,2: (4112,11822,0,65535)  #102E00FF  srgba(16,46,0,1)
10,2: (4369,39064,27242,65535)  #11986AFF  srgba(17,152,106,1)
11,2: (4626,59110,1799,65535)  #12E607FF  srgba(18,230,7,1)
12,2: (4883,4883,4626,65535)  #131312FF  srgba(19,19,18,1)
13,2: (4883,6682,0,65535)  #131A00FF  srgba(19,26,0,1)
14,2: (4883,43176,13107,65535)  #13A833FF  srgba(19,168,51,1)
15,2: (6168,6168,5397,65535)  #181815FF  srgba(24,24,21,1)
0,3: (6682,5911,16705,65535)  #1A1741FF  srgba(26,23,65,1)
1,3: (6682,28784,64507,65535)  #1A70FBFF  srgba(26,112,251,1)
2,3: (6682,37779,17990,65535)  #1A9346FF  srgba(26,147,70,1)
3,3: (6939,6939,6939,65535)  #1B1B1BFF  srgba(27,27,27,1)
4,3: (6939,13364,0,65535)  #1B3400FF  srgba(27,52,0,1)
5,3: (7196,63479,0,65535)  #1CF700FF  srgba(28,247,0,1)
6,3: (7453,30840,55769,65535)  #1D78D9FF  srgba(29,120,217,1)
7,3: (7710,26728,3598,65535)  #1E680EFF  srgba(30,104,14,1)
8,3: (7710,51657,0,65535)  #1EC900FF  srgba(30,201,0,1)
9,3: (8224,8224,7710,65535)  #20201EFF  srgba(32,32,30,1)
10,3: (8481,6682,0,65535)  #211A00FF  srgba(33,26,0,1)
11,3: (8738,8738,8738,65535)  #222222FF  srgba(34,34,34,1)
12,3: (8738,14649,5140,65535)  #223914FF  srgba(34,57,20,1)
13,3: (8738,34438,27242,65535)  #22866AFF  srgba(34,134,106,1)
14,3: (8995,45232,4883,65535)  #23B013FF  srgba(35,176,19,1)
15,3: (9252,31354,43947,65535)  #247AABFF  srgba(36,122,171,1)
0,4: (9509,9509,9509,65535)  #252525FF  srgba(37,37,37,1)
1,4: (9766,9766,9766,65535)  #262626FF  grey15
2,4: (9766,10280,9252,65535)  #262824FF  srgba(38,40,36,1)
3,4: (9766,12336,7710,65535)  #26301EFF  srgba(38,48,30,1)
4,4: (9766,37779,5911,65535)  #269317FF  srgba(38,147,23,1)
5,4: (10023,17733,0,65535)  #274500FF  srgba(39,69,0,1)
6,4: (10023,34952,0,65535)  #278800FF  srgba(39,136,0,1)
7,4: (10280,10537,10537,65535)  #282929FF  srgba(40,41,41,1)
8,4: (10794,11051,10794,65535)  #2A2B2AFF  srgba(42,43,42,1)
9,4: (10794,13364,0,65535)  #2A3400FF  srgba(42,52,0,1)
10,4: (11308,11308,11051,65535)  #2C2C2BFF  srgba(44,44,43,1)
11,4: (11308,30840,18504,65535)  #2C7848FF  srgba(44,120,72,1)
12,4: (11822,12079,10537,65535)  #2E2F29FF  srgba(46,47,41,1)
13,4: (12079,12079,12079,65535)  #2F2F2FFF  srgba(47,47,47,1)
14,4: (12079,12336,12079,65535)  #2F302FFF  srgba(47,48,47,1)
15,4: (12079,23644,0,65535)  #2F5C00FF  srgba(47,92,0,1)
0,5: (12079,42662,0,65535)  #2FA600FF  srgba(47,166,0,1)
1,5: (12079,47545,0,65535)  #2FB900FF  srgba(47,185,0,1)
2,5: (12336,29812,27499,65535)  #30746BFF  srgba(48,116,107,1)
3,5: (12593,14392,8224,65535)  #313820FF  srgba(49,56,32,1)
4,5: (12593,19789,0,65535)  #314D00FF  srgba(49,77,0,1)
5,5: (12850,12850,11051,65535)  #32322BFF  srgba(50,50,43,1)
6,5: (12850,63222,0,65535)  #32F600FF  srgba(50,246,0,1)
7,5: (13107,13107,13107,65535)  #333333FF  grey20
8,5: (13107,52171,0,65535)  #33CB00FF  srgba(51,203,0,1)
9,5: (13364,14135,10537,65535)  #343729FF  srgba(52,55,41,1)
10,5: (13364,19275,3341,65535)  #344B0DFF  srgba(52,75,13,1)
11,5: (13878,13878,13364,65535)  #363634FF  srgba(54,54,52,1)
12,5: (13878,19275,13107,65535)  #364B33FF  srgba(54,75,51,1)
13,5: (14135,15163,10023,65535)  #373B27FF  srgba(55,59,39,1)
14,5: (14135,20817,0,65535)  #375100FF  srgba(55,81,0,1)
15,5: (14649,14649,14649,65535)  #393939FF  srgba(57,57,57,1)
0,6: (14649,17733,15163,65535)  #39453BFF  srgba(57,69,59,1)
1,6: (14906,14906,13364,65535)  #3A3A34FF  srgba(58,58,52,1)
2,6: (14906,15677,13621,65535)  #3A3D35FF  srgba(58,61,53,1)
3,6: (15163,15420,13621,65535)  #3B3C35FF  srgba(59,60,53,1)
4,6: (15163,15420,15163,65535)  #3B3C3BFF  srgba(59,60,59,1)
5,6: (15163,15934,14392,65535)  #3B3E38FF  srgba(59,62,56,1)
6,6: (15163,24415,0,65535)  #3B5F00FF  srgba(59,95,0,1)
7,6: (15677,15420,14649,65535)  #3D3C39FF  srgba(61,60,57,1)
8,6: (15677,15677,15420,65535)  #3D3D3CFF  srgba(61,61,60,1)
9,6: (16191,15677,12079,65535)  #3F3D2FFF  srgba(63,61,47,1)
10,6: (16448,16448,13621,65535)  #404035FF  srgba(64,64,53,1)
11,6: (16448,16705,15163,65535)  #40413BFF  srgba(64,65,59,1)
12,6: (16448,16705,16448,65535)  #404140FF  srgba(64,65,64,1)
13,6: (16705,15934,11565,65535)  #413E2DFF  srgba(65,62,45,1)
14,6: (16705,17476,14649,65535)  #414439FF  srgba(65,68,57,1)
15,6: (17219,42148,771,65535)  #43A403FF  srgba(67,164,3,1)
0,7: (17476,19275,59110,65535)  #444BE6FF  srgba(68,75,230,1)
1,7: (17476,25186,0,65535)  #446200FF  srgba(68,98,0,1)
2,7: (17733,19532,25957,65535)  #454C65FF  srgba(69,76,101,1)
3,7: (17733,21588,514,65535)  #455402FF  srgba(69,84,2,1)
4,7: (17733,25443,0,65535)  #456300FF  srgba(69,99,0,1)
5,7: (17990,18247,16448,65535)  #464740FF  srgba(70,71,64,1)
6,7: (17990,18247,17733,65535)  #464745FF  srgba(70,71,69,1)
7,7: (17990,20560,4626,65535)  #465012FF  srgba(70,80,18,1)
8,7: (17990,21331,0,65535)  #465300FF  srgba(70,83,0,1)
9,7: (18247,13364,2056,65535)  #473408FF  srgba(71,52,8,1)
10,7: (18504,18504,18504,65535)  #484848FF  srgba(72,72,72,1)
11,7: (18504,19018,14392,65535)  #484A38FF  srgba(72,74,56,1)
12,7: (18504,19789,19275,65535)  #484D4BFF  srgba(72,77,75,1)
13,7: (18504,20303,20046,65535)  #484F4EFF  srgba(72,79,78,1)
14,7: (18761,19018,18761,65535)  #494A49FF  srgba(73,74,73,1)
15,7: (18761,52171,257,65535)  #49CB01FF  srgba(73,203,1,1)
0,8: (19018,26728,514,65535)  #4A6802FF  srgba(74,104,2,1)
1,8: (19275,19789,18504,65535)  #4B4D48FF  srgba(75,77,72,1)
2,8: (19789,30840,20560,65535)  #4D7850FF  srgba(77,120,80,1)
3,8: (20046,19275,57568,65535)  #4E4BE0FF  srgba(78,75,224,1)
4,8: (20046,60395,0,65535)  #4EEB00FF  srgba(78,235,0,1)
5,8: (20303,20303,20046,65535)  #4F4F4EFF  srgba(79,79,78,1)
6,8: (20303,20560,19018,65535)  #4F504AFF  srgba(79,80,74,1)
7,8: (20303,20817,25443,65535)  #4F5163FF  srgba(79,81,99,1)
8,8: (20303,29041,50372,65535)  #4F71C4FF  srgba(79,113,196,1)
9,8: (20560,21074,21331,65535)  #505253FF  srgba(80,82,83,1)
10,8: (20817,20817,19275,65535)  #51514BFF  srgba(81,81,75,1)
11,8: (20817,20817,20817,65535)  #515151FF  srgba(81,81,81,1)
12,8: (21074,21331,19532,65535)  #52534CFF  srgba(82,83,76,1)
13,8: (21074,21331,21074,65535)  #525352FF  srgba(82,83,82,1)
14,8: (21074,26728,3598,65535)  #52680EFF  srgba(82,104,14,1)
15,8: (21588,21588,19789,65535)  #54544DFF  srgba(84,84,77,1)
0,9: (21588,23901,54227,65535)  #545DD3FF  srgba(84,93,211,1)
1,9: (21588,25443,21331,65535)  #546353FF  srgba(84,99,83,1)
2,9: (21588,26471,11822,65535)  #54672EFF  srgba(84,103,46,1)
3,9: (21588,29812,0,65535)  #547400FF  srgba(84,116,0,1)
4,9: (21845,19789,45746,65535)  #554DB2FF  srgba(85,77,178,1)
5,9: (21845,21845,20817,65535)  #555551FF  srgba(85,85,81,1)
6,9: (21845,21845,21845,65535)  #555555FF  srgba(85,85,85,1)
7,9: (21845,21845,22616,65535)  #555558FF  srgba(85,85,88,1)
8,9: (21845,29812,0,65535)  #557400FF  srgba(85,116,0,1)
9,9: (22102,22102,22102,65535)  #565656FF  srgba(86,86,86,1)
10,9: (22102,28527,37008,65535)  #566F90FF  srgba(86,111,144,1)
11,9: (22102,36494,1285,65535)  #568E05FF  srgba(86,142,5,1)
12,9: (22359,22616,21588,65535)  #575854FF  srgba(87,88,84,1)
13,9: (22359,23901,21845,65535)  #575D55FF  srgba(87,93,85,1)
14,9: (22359,36237,0,65535)  #578D00FF  srgba(87,141,0,1)
15,9: (22359,59367,1285,65535)  #57E705FF  srgba(87,231,5,1)
0,10: (22359,61166,0,65535)  #57EE00FF  srgba(87,238,0,1)
1,10: (22616,21074,18504,65535)  #585248FF  srgba(88,82,72,1)
2,10: (22616,23130,21845,65535)  #585A55FF  srgba(88,90,85,1)
3,10: (23130,28270,30583,65535)  #5A6E77FF  srgba(90,110,119,1)
4,10: (23387,33410,3341,65535)  #5B820DFF  srgba(91,130,13,1)
5,10: (23644,23901,22873,65535)  #5C5D59FF  srgba(92,93,89,1)
6,10: (23901,39835,771,65535)  #5D9B03FF  srgba(93,155,3,1)
7,10: (24158,33153,0,65535)  #5E8100FF  srgba(94,129,0,1)
8,10: (24158,33410,257,65535)  #5E8201FF  srgba(94,130,1,1)
9,10: (24158,60395,0,65535)  #5EEB00FF  srgba(94,235,0,1)
10,10: (24415,25443,22873,65535)  #5F6359FF  srgba(95,99,89,1)
11,10: (24672,24415,22873,65535)  #605F59FF  srgba(96,95,89,1)
12,10: (24672,24929,24672,65535)  #606160FF  srgba(96,97,96,1)
13,10: (24672,27499,21331,65535)  #606B53FF  srgba(96,107,83,1)
14,10: (24929,31611,257,65535)  #617B01FF  srgba(97,123,1,1)
15,10: (24929,31868,0,65535)  #617C00FF  srgba(97,124,0,1)
0,11: (25186,31868,0,65535)  #627C00FF  srgba(98,124,0,1)
1,11: (25443,26985,9252,65535)  #636924FF  srgba(99,105,36,1)
2,11: (25443,26985,24929,65535)  #636961FF  srgba(99,105,97,1)
3,11: (25443,33410,0,65535)  #638200FF  srgba(99,130,0,1)
4,11: (25957,20303,1799,65535)  #654F07FF  srgba(101,79,7,1)
5,11: (25957,27242,26214,65535)  #656A66FF  srgba(101,106,102,1)
6,11: (25957,28013,27499,65535)  #656D6BFF  srgba(101,109,107,1)
7,11: (26214,19275,56283,65535)  #664BDBFF  srgba(102,75,219,1)
8,11: (26214,29555,2827,65535)  #66730BFF  srgba(102,115,11,1)
9,11: (26471,29555,10794,65535)  #67732AFF  srgba(103,115,42,1)
10,11: (26471,31611,4883,65535)  #677B13FF  srgba(103,123,19,1)
11,11: (26728,29812,0,65535)  #687400FF  srgba(104,116,0,1)
12,11: (26985,23387,1542,65535)  #695B06FF  srgba(105,91,6,1)
13,11: (27242,26471,0,65535)  #6A6700FF  srgba(106,103,0,1)
14,11: (27242,27499,21074,65535)  #6A6B52FF  srgba(106,107,82,1)
15,11: (28013,31097,20817,65535)  #6D7951FF  srgba(109,121,81,1)
0,12: (28013,33667,0,65535)  #6D8300FF  srgba(109,131,0,1)
1,12: (28013,33667,0,65535)  #6D8300FF  srgba(109,131,0,1)
2,12: (28013,33924,257,65535)  #6D8401FF  srgba(109,132,1,1)
3,12: (28270,33667,3084,65535)  #6E830CFF  srgba(110,131,12,1)
4,12: (28527,29041,27499,65535)  #6F716BFF  srgba(111,113,107,1)
5,12: (28527,35723,257,65535)  #6F8B01FF  srgba(111,139,1,1)
6,12: (28784,62451,0,65535)  #70F300FF  srgba(112,243,0,1)
7,12: (29041,20560,29041,65535)  #715071FF  srgba(113,80,113,1)
8,12: (29812,30583,28270,65535)  #74776EFF  srgba(116,119,110,1)
9,12: (30069,27242,40606,65535)  #756A9EFF  srgba(117,106,158,1)
10,12: (30840,31611,28013,65535)  #787B6DFF  srgba(120,123,109,1)
11,12: (31097,31611,30583,65535)  #797B77FF  srgba(121,123,119,1)
12,12: (31611,32382,21074,65535)  #7B7E52FF  srgba(123,126,82,1)
13,12: (32125,31097,1285,65535)  #7D7905FF  srgba(125,121,5,1)
14,12: (32125,32382,31868,65535)  #7D7E7CFF  srgba(125,126,124,1)
15,12: (32125,62965,0,65535)  #7DF500FF  srgba(125,245,0,1)
0,13: (32382,25957,2827,65535)  #7E650BFF  srgba(126,101,11,1)
1,13: (32382,32382,33410,65535)  #7E7E82FF  srgba(126,126,130,1)
2,13: (32382,64764,0,65535)  #7EFC00FF  srgba(126,252,0,1)
3,13: (32639,23130,5911,65535)  #7F5A17FF  srgba(127,90,23,1)
4,13: (32639,30840,0,65535)  #7F7800FF  srgba(127,120,0,1)
5,13: (32639,32896,32639,65535)  #7F807FFF  srgba(127,128,127,1)
6,13: (32639,33153,27499,65535)  #7F816BFF  srgba(127,129,107,1)
7,13: (32896,28527,771,65535)  #806F03FF  srgba(128,111,3,1)
8,13: (33410,36237,21074,65535)  #828D52FF  srgba(130,141,82,1)
9,13: (33924,18504,50372,65535)  #8448C4FF  srgba(132,72,196,1)
10,13: (34181,34695,32896,65535)  #858780FF  srgba(133,135,128,1)
11,13: (34438,33410,0,65535)  #868200FF  srgba(134,130,0,1)
12,13: (35723,29812,257,65535)  #8B7401FF  srgba(139,116,1,1)
13,13: (35980,24158,10023,65535)  #8C5E27FF  srgba(140,94,39,1)
14,13: (35980,26728,3084,65535)  #8C680CFF  srgba(140,104,12,1)
15,13: (36237,37265,34952,65535)  #8D9188FF  srgba(141,145,136,1)
0,14: (37008,36751,27242,65535)  #908F6AFF  srgba(144,143,106,1)
1,14: (37008,37522,32639,65535)  #90927FFF  srgba(144,146,127,1)
