# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,514,65535)  #000002FF  srgba(0,0,2,1)
2,0: (0,0,771,65535)  #000003FF  srgba(0,0,3,1)
3,0: (0,0,1028,65535)  #000004FF  srgba(0,0,4,1)
4,0: (0,0,3084,65535)  #00000CFF  srgba(0,0,12,1)
5,0: (0,0,3084,65535)  #00000CFF  srgba(0,0,12,1)
6,0: (0,0,6168,65535)  #000018FF  srgba(0,0,24,1)
7,0: (0,0,6682,65535)  #00001AFF  srgba(0,0,26,1)
8,0: (0,0,9766,65535)  #000026FF  srgba(0,0,38,1)
9,0: (0,0,10537,65535)  #000029FF  srgba(0,0,41,1)
10,0: (0,0,12079,65535)  #00002FFF  srgba(0,0,47,1)
11,0: (0,0,14135,65535)  #000037FF  srgba(0,0,55,1)
12,0: (0,0,14392,65535)  #000038FF  srgba(0,0,56,1)
13,0: (0,0,17733,65535)  #000045FF  srgba(0,0,69,1)
14,0: (0,0,17990,65535)  #000046FF  srgba(0,0,70,1)
15,0: (0,0,21588,65535)  #000054FF  srgba(0,0,84,1)
0,1: (0,0,22102,65535)  #000056FF  srgba(0,0,86,1)
1,1: (0,0,25186,65535)  #000062FF  srgba(0,0,98,1)
2,1: (0,0,25186,65535)  #000062FF  srgba(0,0,98,1)
3,1: (0,0,29041,65535)  #000071FF  srgba(0,0,113,1)
4,1: (0,0,29812,65535)  #000074FF  srgba(0,0,116,1)
5,1: (0,0,32896,65535)  #000080FF  navy
6,1: (0,0,34695,65535)  #000087FF  srgba(0,0,135,1)
7,1: (0,0,38550,65535)  #000096FF  srgba(0,0,150,1)
8,1: (0,0,38550,65535)  #000096FF  srgba(0,0,150,1)
9,1: (0,0,42919,65535)  #0000A7FF  srgba(0,0,167,1)
10,1: (0,0,45746,65535)  #0000B2FF  srgba(0,0,178,1)
11,1: (0,0,46003,65535)  #0000B3FF  srgba(0,0,179,1)
12,1: (0,0,48573,65535)  #0000BDFF  srgba(0,0,189,1)
13,1: (0,0,49344,65535)  #0000C0FF  srgba(0,0,192,1)
14,1: (0,0,52685,65535)  #0000CDFF  MediumBlue
15,1: (0,0,52685,65535)  #0000CDFF  MediumBlue
0,2: (0,0,57311,65535)  #0000DFFF  srgba(0,0,223,1)
1,2: (0,0,57311,65535)  #0000DFFF  srgba(0,0,223,1)
2,2: (0,0,58596,65535)  #0000E4FF  srgba(0,0,228,1)
3,2: (0,0,59624,65535)  #0000E8FF  srgba(0,0,232,1)
4,2: (0,257,0,65535)  #000100FF  srgba(0,1,0,1)
5,2: (0,257,61166,65535)  #0001EEFF  srgba(0,1,238,1)
6,2: (0,514,61937,65535)  #0002F1FF  srgba(0,2,241,1)
7,2: (0,1285,0,65535)  #000500FF  srgba(0,5,0,1)
8,2: (0,2056,0,65535)  #000800FF  srgba(0,8,0,1)
9,2: (0,2056,257,65535)  #000801FF  srgba(0,8,1,1)
10,2: (0,3341,1028,65535)  #000D04FF  srgba(0,13,4,1)
11,2: (0,3598,0,65535)  #000E00FF  srgba(0,14,0,1)
12,2: (0,3855,0,65535)  #000F00FF  srgba(0,15,0,1)
13,2: (0,4112,60652,65535)  #0010ECFF  srgba(0,16,236,1)
14,2: (0,4369,46774,65535)  #0011B6FF  srgba(0,17,182,1)
15,2: (0,4369,53199,65535)  #0011CFFF  srgba(0,17,207,1)
0,3: (0,4626,0,65535)  #001200FF  srgba(0,18,0,1)
1,3: (0,4626,37522,65535)  #001292FF  srgba(0,18,146,1)
2,3: (0,4626,64764,65535)  #0012FCFF  srgba(0,18,252,1)
3,3: (0,5140,257,65535)  #001401FF  srgba(0,20,1,1)
4,3: (0,5654,0,65535)  #001600FF  srgba(0,22,0,1)
5,3: (0,5654,257,65535)  #001601FF  srgba(0,22,1,1)
6,3: (0,5911,0,65535)  #001700FF  srgba(0,23,0,1)
7,3: (0,6168,0,65535)  #001800FF  srgba(0,24,0,1)
8,3: (0,6682,0,65535)  #001A00FF  srgba(0,26,0,1)
9,3: (0,7710,0,65535)  #001E00FF  srgba(0,30,0,1)
10,3: (257,0,11051,65535)  #01002BFF  srgba(1,0,43,1)
11,3: (257,0,16448,65535)  #010040FF  srgba(1,0,64,1)
12,3: (257,0,23644,65535)  #01005CFF  srgba(1,0,92,1)
13,3: (257,0,32125,65535)  #01007DFF  srgba(1,0,125,1)
14,3: (257,0,39064,65535)  #010098FF  srgba(1,0,152,1)
15,3: (257,0,44204,65535)  #0100ACFF  srgba(1,0,172,1)
0,4: (257,0,50372,65535)  #0100C4FF  srgba(1,0,196,1)
1,4: (257,0,58339,65535)  #0100E3FF  srgba(1,0,227,1)
2,4: (257,3341,0,65535)  #010D00FF  srgba(1,13,0,1)
3,4: (257,3341,257,65535)  #010D01FF  srgba(1,13,1,1)
4,4: (257,3341,26471,65535)  #010D67FF  srgba(1,13,103,1)
5,4: (257,3598,17476,65535)  #010E44FF  srgba(1,14,68,1)
6,4: (257,4369,62451,65535)  #0111F3FF  srgba(1,17,243,1)
7,4: (257,5654,0,65535)  #011600FF  srgba(1,22,0,1)
8,4: (257,5654,17219,65535)  #011643FF  srgba(1,22,67,1)
9,4: (257,5654,26471,65535)  #011667FF  srgba(1,22,103,1)
10,4: (257,5911,1028,65535)  #011704FF  srgba(1,23,4,1)
11,4: (257,6168,1028,65535)  #011804FF  srgba(1,24,4,1)
12,4: (257,7196,514,65535)  #011C02FF  srgba(1,28,2,1)
13,4: (514,0,2313,65535)  #020009FF  srgba(2,0,9,1)
14,4: (514,0,6939,65535)  #02001BFF  srgba(2,0,27,1)
15,4: (514,0,14135,65535)  #020037FF  srgba(2,0,55,1)
0,5: (514,0,25186,65535)  #020062FF  srgba(2,0,98,1)
1,5: (514,0,38036,65535)  #020094FF  srgba(2,0,148,1)
2,5: (514,0,44718,65535)  #0200AEFF  srgba(2,0,174,1)
3,5: (514,0,51657,65535)  #0200C9FF  srgba(2,0,201,1)
4,5: (514,257,58853,65535)  #0201E5FF  srgba(2,1,229,1)
5,5: (514,514,514,65535)  #020202FF  srgba(2,2,2,1)
6,5: (514,3598,10537,65535)  #020E29FF  srgba(2,14,41,1)
7,5: (514,4369,49344,65535)  #0211C0FF  srgba(2,17,192,1)
8,5: (514,4626,37522,65535)  #021292FF  srgba(2,18,146,1)
9,5: (514,5140,771,65535)  #021403FF  srgba(2,20,3,1)
10,5: (771,0,0,65535)  #030000FF  srgba(3,0,0,1)
