# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,2570,0,65535)  #000A00FF  srgba(0,10,0,1)
2,0: (0,6939,0,65535)  #001B00FF  srgba(0,27,0,1)
3,0: (0,10023,0,65535)  #002700FF  srgba(0,39,0,1)
4,0: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
5,0: (257,257,0,65535)  #010100FF  srgba(1,1,0,1)
6,0: (257,257,257,65535)  #010101FF  srgba(1,1,1,1)
7,0: (257,3341,5911,65535)  #010D17FF  srgba(1,13,23,1)
8,0: (257,3598,257,65535)  #010E01FF  srgba(1,14,1,1)
9,0: (257,8995,257,65535)  #012301FF  srgba(1,35,1,1)
10,0: (257,14649,7967,65535)  #01391FFF  srgba(1,57,31,1)
11,0: (257,15420,14906,65535)  #013C3AFF  srgba(1,60,58,1)
12,0: (257,16191,19532,65535)  #013F4CFF  srgba(1,63,76,1)
13,0: (257,19275,27499,65535)  #014B6BFF  srgba(1,75,107,1)
14,0: (514,514,771,65535)  #020203FF  srgba(2,2,3,1)
15,0: (514,4883,771,65535)  #021303FF  srgba(2,19,3,1)
0,1: (771,1028,514,65535)  #030402FF  srgba(3,4,2,1)
1,1: (771,2570,2056,65535)  #030A08FF  srgba(3,10,8,1)
2,1: (771,5140,1028,65535)  #031404FF  srgba(3,20,4,1)
3,1: (1028,771,1028,65535)  #040304FF  srgba(4,3,4,1)
4,1: (1285,1285,1285,65535)  #050505FF  grey2
5,1: (2056,2056,2056,65535)  #080808FF  grey3
6,1: (2827,2570,2570,65535)  #0B0A0AFF  srgba(11,10,10,1)
7,1: (3598,3598,3341,65535)  #0E0E0DFF  srgba(14,14,13,1)
8,1: (4112,4112,4112,65535)  #101010FF  srgba(16,16,16,1)
9,1: (4626,13364,5140,65535)  #123414FF  srgba(18,52,20,1)
10,1: (4626,20046,5911,65535)  #124E17FF  srgba(18,78,23,1)
11,1: (5140,5140,4883,65535)  #141413FF  srgba(20,20,19,1)
12,1: (5654,9509,6425,65535)  #162519FF  srgba(22,37,25,1)
13,1: (5911,5911,5911,65535)  #171717FF  grey9
14,1: (6682,6939,6682,65535)  #1A1B1AFF  srgba(26,27,26,1)
15,1: (7196,7967,7196,65535)  #1C1F1CFF  srgba(28,31,28,1)
0,2: (7453,7453,7453,65535)  #1D1D1DFF  srgba(29,29,29,1)
1,2: (7710,7710,7710,65535)  #1E1E1EFF  srgba(30,30,30,1)
2,2: (8224,8224,8224,65535)  #202020FF  srgba(32,32,32,1)
3,2: (8995,8995,8738,65535)  #232322FF  srgba(35,35,34,1)
4,2: (9509,9509,9766,65535)  #252526FF  srgba(37,37,38,1)
5,2: (10023,17476,8224,65535)  #274420FF  srgba(39,68,32,1)
6,2: (10537,10537,10537,65535)  #292929FF  grey16
7,2: (10794,12079,11051,65535)  #2A2F2BFF  srgba(42,47,43,1)
8,2: (11308,23130,30840,65535)  #2C5A78FF  srgba(44,90,120,1)
9,2: (11565,11565,11565,65535)  #2D2D2DFF  srgba(45,45,45,1)
10,2: (12336,12336,12336,65535)  #303030FF  grey19
11,2: (13107,13107,13107,65535)  #333333FF  grey20
12,2: (13364,13621,13107,65535)  #343533FF  srgba(52,53,51,1)
13,2: (13878,13878,13878,65535)  #363636FF  grey21
14,2: (14649,14649,14392,65535)  #393938FF  srgba(57,57,56,1)
15,2: (14649,18761,17476,65535)  #394944FF  srgba(57,73,68,1)
0,3: (14906,15163,14906,65535)  #3A3B3AFF  srgba(58,59,58,1)
1,3: (15420,15420,15420,65535)  #3C3C3CFF  srgba(60,60,60,1)
2,3: (15677,16191,14135,65535)  #3D3F37FF  srgba(61,63,55,1)
3,3: (16448,16705,16448,65535)  #404140FF  srgba(64,65,64,1)
