# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (514,514,514,65535)  #020202FF  srgba(2,2,2,1)
2,0: (1028,771,771,65535)  #040303FF  srgba(4,3,3,1)
3,0: (1028,1028,1028,65535)  #040404FF  srgba(4,4,4,1)
4,0: (1542,1542,514,65535)  #060602FF  srgba(6,6,2,1)
5,0: (1542,1542,1799,65535)  #060607FF  srgba(6,6,7,1)
6,0: (2313,2313,2313,65535)  #090909FF  srgba(9,9,9,1)
7,0: (2570,2827,2827,65535)  #0A0B0BFF  srgba(10,11,11,1)
8,0: (3855,3598,3598,65535)  #0F0E0EFF  srgba(15,14,14,1)
9,0: (3855,3855,514,65535)  #0F0F02FF  srgba(15,15,2,1)
10,0: (4626,4626,4626,65535)  #121212FF  grey7
11,0: (5654,5911,5397,65535)  #161715FF  srgba(22,23,21,1)
12,0: (5654,5911,6425,65535)  #161719FF  srgba(22,23,25,1)
13,0: (6168,6682,6939,65535)  #181A1BFF  srgba(24,26,27,1)
14,0: (7196,11308,13621,65535)  #1C2C35FF  srgba(28,44,53,1)
15,0: (7710,7453,7453,65535)  #1E1D1DFF  srgba(30,29,29,1)
0,1: (7710,16448,18247,65535)  #1E4047FF  srgba(30,64,71,1)
1,1: (7967,14135,14649,65535)  #1F3739FF  srgba(31,55,57,1)
2,1: (7967,19789,21845,65535)  #1F4D55FF  srgba(31,77,85,1)
3,1: (8481,8481,8481,65535)  #212121FF  grey13
4,1: (8481,23644,26728,65535)  #215C68FF  srgba(33,92,104,1)
5,1: (9509,9766,10023,65535)  #252627FF  srgba(37,38,39,1)
6,1: (9766,9509,9252,65535)  #262524FF  srgba(38,37,36,1)
7,1: (10537,10280,10280,65535)  #292828FF  srgba(41,40,40,1)
8,1: (10794,11051,11051,65535)  #2A2B2BFF  srgba(42,43,43,1)
9,1: (11308,11565,11565,65535)  #2C2D2DFF  srgba(44,45,45,1)
10,1: (11308,11822,12079,65535)  #2C2E2FFF  srgba(44,46,47,1)
11,1: (12336,12336,12336,65535)  #303030FF  grey19
12,1: (12850,12850,12336,65535)  #323230FF  srgba(50,50,48,1)
13,1: (13107,11565,12336,65535)  #332D30FF  srgba(51,45,48,1)
14,1: (13107,12850,12850,65535)  #333232FF  srgba(51,50,50,1)
15,1: (13364,9252,8738,65535)  #342422FF  srgba(52,36,34,1)
0,2: (13364,11565,10537,65535)  #342D29FF  srgba(52,45,41,1)
1,2: (13621,13364,13107,65535)  #353433FF  srgba(53,52,51,1)
2,2: (14135,14135,14135,65535)  #373737FF  srgba(55,55,55,1)
3,2: (14906,14906,15163,65535)  #3A3A3BFF  srgba(58,58,59,1)
4,2: (15677,15677,15677,65535)  #3D3D3DFF  grey24
5,2: (15677,30583,32125,65535)  #3D777DFF  srgba(61,119,125,1)
6,2: (15934,15934,15677,65535)  #3E3E3DFF  srgba(62,62,61,1)
7,2: (16191,16191,12593,65535)  #3F3F31FF  srgba(63,63,49,1)
8,2: (16191,20046,20817,65535)  #3F4E51FF  srgba(63,78,81,1)
9,2: (16191,34695,38036,65535)  #3F8794FF  srgba(63,135,148,1)
10,2: (16448,16448,16191,65535)  #40403FFF  srgba(64,64,63,1)
11,2: (16705,16705,16705,65535)  #414141FF  srgba(65,65,65,1)
12,2: (17476,17476,17733,65535)  #444445FF  srgba(68,68,69,1)
13,2: (17733,41120,43947,65535)  #45A0ABFF  srgba(69,160,171,1)
14,2: (18504,18504,18504,65535)  #484848FF  srgba(72,72,72,1)
15,2: (18504,45489,49087,65535)  #48B1BFFF  srgba(72,177,191,1)
0,3: (18761,25957,28784,65535)  #496570FF  srgba(73,101,112,1)
1,3: (19018,18761,19018,65535)  #4A494AFF  srgba(74,73,74,1)
2,3: (19275,19018,19018,65535)  #4B4A4AFF  srgba(75,74,74,1)
3,3: (19532,19532,19532,65535)  #4C4C4CFF  srgba(76,76,76,1)
4,3: (20303,18247,17990,65535)  #4F4746FF  srgba(79,71,70,1)
5,3: (20303,20046,20046,65535)  #4F4E4EFF  srgba(79,78,78,1)
6,3: (20560,14649,13621,65535)  #503935FF  srgba(80,57,53,1)
7,3: (20560,20560,20817,65535)  #505051FF  srgba(80,80,81,1)
8,3: (20817,19789,19018,65535)  #514D4AFF  srgba(81,77,74,1)
9,3: (21074,17733,13364,65535)  #524534FF  srgba(82,69,52,1)
10,3: (21074,35466,38807,65535)  #528A97FF  srgba(82,138,151,1)
11,3: (21588,30583,31868,65535)  #54777CFF  srgba(84,119,124,1)
12,3: (21845,21074,21331,65535)  #555253FF  srgba(85,82,83,1)
13,3: (21845,22102,21845,65535)  #555655FF  srgba(85,86,85,1)
14,3: (22359,20303,13364,65535)  #574F34FF  srgba(87,79,52,1)
15,3: (22616,22616,22616,65535)  #585858FF  srgba(88,88,88,1)
0,4: (22616,40606,43690,65535)  #589EAAFF  srgba(88,158,170,1)
1,4: (22873,45746,49601,65535)  #59B2C1FF  srgba(89,178,193,1)
2,4: (23130,23130,23130,65535)  #5A5A5AFF  srgba(90,90,90,1)
3,4: (23644,23387,23387,65535)  #5C5B5BFF  srgba(92,91,91,1)
4,4: (23644,23901,23901,65535)  #5C5D5DFF  srgba(92,93,93,1)
5,4: (23644,25443,26214,65535)  #5C6366FF  srgba(92,99,102,1)
6,4: (23901,35980,39064,65535)  #5D8C98FF  srgba(93,140,152,1)
7,4: (24415,20560,19532,65535)  #5F504CFF  srgba(95,80,76,1)
8,4: (24415,24158,24415,65535)  #5F5E5FFF  srgba(95,94,95,1)
9,4: (24672,24672,24672,65535)  #606060FF  srgba(96,96,96,1)
10,4: (24929,23644,22616,65535)  #615C58FF  srgba(97,92,88,1)
11,4: (24929,24672,12850,65535)  #616032FF  srgba(97,96,50,1)
12,4: (24929,24929,25186,65535)  #616162FF  srgba(97,97,98,1)
13,4: (24929,26471,27756,65535)  #61676CFF  srgba(97,103,108,1)
14,4: (24929,28013,26728,65535)  #616D68FF  srgba(97,109,104,1)
15,4: (24929,30069,31611,65535)  #61757BFF  srgba(97,117,123,1)
0,5: (25186,28784,18247,65535)  #627047FF  srgba(98,112,71,1)
1,5: (25443,25700,25443,65535)  #636463FF  srgba(99,100,99,1)
2,5: (25700,25700,25700,65535)  #646464FF  srgba(100,100,100,1)
3,5: (25700,28013,27499,65535)  #646D6BFF  srgba(100,109,107,1)
4,5: (25700,55255,58082,65535)  #64D7E2FF  srgba(100,215,226,1)
5,5: (26214,24158,20817,65535)  #665E51FF  srgba(102,94,81,1)
6,5: (26214,40606,43176,65535)  #669EA8FF  srgba(102,158,168,1)
