# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
1,0: (1542,1285,1285,65535)  #060505FF  srgba(6,5,5,1)
2,0: (1799,0,0,65535)  #070000FF  srgba(7,0,0,1)
3,0: (2827,2827,2570,65535)  #0B0B0AFF  srgba(11,11,10,1)
4,0: (3855,257,0,65535)  #0F0100FF  srgba(15,1,0,1)
5,0: (3855,3855,3855,65535)  #0F0F0FFF  grey6
6,0: (4883,4112,3855,65535)  #13100FFF  srgba(19,16,15,1)
7,0: (5654,5140,3855,65535)  #16140FFF  srgba(22,20,15,1)
8,0: (5911,5911,5911,65535)  #171717FF  grey9
9,0: (6168,771,0,65535)  #180300FF  srgba(24,3,0,1)
10,0: (7196,3084,257,65535)  #1C0C01FF  srgba(28,12,1,1)
11,0: (7710,7710,7453,65535)  #1E1E1DFF  srgba(30,30,29,1)
12,0: (8738,8224,7710,65535)  #22201EFF  srgba(34,32,30,1)
13,0: (8995,1285,0,65535)  #230500FF  srgba(35,5,0,1)
14,0: (10023,9509,9252,65535)  #272524FF  srgba(39,37,36,1)
15,0: (10280,10280,10280,65535)  #282828FF  srgba(40,40,40,1)
0,1: (10537,3598,0,65535)  #290E00FF  srgba(41,14,0,1)
1,1: (10537,3598,0,65535)  #290E00FF  srgba(41,14,0,1)
2,1: (10794,4626,1799,65535)  #2A1207FF  srgba(42,18,7,1)
3,1: (11565,4112,514,65535)  #2D1002FF  srgba(45,16,2,1)
4,1: (11565,7710,6682,65535)  #2D1E1AFF  srgba(45,30,26,1)
5,1: (11822,11308,11051,65535)  #2E2C2BFF  srgba(46,44,43,1)
6,1: (12079,10023,7453,65535)  #2F271DFF  srgba(47,39,29,1)
7,1: (12593,12593,12336,65535)  #313130FF  srgba(49,49,48,1)
8,1: (12850,7453,3084,65535)  #321D0CFF  srgba(50,29,12,1)
9,1: (13364,4369,0,65535)  #341100FF  srgba(52,17,0,1)
10,1: (13621,5140,0,65535)  #351400FF  srgba(53,20,0,1)
11,1: (13621,8738,2827,65535)  #35220BFF  srgba(53,34,11,1)
12,1: (13878,13621,13878,65535)  #363536FF  srgba(54,53,54,1)
13,1: (14135,6939,257,65535)  #371B01FF  srgba(55,27,1,1)
14,1: (14135,10280,3855,65535)  #37280FFF  srgba(55,40,15,1)
15,1: (15163,14906,14906,65535)  #3B3A3AFF  srgba(59,58,58,1)
0,2: (15420,13878,13364,65535)  #3C3634FF  srgba(60,54,52,1)
1,2: (15420,15163,15163,65535)  #3C3B3BFF  srgba(60,59,59,1)
2,2: (15677,15420,15420,65535)  #3D3C3CFF  srgba(61,60,60,1)
3,2: (15934,15677,15934,65535)  #3E3D3EFF  srgba(62,61,62,1)
4,2: (16705,16705,16705,65535)  #414141FF  srgba(65,65,65,1)
5,2: (17476,8224,2056,65535)  #442008FF  srgba(68,32,8,1)
6,2: (17476,17476,17476,65535)  #444444FF  srgba(68,68,68,1)
7,2: (17733,6939,0,65535)  #451B00FF  srgba(69,27,0,1)
8,2: (17733,7453,257,65535)  #451D01FF  srgba(69,29,1,1)
9,2: (17733,12079,6682,65535)  #452F1AFF  srgba(69,47,26,1)
10,2: (18247,14906,13364,65535)  #473A34FF  srgba(71,58,52,1)
11,2: (18247,17733,17219,65535)  #474543FF  srgba(71,69,67,1)
12,2: (18247,18247,18247,65535)  #474747FF  grey28
13,2: (18504,9766,3084,65535)  #48260CFF  srgba(72,38,12,1)
14,2: (18504,18247,18247,65535)  #484747FF  srgba(72,71,71,1)
15,2: (18761,18761,18761,65535)  #494949FF  srgba(73,73,73,1)
0,3: (19275,11565,2570,65535)  #4B2D0AFF  srgba(75,45,10,1)
1,3: (19275,17476,16448,65535)  #4B4440FF  srgba(75,68,64,1)
2,3: (19275,19275,16191,65535)  #4B4B3FFF  srgba(75,75,63,1)
3,3: (19275,19275,19275,65535)  #4B4B4BFF  srgba(75,75,75,1)
4,3: (19789,8738,0,65535)  #4D2200FF  srgba(77,34,0,1)
5,3: (19789,14649,7710,65535)  #4D391EFF  srgba(77,57,30,1)
6,3: (19789,19789,19789,65535)  #4D4D4DFF  grey30
7,3: (20560,9766,257,65535)  #502601FF  srgba(80,38,1,1)
8,3: (20560,18247,15934,65535)  #50473EFF  srgba(80,71,62,1)
9,3: (20560,20560,20560,65535)  #505050FF  srgba(80,80,80,1)
10,3: (20817,9766,0,65535)  #512600FF  srgba(81,38,0,1)
11,3: (20817,14906,11822,65535)  #513A2EFF  srgba(81,58,46,1)
12,3: (21074,11051,257,65535)  #522B01FF  srgba(82,43,1,1)
13,3: (21074,12593,6682,65535)  #52311AFF  srgba(82,49,26,1)
14,3: (21074,14649,3855,65535)  #52390FFF  srgba(82,57,15,1)
15,3: (21074,15420,6168,65535)  #523C18FF  srgba(82,60,24,1)
0,4: (21074,21074,21074,65535)  #525252FF  grey32
1,4: (21588,21588,21588,65535)  #545454FF  grey33
2,4: (21845,22102,21845,65535)  #555655FF  srgba(85,86,85,1)
3,4: (22102,17476,6939,65535)  #56441BFF  srgba(86,68,27,1)
4,4: (22102,21074,21331,65535)  #565253FF  srgba(86,82,83,1)
5,4: (22359,20046,17990,65535)  #574E46FF  srgba(87,78,70,1)
6,4: (22616,12336,2056,65535)  #583008FF  srgba(88,48,8,1)
7,4: (22616,20303,13364,65535)  #584F34FF  srgba(88,79,52,1)
8,4: (22616,22616,22359,65535)  #585857FF  srgba(88,88,87,1)
9,4: (23130,11565,257,65535)  #5A2D01FF  srgba(90,45,1,1)
10,4: (23387,23387,23387,65535)  #5B5B5BFF  srgba(91,91,91,1)
11,4: (24415,11308,0,65535)  #5F2C00FF  srgba(95,44,0,1)
12,4: (24415,13364,2570,65535)  #5F340AFF  srgba(95,52,10,1)
13,4: (24672,24415,24158,65535)  #605F5EFF  srgba(96,95,94,1)
14,4: (24929,11308,0,65535)  #612C00FF  srgba(97,44,0,1)
15,4: (24929,23130,21845,65535)  #615A55FF  srgba(97,90,85,1)
0,5: (24929,24672,24929,65535)  #616061FF  srgba(97,96,97,1)
1,5: (25443,12850,0,65535)  #633200FF  srgba(99,50,0,1)
2,5: (25443,13107,1028,65535)  #633304FF  srgba(99,51,4,1)
3,5: (25443,17733,13878,65535)  #634536FF  srgba(99,69,54,1)
4,5: (25443,22359,19018,65535)  #63574AFF  srgba(99,87,74,1)
5,5: (25700,17990,6168,65535)  #644618FF  srgba(100,70,24,1)
6,5: (25957,14649,2313,65535)  #653909FF  srgba(101,57,9,1)
7,5: (25957,15420,3341,65535)  #653C0DFF  srgba(101,60,13,1)
8,5: (25957,25700,25700,65535)  #656464FF  srgba(101,100,100,1)
9,5: (26214,11565,0,65535)  #662D00FF  srgba(102,45,0,1)
10,5: (26214,13621,2313,65535)  #663509FF  srgba(102,53,9,1)
11,5: (26214,17476,10537,65535)  #664429FF  srgba(102,68,41,1)
12,5: (26471,13364,257,65535)  #673401FF  srgba(103,52,1,1)
13,5: (26471,20560,12850,65535)  #675032FF  srgba(103,80,50,1)
14,5: (26471,21074,20560,65535)  #675250FF  srgba(103,82,80,1)
15,5: (26728,26471,26471,65535)  #686767FF  srgba(104,103,103,1)
0,6: (26985,14649,1285,65535)  #693905FF  srgba(105,57,5,1)
1,6: (27242,15163,1799,65535)  #6A3B07FF  srgba(106,59,7,1)
2,6: (27242,24415,19275,65535)  #6A5F4BFF  srgba(106,95,75,1)
3,6: (27499,14649,1285,65535)  #6B3905FF  srgba(107,57,5,1)
4,6: (27499,15934,2827,65535)  #6B3E0BFF  srgba(107,62,11,1)
5,6: (27499,17990,5654,65535)  #6B4616FF  srgba(107,70,22,1)
6,6: (27499,22873,13878,65535)  #6B5936FF  srgba(107,89,54,1)
7,6: (27499,27499,27499,65535)  #6B6B6BFF  grey42
8,6: (27756,13364,0,65535)  #6C3400FF  srgba(108,52,0,1)
9,6: (28527,15163,1285,65535)  #6F3B05FF  srgba(111,59,5,1)
