Date,Name,Month,ProcessedName
01-02-2016,burstingNeglectedBalloons,January,bursting Neglected Balloons
01-02-2016,blurryEyesight,January,blurry Eyesight
01-02-2016,breakawayImpact,January,breakaway Impact
01-02-2016,windowOfReasonableDoubt,January,window Of Reasonable Doubt
01-02-2016,shadowGamemaster,January,shadow Gamemaster
01-02-2016,reversingThePoolingPuddle,January,reversing The Pooling Puddle
01-02-2016,paranoiaStains,January,paranoia Stains
01-02-2016,opticnerveInflammation,January,opticnerve Inflammation
01-02-2016,glasspieceUnderSkin,January,glasspiece Under Skin
01-02-2016,evolutionarySteps,January,evolutionary Steps
01-02-2016,cancerInfancy,January,cancer Infancy
01-05-2016,reptileTail,January,reptile Tail
01-05-2016,starBlock,January,star Block
01-05-2016,inkMincer,January,ink Mincer
01-05-2016,purplePills,January,purple Pills
01-05-2016,drillDown,January,drill Down
01-06-2016,eagerAlgae,January,eager Algae
01-07-2016,handslicedMRI,January,handsliced M R I
01-07-2016,innerSchwwaaa,January,inner Schwwaaa
01-07-2016,morningCupOfDust,January,morning Cup Of Dust
01-07-2016,seasonalcoldSymptomCriteria,January,seasonalcold Symptom Criteria
01-07-2016,sharkgnawedTransAtlanticCable,January,sharkgnawed Trans Atlantic Cable
01-07-2016,spinningSchwwaaa,January,spinning Schwwaaa
01-07-2016,tigerSlicer,January,tiger Slicer
01-07-2016,toxicthoughtPortrait,January,toxicthought Portrait
01-07-2016,tightjabSalivaDrip,January,tightjab Saliva Drip
01-08-2016,hibernationPictorial,January,hibernation Pictorial
01-08-2016,beachballDripPeel,January,beachball Drip Peel
01-08-2016,cheeseArtery,January,cheese Artery
01-08-2016,deepoceanOrganisms,January,deepocean Organisms
01-08-2016,diamondlineDigital,January,diamondline Digital
01-08-2016,drainingPipe,January,draining Pipe
01-08-2016,gelatoEdge,January,gelato Edge
01-08-2016,halfmagnetPlane,January,halfmagnet Plane
01-08-2016,hibernationPictorial2,January,hibernation Pictorial 2
01-08-2016,kickingupMud,January,kickingup Mud
