# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,514,65535)  #000002FF  srgba(0,0,2,1)
2,0: (0,0,771,65535)  #000003FF  srgba(0,0,3,1)
3,0: (0,0,1285,65535)  #000005FF  srgba(0,0,5,1)
4,0: (0,0,1542,65535)  #000006FF  srgba(0,0,6,1)
5,0: (0,0,2056,65535)  #000008FF  srgba(0,0,8,1)
6,0: (0,0,2570,65535)  #00000AFF  srgba(0,0,10,1)
7,0: (0,0,2827,65535)  #00000BFF  srgba(0,0,11,1)
8,0: (0,0,3341,65535)  #00000DFF  srgba(0,0,13,1)
9,0: (0,0,3855,65535)  #00000FFF  srgba(0,0,15,1)
10,0: (0,0,3855,65535)  #00000FFF  srgba(0,0,15,1)
11,0: (0,0,4626,65535)  #000012FF  srgba(0,0,18,1)
12,0: (0,0,4883,65535)  #000013FF  srgba(0,0,19,1)
13,0: (0,0,5397,65535)  #000015FF  srgba(0,0,21,1)
14,0: (0,0,6168,65535)  #000018FF  srgba(0,0,24,1)
15,0: (0,0,6682,65535)  #00001AFF  srgba(0,0,26,1)
0,1: (0,0,7453,65535)  #00001DFF  srgba(0,0,29,1)
1,1: (0,0,7967,65535)  #00001FFF  srgba(0,0,31,1)
2,1: (0,0,8224,65535)  #000020FF  srgba(0,0,32,1)
3,1: (0,0,8995,65535)  #000023FF  srgba(0,0,35,1)
4,1: (0,0,9252,65535)  #000024FF  srgba(0,0,36,1)
5,1: (0,0,9766,65535)  #000026FF  srgba(0,0,38,1)
6,1: (0,0,10023,65535)  #000027FF  srgba(0,0,39,1)
7,1: (0,0,10794,65535)  #00002AFF  srgba(0,0,42,1)
8,1: (0,0,11308,65535)  #00002CFF  srgba(0,0,44,1)
9,1: (0,0,11565,65535)  #00002DFF  srgba(0,0,45,1)
10,1: (0,0,11822,65535)  #00002EFF  srgba(0,0,46,1)
11,1: (0,0,12336,65535)  #000030FF  srgba(0,0,48,1)
12,1: (0,0,12850,65535)  #000032FF  srgba(0,0,50,1)
13,1: (0,0,13107,65535)  #000033FF  srgba(0,0,51,1)
14,1: (0,0,13364,65535)  #000034FF  srgba(0,0,52,1)
15,1: (0,0,13621,65535)  #000035FF  srgba(0,0,53,1)
0,2: (0,0,14135,65535)  #000037FF  srgba(0,0,55,1)
1,2: (0,0,14649,65535)  #000039FF  srgba(0,0,57,1)
2,2: (0,0,14906,65535)  #00003AFF  srgba(0,0,58,1)
3,2: (0,0,15677,65535)  #00003DFF  srgba(0,0,61,1)
4,2: (0,0,16191,65535)  #00003FFF  srgba(0,0,63,1)
5,2: (0,0,16962,65535)  #000042FF  srgba(0,0,66,1)
6,2: (0,0,17219,65535)  #000043FF  srgba(0,0,67,1)
7,2: (0,0,17733,65535)  #000045FF  srgba(0,0,69,1)
8,2: (0,0,17990,65535)  #000046FF  srgba(0,0,70,1)
9,2: (0,0,17990,65535)  #000046FF  srgba(0,0,70,1)
10,2: (0,0,18504,65535)  #000048FF  srgba(0,0,72,1)
11,2: (0,0,18761,65535)  #000049FF  srgba(0,0,73,1)
12,2: (0,0,19275,65535)  #00004BFF  srgba(0,0,75,1)
13,2: (0,0,19789,65535)  #00004DFF  srgba(0,0,77,1)
14,2: (0,0,20046,65535)  #00004EFF  srgba(0,0,78,1)
15,2: (0,0,20303,65535)  #00004FFF  srgba(0,0,79,1)
0,3: (0,0,20817,65535)  #000051FF  srgba(0,0,81,1)
1,3: (0,0,21588,65535)  #000054FF  srgba(0,0,84,1)
2,3: (0,0,22102,65535)  #000056FF  srgba(0,0,86,1)
3,3: (0,0,22359,65535)  #000057FF  srgba(0,0,87,1)
4,3: (0,0,22616,65535)  #000058FF  srgba(0,0,88,1)
5,3: (0,0,22873,65535)  #000059FF  srgba(0,0,89,1)
6,3: (0,0,23644,65535)  #00005CFF  srgba(0,0,92,1)
7,3: (0,0,23901,65535)  #00005DFF  srgba(0,0,93,1)
8,3: (0,0,24158,65535)  #00005EFF  srgba(0,0,94,1)
9,3: (0,0,24672,65535)  #000060FF  srgba(0,0,96,1)
10,3: (0,0,25957,65535)  #000065FF  srgba(0,0,101,1)
11,3: (0,0,25957,65535)  #000065FF  srgba(0,0,101,1)
12,3: (0,0,26214,65535)  #000066FF  srgba(0,0,102,1)
13,3: (0,0,26471,65535)  #000067FF  srgba(0,0,103,1)
14,3: (0,0,26985,65535)  #000069FF  srgba(0,0,105,1)
15,3: (0,0,27242,65535)  #00006AFF  srgba(0,0,106,1)
0,4: (0,0,27756,65535)  #00006CFF  srgba(0,0,108,1)
1,4: (0,0,28270,65535)  #00006EFF  srgba(0,0,110,1)
2,4: (0,0,28784,65535)  #000070FF  srgba(0,0,112,1)
3,4: (0,0,28784,65535)  #000070FF  srgba(0,0,112,1)
4,4: (0,0,29298,65535)  #000072FF  srgba(0,0,114,1)
5,4: (0,0,29555,65535)  #000073FF  srgba(0,0,115,1)
6,4: (0,0,29812,65535)  #000074FF  srgba(0,0,116,1)
7,4: (0,0,30069,65535)  #000075FF  srgba(0,0,117,1)
8,4: (0,0,30583,65535)  #000077FF  srgba(0,0,119,1)
9,4: (0,0,30583,65535)  #000077FF  srgba(0,0,119,1)
10,4: (0,0,31354,65535)  #00007AFF  srgba(0,0,122,1)
11,4: (0,0,31354,65535)  #00007AFF  srgba(0,0,122,1)
12,4: (0,0,32125,65535)  #00007DFF  srgba(0,0,125,1)
13,4: (0,0,32382,65535)  #00007EFF  srgba(0,0,126,1)
14,4: (0,0,32896,65535)  #000080FF  navy
15,4: (0,0,32896,65535)  #000080FF  navy
0,5: (0,0,33410,65535)  #000082FF  srgba(0,0,130,1)
1,5: (0,0,33667,65535)  #000083FF  srgba(0,0,131,1)
2,5: (0,0,34438,65535)  #000086FF  srgba(0,0,134,1)
3,5: (0,0,34438,65535)  #000086FF  srgba(0,0,134,1)
4,5: (0,0,35466,65535)  #00008AFF  srgba(0,0,138,1)
5,5: (0,0,36237,65535)  #00008DFF  srgba(0,0,141,1)
6,5: (0,0,36494,65535)  #00008EFF  srgba(0,0,142,1)
7,5: (0,0,37008,65535)  #000090FF  srgba(0,0,144,1)
8,5: (0,0,37265,65535)  #000091FF  srgba(0,0,145,1)
9,5: (0,0,37779,65535)  #000093FF  srgba(0,0,147,1)
10,5: (0,0,38293,65535)  #000095FF  srgba(0,0,149,1)
11,5: (0,0,38293,65535)  #000095FF  srgba(0,0,149,1)
12,5: (0,0,38807,65535)  #000097FF  srgba(0,0,151,1)
