# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (1028,0,0,65535)  #040000FF  srgba(4,0,0,1)
1,0: (1285,0,257,65535)  #050001FF  srgba(5,0,1,1)
2,0: (1285,0,1028,65535)  #050004FF  srgba(5,0,4,1)
3,0: (1285,1542,1799,65535)  #050607FF  srgba(5,6,7,1)
4,0: (1799,0,2570,65535)  #07000AFF  srgba(7,0,10,1)
5,0: (3084,2570,2827,65535)  #0C0A0BFF  srgba(12,10,11,1)
6,0: (4626,4883,4883,65535)  #121313FF  srgba(18,19,19,1)
7,0: (5140,5654,10023,65535)  #141627FF  srgba(20,22,39,1)
8,0: (6939,2313,2570,65535)  #1B090AFF  srgba(27,9,10,1)
9,0: (7196,6939,7710,65535)  #1C1B1EFF  srgba(28,27,30,1)
10,0: (7710,13107,24672,65535)  #1E3360FF  srgba(30,51,96,1)
11,0: (8224,5397,4883,65535)  #201513FF  srgba(32,21,19,1)
12,0: (8224,7453,6168,65535)  #201D18FF  srgba(32,29,24,1)
13,0: (8224,8738,8995,65535)  #202223FF  srgba(32,34,35,1)
14,0: (8224,13621,32896,65535)  #203580FF  srgba(32,53,128,1)
15,0: (8738,0,0,65535)  #220000FF  srgba(34,0,0,1)
0,1: (8995,0,1285,65535)  #230005FF  srgba(35,0,5,1)
1,1: (10537,8738,10023,65535)  #292227FF  srgba(41,34,39,1)
2,1: (11051,11565,11822,65535)  #2B2D2EFF  srgba(43,45,46,1)
3,1: (11565,23644,37779,65535)  #2D5C93FF  srgba(45,92,147,1)
4,1: (11822,13878,21074,65535)  #2E3652FF  srgba(46,54,82,1)
5,1: (13107,13107,13107,65535)  #333333FF  grey20
6,1: (13107,20560,23901,65535)  #33505DFF  srgba(51,80,93,1)
7,1: (14906,32382,46517,65535)  #3A7EB5FF  srgba(58,126,181,1)
8,1: (15163,17990,19018,65535)  #3B464AFF  srgba(59,70,74,1)
9,1: (15163,24929,49858,65535)  #3B61C2FF  srgba(59,97,194,1)
10,1: (15677,14906,14135,65535)  #3D3A37FF  srgba(61,58,55,1)
11,1: (15934,0,1028,65535)  #3E0004FF  srgba(62,0,4,1)
12,1: (15934,11308,13107,65535)  #3E2C33FF  srgba(62,44,51,1)
13,1: (15934,15934,19275,65535)  #3E3E4BFF  srgba(62,62,75,1)
14,1: (15934,17733,17990,65535)  #3E4546FF  srgba(62,69,70,1)
15,1: (16191,15677,15677,65535)  #3F3D3DFF  srgba(63,61,61,1)
0,2: (16191,33410,55512,65535)  #3F82D8FF  srgba(63,130,216,1)
1,2: (16448,5140,5397,65535)  #401415FF  srgba(64,20,21,1)
2,2: (16448,10537,8481,65535)  #402921FF  srgba(64,41,33,1)
3,2: (16705,16191,18761,65535)  #413F49FF  srgba(65,63,73,1)
4,2: (16705,17476,17476,65535)  #414444FF  srgba(65,68,68,1)
5,2: (16962,16448,16962,65535)  #424042FF  srgba(66,64,66,1)
6,2: (16962,16705,17476,65535)  #424144FF  srgba(66,65,68,1)
7,2: (16962,16705,18247,65535)  #424147FF  srgba(66,65,71,1)
8,2: (16962,16962,16962,65535)  #424242FF  grey26
9,2: (16962,32639,60652,65535)  #427FECFF  srgba(66,127,236,1)
10,2: (17219,16962,17733,65535)  #434245FF  srgba(67,66,69,1)
11,2: (17219,17219,17219,65535)  #434343FF  srgba(67,67,67,1)
12,2: (17219,42148,63736,65535)  #43A4F8FF  srgba(67,164,248,1)
13,2: (17476,41891,65535,65535)  #44A3FFFF  srgba(68,163,255,1)
14,2: (17733,52171,65278,65535)  #45CBFEFF  srgba(69,203,254,1)
15,2: (17733,60395,65535,65535)  #45EBFFFF  srgba(69,235,255,1)
0,3: (17990,17990,18247,65535)  #464647FF  srgba(70,70,71,1)
1,3: (17990,53970,65535,65535)  #46D2FFFF  srgba(70,210,255,1)
