# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (1028,514,1028,65535)  #040204FF  srgba(4,2,4,1)
2,0: (5911,2570,5397,65535)  #170A15FF  srgba(23,10,21,1)
3,0: (7196,6939,7196,65535)  #1C1B1CFF  srgba(28,27,28,1)
4,0: (10280,10023,10794,65535)  #28272AFF  srgba(40,39,42,1)
5,0: (12336,12336,12336,65535)  #303030FF  grey19
6,0: (12593,10794,11822,65535)  #312A2EFF  srgba(49,42,46,1)
7,0: (13107,13878,13621,65535)  #333635FF  srgba(51,54,53,1)
8,0: (13364,13621,12850,65535)  #343532FF  srgba(52,53,50,1)
9,0: (13621,13878,12850,65535)  #353632FF  srgba(53,54,50,1)
10,0: (13878,13878,13878,65535)  #363636FF  grey21
11,0: (13878,13878,14135,65535)  #363637FF  srgba(54,54,55,1)
12,0: (14135,11822,15677,65535)  #372E3DFF  srgba(55,46,61,1)
13,0: (14135,13364,13878,65535)  #373436FF  srgba(55,52,54,1)
14,0: (14135,13621,12593,65535)  #373531FF  srgba(55,53,49,1)
15,0: (14135,13621,13107,65535)  #373533FF  srgba(55,53,51,1)
0,1: (14135,13878,14649,65535)  #373639FF  srgba(55,54,57,1)
1,1: (14392,13107,13621,65535)  #383335FF  srgba(56,51,53,1)
2,1: (14392,13107,14649,65535)  #383339FF  srgba(56,51,57,1)
3,1: (14392,13107,15163,65535)  #38333BFF  srgba(56,51,59,1)
4,1: (14392,13364,12850,65535)  #383432FF  srgba(56,52,50,1)
5,1: (14392,14392,13107,65535)  #383833FF  srgba(56,56,51,1)
6,1: (14649,12850,13107,65535)  #393233FF  srgba(57,50,51,1)
7,1: (14649,13878,15420,65535)  #39363CFF  srgba(57,54,60,1)
8,1: (14906,13107,15934,65535)  #3A333EFF  srgba(58,51,62,1)
9,1: (14906,14906,15163,65535)  #3A3A3BFF  srgba(58,58,59,1)
10,1: (15163,11308,12850,65535)  #3B2C32FF  srgba(59,44,50,1)
11,1: (15163,12079,15677,65535)  #3B2F3DFF  srgba(59,47,61,1)
12,1: (15420,12850,16962,65535)  #3C3242FF  srgba(60,50,66,1)
13,1: (15677,14135,16448,65535)  #3D3740FF  srgba(61,55,64,1)
14,1: (15934,12336,15677,65535)  #3E303DFF  srgba(62,48,61,1)
15,1: (15934,16448,15677,65535)  #3E403DFF  srgba(62,64,61,1)
0,2: (16191,11565,16191,65535)  #3F2D3FFF  srgba(63,45,63,1)
1,2: (16448,11051,19018,65535)  #402B4AFF  srgba(64,43,74,1)
2,2: (16705,15934,17219,65535)  #413E43FF  srgba(65,62,67,1)
3,2: (16962,14135,19275,65535)  #42374BFF  srgba(66,55,75,1)
4,2: (17219,12850,19789,65535)  #43324DFF  srgba(67,50,77,1)
5,2: (17476,11565,16191,65535)  #442D3FFF  srgba(68,45,63,1)
6,2: (17476,15934,19018,65535)  #443E4AFF  srgba(68,62,74,1)
7,2: (17733,9252,23387,65535)  #45245BFF  srgba(69,36,91,1)
8,2: (17990,10537,19532,65535)  #46294CFF  srgba(70,41,76,1)
9,2: (18247,10023,21074,65535)  #472752FF  srgba(71,39,82,1)
10,2: (18504,10794,16705,65535)  #482A41FF  srgba(72,42,65,1)
11,2: (18504,16191,23130,65535)  #483F5AFF  srgba(72,63,90,1)
12,2: (18504,19532,18761,65535)  #484C49FF  srgba(72,76,73,1)
13,2: (19275,9252,23130,65535)  #4B245AFF  srgba(75,36,90,1)
14,2: (19275,18761,23644,65535)  #4B495CFF  srgba(75,73,92,1)
15,2: (19789,9509,17219,65535)  #4D2543FF  srgba(77,37,67,1)
0,3: (19789,9509,21588,65535)  #4D2554FF  srgba(77,37,84,1)
1,3: (19789,10280,19275,65535)  #4D284BFF  srgba(77,40,75,1)
2,3: (19789,23130,24929,65535)  #4D5A61FF  srgba(77,90,97,1)
3,3: (20046,8738,23901,65535)  #4E225DFF  srgba(78,34,93,1)
4,3: (20817,8995,19532,65535)  #51234CFF  srgba(81,35,76,1)
5,3: (21331,7967,26471,65535)  #531F67FF  srgba(83,31,103,1)
6,3: (21331,8481,23901,65535)  #53215DFF  srgba(83,33,93,1)
7,3: (21331,8738,22102,65535)  #532256FF  srgba(83,34,86,1)
8,3: (23130,7710,23901,65535)  #5A1E5DFF  srgba(90,30,93,1)
9,3: (23130,8481,20046,65535)  #5A214EFF  srgba(90,33,78,1)
10,3: (23130,17476,19789,65535)  #5A444DFF  srgba(90,68,77,1)
11,3: (23130,19018,24415,65535)  #5A4A5FFF  srgba(90,74,95,1)
12,3: (23387,7453,25957,65535)  #5B1D65FF  srgba(91,29,101,1)
13,3: (23901,7453,27242,65535)  #5D1D6AFF  srgba(93,29,106,1)
14,3: (23901,7453,29298,65535)  #5D1D72FF  srgba(93,29,114,1)
15,3: (23901,7967,22102,65535)  #5D1F56FF  srgba(93,31,86,1)
0,4: (25186,7196,23901,65535)  #621C5DFF  srgba(98,28,93,1)
1,4: (25186,14135,30583,65535)  #623777FF  srgba(98,55,119,1)
2,4: (25186,23130,29812,65535)  #625A74FF  srgba(98,90,116,1)
3,4: (25443,6168,28270,65535)  #63186EFF  srgba(99,24,110,1)
4,4: (25443,7196,26471,65535)  #631C67FF  srgba(99,28,103,1)
5,4: (25443,15420,22616,65535)  #633C58FF  srgba(99,60,88,1)
6,4: (25700,6168,23901,65535)  #64185DFF  srgba(100,24,93,1)
7,4: (25700,7196,30326,65535)  #641C76FF  srgba(100,28,118,1)
8,4: (25700,23387,23644,65535)  #645B5CFF  srgba(100,91,92,1)
9,4: (26214,6168,30326,65535)  #661876FF  srgba(102,24,118,1)
10,4: (26471,5397,30069,65535)  #671575FF  srgba(103,21,117,1)
11,4: (26471,6168,25443,65535)  #671863FF  srgba(103,24,99,1)
12,4: (26471,6168,26728,65535)  #671868FF  srgba(103,24,104,1)
13,4: (26728,5911,32639,65535)  #68177FFF  srgba(104,23,127,1)
14,4: (27242,7453,27499,65535)  #6A1D6BFF  srgba(106,29,107,1)
15,4: (27242,7453,32125,65535)  #6A1D7DFF  srgba(106,29,125,1)
0,5: (27242,28527,25957,65535)  #6A6F65FF  srgba(106,111,101,1)
1,5: (27499,5911,28270,65535)  #6B176EFF  srgba(107,23,110,1)
2,5: (27756,5911,32639,65535)  #6C177FFF  srgba(108,23,127,1)
3,5: (27756,49344,39321,65535)  #6CC099FF  srgba(108,192,153,1)
4,5: (28270,5911,30326,65535)  #6E1776FF  srgba(110,23,118,1)
5,5: (28270,5911,33153,65535)  #6E1781FF  srgba(110,23,129,1)
6,5: (28270,15677,36237,65535)  #6E3D8DFF  srgba(110,61,141,1)
7,5: (28270,33410,25957,65535)  #6E8265FF  srgba(110,130,101,1)
8,5: (28527,5911,33410,65535)  #6F1782FF  srgba(111,23,130,1)
9,5: (28527,7453,31354,65535)  #6F1D7AFF  srgba(111,29,122,1)
10,5: (28784,6939,35466,65535)  #701B8AFF  srgba(112,27,138,1)
11,5: (28784,16448,39064,65535)  #704098FF  srgba(112,64,152,1)
12,5: (29041,5911,33153,65535)  #711781FF  srgba(113,23,129,1)
13,5: (29298,51914,23387,65535)  #72CA5BFF  srgba(114,202,91,1)
14,5: (29555,16191,23644,65535)  #733F5CFF  srgba(115,63,92,1)
15,5: (29555,19018,42919,65535)  #734AA7FF  srgba(115,74,167,1)
0,6: (29555,23644,24672,65535)  #735C60FF  srgba(115,92,96,1)
1,6: (29555,48830,38550,65535)  #73BE96FF  srgba(115,190,150,1)
2,6: (29555,50886,27756,65535)  #73C66CFF  srgba(115,198,108,1)
3,6: (30069,7710,32639,65535)  #751E7FFF  srgba(117,30,127,1)
4,6: (30069,47802,43690,65535)  #75BAAAFF  srgba(117,186,170,1)
5,6: (30326,29555,30840,65535)  #767378FF  srgba(118,115,120,1)
6,6: (30583,49601,32639,65535)  #77C17FFF  srgba(119,193,127,1)
7,6: (30840,30840,38036,65535)  #787894FF  srgba(120,120,148,1)
8,6: (30840,46517,47031,65535)  #78B5B7FF  srgba(120,181,183,1)
9,6: (31097,15934,31354,65535)  #793E7AFF  srgba(121,62,122,1)
10,6: (31097,46003,50115,65535)  #79B3C3FF  srgba(121,179,195,1)
11,6: (31097,48316,37779,65535)  #79BC93FF  srgba(121,188,147,1)
12,6: (31354,47288,39835,65535)  #7AB89BFF  srgba(122,184,155,1)
13,6: (32639,24415,30840,65535)  #7F5F78FF  srgba(127,95,120,1)
14,6: (32639,37522,30840,65535)  #7F9278FF  srgba(127,146,120,1)
15,6: (32896,31611,33410,65535)  #807B82FF  srgba(128,123,130,1)
0,7: (32896,44718,54998,65535)  #80AED6FF  srgba(128,174,214,1)
1,7: (32896,46003,44204,65535)  #80B3ACFF  srgba(128,179,172,1)
2,7: (32896,47031,39064,65535)  #80B798FF  srgba(128,183,152,1)
3,7: (33667,49601,24672,65535)  #83C160FF  srgba(131,193,96,1)
4,7: (33924,48830,28270,65535)  #84BE6EFF  srgba(132,190,110,1)
5,7: (34438,47802,32382,65535)  #86BA7EFF  srgba(134,186,126,1)
6,7: (34695,47288,37265,65535)  #87B891FF  srgba(135,184,145,1)
7,7: (34952,15677,38550,65535)  #883D96FF  srgba(136,61,150,1)
8,7: (34952,35980,27756,65535)  #888C6CFF  srgba(136,140,108,1)
9,7: (34952,38036,40863,65535)  #88949FFF  srgba(136,148,159,1)
10,7: (35209,32382,38807,65535)  #897E97FF  srgba(137,126,151,1)
11,7: (35466,44718,47031,65535)  #8AAEB7FF  srgba(138,174,183,1)
12,7: (35466,46260,38550,65535)  #8AB496FF  srgba(138,180,150,1)
13,7: (35723,42662,56283,65535)  #8BA6DBFF  srgba(139,166,219,1)
14,7: (35723,43947,50372,65535)  #8BABC4FF  srgba(139,171,196,1)
15,7: (35723,44975,43947,65535)  #8BAFABFF  srgba(139,175,171,1)
0,8: (35980,40863,39835,65535)  #8C9F9BFF  srgba(140,159,155,1)
1,8: (35980,41120,59110,65535)  #8CA0E6FF  srgba(140,160,230,1)
2,8: (35980,44975,41377,65535)  #8CAFA1FF  srgba(140,175,161,1)
3,8: (36237,22616,38550,65535)  #8D5896FF  srgba(141,88,150,1)
4,8: (36237,45232,38293,65535)  #8DB095FF  srgba(141,176,149,1)
5,8: (36494,40863,48316,65535)  #8E9FBCFF  srgba(142,159,188,1)
6,8: (36494,42148,33667,65535)  #8EA483FF  srgba(142,164,131,1)
7,8: (37008,31611,46774,65535)  #907BB6FF  srgba(144,123,182,1)
8,8: (37008,31868,53713,65535)  #907CD1FF  srgba(144,124,209,1)
9,8: (37008,46774,32639,65535)  #90B67FFF  srgba(144,182,127,1)
10,8: (37008,47545,26985,65535)  #90B969FF  srgba(144,185,105,1)
11,8: (37265,22102,46003,65535)  #9156B3FF  srgba(145,86,179,1)
12,8: (37522,41120,59624,65535)  #92A0E8FF  srgba(146,160,232,1)
13,8: (38293,38550,54227,65535)  #9596D3FF  srgba(149,150,211,1)
14,8: (38293,40863,61680,65535)  #959FF0FF  srgba(149,159,240,1)
15,8: (38293,41377,55769,65535)  #95A1D9FF  srgba(149,161,217,1)
0,9: (38293,44718,26985,65535)  #95AE69FF  srgba(149,174,105,1)
1,9: (38550,42919,50115,65535)  #96A7C3FF  srgba(150,167,195,1)
2,9: (38550,43176,55255,65535)  #96A8D7FF  srgba(150,168,215,1)
3,9: (38550,44718,38293,65535)  #96AE95FF  srgba(150,174,149,1)
4,9: (38550,46003,37008,65535)  #96B390FF  srgba(150,179,144,1)
5,9: (38807,38293,41377,65535)  #9795A1FF  srgba(151,149,161,1)
6,9: (38807,43433,47031,65535)  #97A9B7FF  srgba(151,169,183,1)
7,9: (38807,43690,43690,65535)  #97AAAAFF  srgba(151,170,170,1)
8,9: (39064,42405,31097,65535)  #98A579FF  srgba(152,165,121,1)
9,9: (39064,43690,41120,65535)  #98AAA0FF  srgba(152,170,160,1)
10,9: (39064,46260,32382,65535)  #98B47EFF  srgba(152,180,126,1)
11,9: (39064,46774,26471,65535)  #98B667FF  srgba(152,182,103,1)
12,9: (39578,40606,61680,65535)  #9A9EF0FF  srgba(154,158,240,1)
13,9: (39578,40863,42148,65535)  #9A9FA4FF  srgba(154,159,164,1)
14,9: (39578,41120,55255,65535)  #9AA0D7FF  srgba(154,160,215,1)
15,9: (39578,43690,38293,65535)  #9AAA95FF  srgba(154,170,149,1)
0,10: (39835,30069,39321,65535)  #9B7599FF  srgba(155,117,153,1)
1,10: (39835,35209,39321,65535)  #9B8999FF  srgba(155,137,153,1)
2,10: (39835,41377,50115,65535)  #9BA1C3FF  srgba(155,161,195,1)
3,10: (40092,32896,55512,65535)  #9C80D8FF  srgba(156,128,216,1)
4,10: (40092,43690,33667,65535)  #9CAA83FF  srgba(156,170,131,1)
5,10: (40863,38550,62708,65535)  #9F96F4FF  srgba(159,150,244,1)
6,10: (40863,43176,48573,65535)  #9FA8BDFF  srgba(159,168,189,1)
7,10: (41120,41120,40092,65535)  #A0A09CFF  srgba(160,160,156,1)
8,10: (41120,41377,45746,65535)  #A0A1B2FF  srgba(160,161,178,1)
9,10: (41120,41377,49858,65535)  #A0A1C2FF  srgba(160,161,194,1)
10,10: (41120,42919,42919,65535)  #A0A7A7FF  srgba(160,167,167,1)
11,10: (41120,43176,45232,65535)  #A0A8B0FF  srgba(160,168,176,1)
12,10: (41120,43690,54998,65535)  #A0AAD6FF  srgba(160,170,214,1)
13,10: (41120,46260,30840,65535)  #A0B478FF  srgba(160,180,120,1)
14,10: (41377,44461,37265,65535)  #A1AD91FF  srgba(161,173,145,1)
15,10: (41377,46260,25186,65535)  #A1B462FF  srgba(161,180,98,1)
0,11: (41634,38550,55255,65535)  #A296D7FF  srgba(162,150,215,1)
1,11: (41634,40092,62451,65535)  #A29CF3FF  srgba(162,156,243,1)
2,11: (41634,40349,58082,65535)  #A29DE2FF  srgba(162,157,226,1)
3,11: (41634,42919,39321,65535)  #A2A799FF  srgba(162,167,153,1)
4,11: (41891,38293,39064,65535)  #A39598FF  srgba(163,149,152,1)
5,11: (41891,38293,45746,65535)  #A395B2FF  srgba(163,149,178,1)
6,11: (41891,40606,54484,65535)  #A39ED4FF  srgba(163,158,212,1)
7,11: (42405,32382,49601,65535)  #A57EC1FF  srgba(165,126,193,1)
8,11: (42405,44204,32896,65535)  #A5AC80FF  srgba(165,172,128,1)
9,11: (42405,44718,28013,65535)  #A5AE6DFF  srgba(165,174,109,1)
10,11: (42662,34438,59367,65535)  #A686E7FF  srgba(166,134,231,1)
11,11: (42919,38036,62965,65535)  #A794F5FF  srgba(167,148,245,1)
12,11: (42919,41120,48059,65535)  #A7A0BBFF  srgba(167,160,187,1)
13,11: (42919,41377,41891,65535)  #A7A1A3FF  srgba(167,161,163,1)
14,11: (42919,43176,43433,65535)  #A7A8A9FF  srgba(167,168,169,1)
