# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,257,514,65535)  #000102FF  srgba(0,1,2,1)
2,0: (0,514,0,65535)  #000200FF  srgba(0,2,0,1)
3,0: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
4,0: (514,257,257,65535)  #020101FF  srgba(2,1,1,1)
5,0: (771,514,771,65535)  #030203FF  srgba(3,2,3,1)
6,0: (1028,1285,1028,65535)  #040504FF  srgba(4,5,4,1)
7,0: (1542,514,771,65535)  #060203FF  srgba(6,2,3,1)
8,0: (1542,1028,1285,65535)  #060405FF  srgba(6,4,5,1)
9,0: (1799,0,0,65535)  #070000FF  srgba(7,0,0,1)
10,0: (1799,2056,1542,65535)  #070806FF  srgba(7,8,6,1)
11,0: (2570,2313,2313,65535)  #0A0909FF  srgba(10,9,9,1)
12,0: (2827,514,514,65535)  #0B0202FF  srgba(11,2,2,1)
13,0: (3084,257,0,65535)  #0C0100FF  srgba(12,1,0,1)
14,0: (3084,1542,1285,65535)  #0C0605FF  srgba(12,6,5,1)
15,0: (3341,3341,3341,65535)  #0D0D0DFF  grey5
0,1: (3598,2056,1285,65535)  #0E0805FF  srgba(14,8,5,1)
1,1: (4883,0,0,65535)  #130000FF  srgba(19,0,0,1)
2,1: (5140,1542,771,65535)  #140603FF  srgba(20,6,3,1)
3,1: (5140,3855,3341,65535)  #140F0DFF  srgba(20,15,13,1)
4,1: (5140,4369,4369,65535)  #141111FF  srgba(20,17,17,1)
5,1: (5397,2313,1285,65535)  #150905FF  srgba(21,9,5,1)
6,1: (5911,514,257,65535)  #170201FF  srgba(23,2,1,1)
7,1: (5911,771,1028,65535)  #170304FF  srgba(23,3,4,1)
8,1: (5911,5140,5397,65535)  #171415FF  srgba(23,20,21,1)
9,1: (6682,6682,6425,65535)  #1A1A19FF  srgba(26,26,25,1)
10,1: (6939,2570,2570,65535)  #1B0A0AFF  srgba(27,10,10,1)
11,1: (7196,0,0,65535)  #1C0000FF  srgba(28,0,0,1)
12,1: (7196,1542,1028,65535)  #1C0604FF  srgba(28,6,4,1)
13,1: (7710,2570,1542,65535)  #1E0A06FF  srgba(30,10,6,1)
14,1: (7710,3598,3084,65535)  #1E0E0CFF  srgba(30,14,12,1)
15,1: (8481,7196,6939,65535)  #211C1BFF  srgba(33,28,27,1)
0,2: (8738,8481,8481,65535)  #222121FF  srgba(34,33,33,1)
1,2: (9509,2313,1799,65535)  #250907FF  srgba(37,9,7,1)
2,2: (9509,3341,2056,65535)  #250D08FF  srgba(37,13,8,1)
3,2: (10280,0,0,65535)  #280000FF  srgba(40,0,0,1)
4,2: (10280,257,514,65535)  #280102FF  srgba(40,1,2,1)
5,2: (10537,514,1542,65535)  #290206FF  srgba(41,2,6,1)
6,2: (10537,3598,3341,65535)  #290E0DFF  srgba(41,14,13,1)
7,2: (10537,10537,10537,65535)  #292929FF  grey16
8,2: (10794,4112,3855,65535)  #2A100FFF  srgba(42,16,15,1)
9,2: (11822,4883,5397,65535)  #2E1315FF  srgba(46,19,21,1)
