# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (514,514,514,65535)  #020202FF  srgba(2,2,2,1)
1,0: (514,44975,64764,65535)  #02AFFCFF  srgba(2,175,252,1)
2,0: (3341,38036,59624,65535)  #0D94E8FF  srgba(13,148,232,1)
3,0: (3598,37008,47545,65535)  #0E90B9FF  srgba(14,144,185,1)
4,0: (3855,13364,2313,65535)  #0F3409FF  srgba(15,52,9,1)
5,0: (5654,5654,5397,65535)  #161615FF  srgba(22,22,21,1)
6,0: (6939,7453,7967,65535)  #1B1D1FFF  srgba(27,29,31,1)
7,0: (7453,7196,8224,65535)  #1D1C20FF  srgba(29,28,32,1)
8,0: (7453,8481,7196,65535)  #1D211CFF  srgba(29,33,28,1)
9,0: (7710,7710,9766,65535)  #1E1E26FF  srgba(30,30,38,1)
10,0: (7967,7196,6682,65535)  #1F1C1AFF  srgba(31,28,26,1)
11,0: (7967,7967,7967,65535)  #1F1F1FFF  grey12
12,0: (7967,8224,7453,65535)  #1F201DFF  srgba(31,32,29,1)
13,0: (8224,6682,6168,65535)  #201A18FF  srgba(32,26,24,1)
14,0: (8224,8224,8224,65535)  #202020FF  srgba(32,32,32,1)
15,0: (8224,33924,44718,65535)  #2084AEFF  srgba(32,132,174,1)
0,1: (8481,8481,8481,65535)  #212121FF  grey13
1,1: (8481,8481,8481,65535)  #212121FF  grey13
2,1: (8481,10023,7453,65535)  #21271DFF  srgba(33,39,29,1)
3,1: (8481,38550,514,65535)  #219602FF  srgba(33,150,2,1)
4,1: (8738,26214,1799,65535)  #226607FF  srgba(34,102,7,1)
5,1: (8995,7967,7710,65535)  #231F1EFF  srgba(35,31,30,1)
6,1: (8995,8995,8995,65535)  #232323FF  srgba(35,35,35,1)
7,1: (9252,9509,8481,65535)  #242521FF  srgba(36,37,33,1)
8,1: (9509,8995,8481,65535)  #252321FF  srgba(37,35,33,1)
9,1: (9509,9252,9252,65535)  #252424FF  srgba(37,36,36,1)
10,1: (9509,9509,9509,65535)  #252525FF  srgba(37,37,37,1)
11,1: (9509,10023,10280,65535)  #252728FF  srgba(37,39,40,1)
12,1: (9766,7710,9509,65535)  #261E25FF  srgba(38,30,37,1)
13,1: (9766,8995,10023,65535)  #262327FF  srgba(38,35,39,1)
14,1: (10023,50372,771,65535)  #27C403FF  srgba(39,196,3,1)
15,1: (10280,8995,7710,65535)  #28231EFF  srgba(40,35,30,1)
0,2: (10280,8995,10794,65535)  #28232AFF  srgba(40,35,42,1)
1,2: (10280,10023,7453,65535)  #28271DFF  srgba(40,39,29,1)
2,2: (10794,9252,7967,65535)  #2A241FFF  srgba(42,36,31,1)
3,2: (10794,10537,10794,65535)  #2A292AFF  srgba(42,41,42,1)
4,2: (11308,8995,12079,65535)  #2C232FFF  srgba(44,35,47,1)
5,2: (11565,7196,11308,65535)  #2D1C2CFF  srgba(45,28,44,1)
6,2: (11822,7196,6168,65535)  #2E1C18FF  srgba(46,28,24,1)
7,2: (12079,10794,11822,65535)  #2F2A2EFF  srgba(47,42,46,1)
8,2: (12079,12850,12850,65535)  #2F3232FF  srgba(47,50,50,1)
9,2: (12079,13107,4369,65535)  #2F3311FF  srgba(47,51,17,1)
10,2: (12336,6939,13364,65535)  #301B34FF  srgba(48,27,52,1)
11,2: (12593,6682,15934,65535)  #311A3EFF  srgba(49,26,62,1)
12,2: (12850,5654,20560,65535)  #321650FF  srgba(50,22,80,1)
13,2: (13878,8995,14906,65535)  #36233AFF  srgba(54,35,58,1)
14,2: (14135,8738,5397,65535)  #372215FF  srgba(55,34,21,1)
15,2: (14135,30069,47545,65535)  #3775B9FF  srgba(55,117,185,1)
0,3: (15163,14392,14392,65535)  #3B3838FF  srgba(59,56,56,1)
1,3: (15163,15677,21331,65535)  #3B3D53FF  srgba(59,61,83,1)
