# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,257,65535)  #000001FF  srgba(0,0,1,1)
2,0: (0,0,1028,65535)  #000004FF  srgba(0,0,4,1)
3,0: (0,0,2570,65535)  #00000AFF  srgba(0,0,10,1)
4,0: (0,0,5397,65535)  #000015FF  srgba(0,0,21,1)
5,0: (0,0,7967,65535)  #00001FFF  srgba(0,0,31,1)
6,0: (0,0,10023,65535)  #000027FF  srgba(0,0,39,1)
7,0: (0,0,12079,65535)  #00002FFF  srgba(0,0,47,1)
8,0: (0,0,15163,65535)  #00003BFF  srgba(0,0,59,1)
9,0: (0,2827,0,65535)  #000B00FF  srgba(0,11,0,1)
10,0: (0,5140,0,65535)  #001400FF  srgba(0,20,0,1)
11,0: (0,6425,0,65535)  #001900FF  srgba(0,25,0,1)
12,0: (0,7710,0,65535)  #001E00FF  srgba(0,30,0,1)
13,0: (0,8738,0,65535)  #002200FF  srgba(0,34,0,1)
14,0: (0,12336,0,65535)  #003000FF  srgba(0,48,0,1)
15,0: (0,17476,0,65535)  #004400FF  srgba(0,68,0,1)
0,1: (0,18504,0,65535)  #004800FF  srgba(0,72,0,1)
1,1: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
2,1: (257,0,1028,65535)  #010004FF  srgba(1,0,4,1)
3,1: (257,0,3341,65535)  #01000DFF  srgba(1,0,13,1)
4,1: (257,0,8224,65535)  #010020FF  srgba(1,0,32,1)
5,1: (257,0,12850,65535)  #010032FF  srgba(1,0,50,1)
6,1: (257,5397,0,65535)  #011500FF  srgba(1,21,0,1)
7,1: (257,12336,0,65535)  #013000FF  srgba(1,48,0,1)
8,1: (257,17733,257,65535)  #014501FF  srgba(1,69,1,1)
9,1: (257,22102,0,65535)  #015600FF  srgba(1,86,0,1)
10,1: (257,24672,0,65535)  #016000FF  srgba(1,96,0,1)
11,1: (514,0,257,65535)  #020001FF  srgba(2,0,1,1)
12,1: (514,0,1542,65535)  #020006FF  srgba(2,0,6,1)
13,1: (514,0,4112,65535)  #020010FF  srgba(2,0,16,1)
14,1: (514,0,7196,65535)  #02001CFF  srgba(2,0,28,1)
15,1: (514,0,10280,65535)  #020028FF  srgba(2,0,40,1)
0,2: (514,0,14906,65535)  #02003AFF  srgba(2,0,58,1)
1,2: (771,0,4112,65535)  #030010FF  srgba(3,0,16,1)
2,2: (771,257,257,65535)  #030101FF  srgba(3,1,1,1)
3,2: (771,771,771,65535)  #030303FF  grey1
4,2: (771,2313,0,65535)  #030900FF  srgba(3,9,0,1)
5,2: (771,15163,1285,65535)  #033B05FF  srgba(3,59,5,1)
6,2: (1028,0,7196,65535)  #04001CFF  srgba(4,0,28,1)
7,2: (1028,0,13107,65535)  #040033FF  srgba(4,0,51,1)
8,2: (1028,514,1285,65535)  #040205FF  srgba(4,2,5,1)
9,2: (1028,9509,1542,65535)  #042506FF  srgba(4,37,6,1)
10,2: (1028,17990,0,65535)  #044600FF  srgba(4,70,0,1)
11,2: (1799,19789,1799,65535)  #074D07FF  srgba(7,77,7,1)
12,2: (1799,23901,1799,65535)  #075D07FF  srgba(7,93,7,1)
13,2: (2056,2056,1799,65535)  #080807FF  srgba(8,8,7,1)
14,2: (2313,257,2570,65535)  #09010AFF  srgba(9,1,10,1)
15,2: (2313,257,10280,65535)  #090128FF  srgba(9,1,40,1)
0,3: (2570,257,5140,65535)  #0A0114FF  srgba(10,1,20,1)
1,3: (2570,15163,2313,65535)  #0A3B09FF  srgba(10,59,9,1)
2,3: (2827,0,514,65535)  #0B0002FF  srgba(11,0,2,1)
3,3: (2827,0,2827,65535)  #0B000BFF  srgba(11,0,11,1)
4,3: (2827,0,5654,65535)  #0B0016FF  srgba(11,0,22,1)
5,3: (2827,0,8995,65535)  #0B0023FF  srgba(11,0,35,1)
6,3: (2827,257,771,65535)  #0B0103FF  srgba(11,1,3,1)
7,3: (2827,2827,3341,65535)  #0B0B0DFF  srgba(11,11,13,1)
8,3: (2827,26471,46003,65535)  #0B67B3FF  srgba(11,103,179,1)
9,3: (3084,2570,8995,65535)  #0C0A23FF  srgba(12,10,35,1)
10,3: (3341,0,0,65535)  #0D0000FF  srgba(13,0,0,1)
11,3: (3855,5397,3855,65535)  #0F150FFF  srgba(15,21,15,1)
12,3: (4112,0,0,65535)  #100000FF  srgba(16,0,0,1)
13,3: (4369,3855,4112,65535)  #110F10FF  srgba(17,15,16,1)
14,3: (4883,4112,13107,65535)  #131033FF  srgba(19,16,51,1)
15,3: (5140,9766,0,65535)  #142600FF  srgba(20,38,0,1)
0,4: (5654,5654,8481,65535)  #161621FF  srgba(22,22,33,1)
1,4: (5911,0,514,65535)  #170002FF  srgba(23,0,2,1)
2,4: (6168,0,0,65535)  #180000FF  srgba(24,0,0,1)
3,4: (6168,6168,5911,65535)  #181817FF  srgba(24,24,23,1)
4,4: (6425,0,0,65535)  #190000FF  srgba(25,0,0,1)
5,4: (6425,257,1028,65535)  #190104FF  srgba(25,1,4,1)
6,4: (6425,8995,3855,65535)  #19230FFF  srgba(25,35,15,1)
