# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,19789,65535)  #00004DFF  srgba(0,0,77,1)
2,0: (257,0,29041,65535)  #010071FF  srgba(1,0,113,1)
3,0: (257,0,45489,65535)  #0100B1FF  srgba(1,0,177,1)
4,0: (257,514,12593,65535)  #010231FF  srgba(1,2,49,1)
5,0: (514,1028,3341,65535)  #02040DFF  srgba(2,4,13,1)
6,0: (514,41377,63993,65535)  #02A1F9FF  srgba(2,161,249,1)
7,0: (514,42148,65278,65535)  #02A4FEFF  srgba(2,164,254,1)
8,0: (771,1028,514,65535)  #030402FF  srgba(3,4,2,1)
9,0: (771,40092,59624,65535)  #039CE8FF  srgba(3,156,232,1)
10,0: (1028,1028,1028,65535)  #040404FF  srgba(4,4,4,1)
11,0: (1028,40349,47545,65535)  #049DB9FF  srgba(4,157,185,1)
12,0: (1285,1285,1285,65535)  #050505FF  grey2
13,0: (1542,1542,514,65535)  #060602FF  srgba(6,6,2,1)
14,0: (1542,32125,53456,65535)  #067DD0FF  srgba(6,125,208,1)
15,0: (1799,32896,63222,65535)  #0780F6FF  srgba(7,128,246,1)
0,1: (2056,2056,2056,65535)  #080808FF  grey3
1,1: (2056,14649,36494,65535)  #08398EFF  srgba(8,57,142,1)
2,1: (2313,23644,37779,65535)  #095C93FF  srgba(9,92,147,1)
3,1: (2570,0,31868,65535)  #0A007CFF  srgba(10,0,124,1)
4,1: (2570,0,46260,65535)  #0A00B4FF  srgba(10,0,180,1)
5,1: (2570,1285,6939,65535)  #0A051BFF  srgba(10,5,27,1)
6,1: (2570,1799,514,65535)  #0A0702FF  srgba(10,7,2,1)
7,1: (2827,257,16705,65535)  #0B0141FF  srgba(11,1,65,1)
8,1: (2827,2827,3084,65535)  #0B0B0CFF  srgba(11,11,12,1)
9,1: (2827,10023,16448,65535)  #0B2740FF  srgba(11,39,64,1)
10,1: (2827,11565,24415,65535)  #0B2D5FFF  srgba(11,45,95,1)
11,1: (3084,0,56797,65535)  #0C00DDFF  srgba(12,0,221,1)
12,1: (3084,22359,52685,65535)  #0C57CDFF  srgba(12,87,205,1)
13,1: (3341,12850,54998,65535)  #0D32D6FF  srgba(13,50,214,1)
14,1: (3341,26985,54741,65535)  #0D69D5FF  srgba(13,105,213,1)
15,1: (3598,50115,64764,65535)  #0EC3FCFF  srgba(14,195,252,1)
0,2: (4112,4626,4369,65535)  #101211FF  srgba(16,18,17,1)
1,2: (4369,50372,65278,65535)  #11C4FEFF  srgba(17,196,254,1)
2,2: (4626,31097,38550,65535)  #127996FF  srgba(18,121,150,1)
3,2: (4883,8738,4112,65535)  #132210FF  srgba(19,34,16,1)
4,2: (5654,6168,5654,65535)  #161816FF  srgba(22,24,22,1)
5,2: (5654,53199,62194,65535)  #16CFF2FF  srgba(22,207,242,1)
6,2: (5911,41120,63993,65535)  #17A0F9FF  srgba(23,160,249,1)
7,2: (6425,1028,13107,65535)  #190433FF  srgba(25,4,51,1)
8,2: (6425,8995,10537,65535)  #192329FF  srgba(25,35,41,1)
9,2: (6425,21074,25186,65535)  #195262FF  srgba(25,82,98,1)
10,2: (6682,52428,54227,65535)  #1ACCD3FF  srgba(26,204,211,1)
11,2: (6939,257,20046,65535)  #1B014EFF  srgba(27,1,78,1)
12,2: (7196,0,56026,65535)  #1C00DAFF  srgba(28,0,218,1)
13,2: (7196,257,26471,65535)  #1C0167FF  srgba(28,1,103,1)
14,2: (7453,7967,7967,65535)  #1D1F1FFF  srgba(29,31,31,1)
15,2: (7710,0,60652,65535)  #1E00ECFF  srgba(30,0,236,1)
0,3: (7710,257,35466,65535)  #1E018AFF  srgba(30,1,138,1)
1,3: (7710,21331,2313,65535)  #1E5309FF  srgba(30,83,9,1)
2,3: (7710,53456,41377,65535)  #1ED0A1FF  srgba(30,208,161,1)
3,3: (7967,37522,22873,65535)  #1F9259FF  srgba(31,146,89,1)
4,3: (8224,257,46774,65535)  #2001B6FF  srgba(32,1,182,1)
5,3: (8224,57311,64764,65535)  #20DFFCFF  srgba(32,223,252,1)
6,3: (8481,57568,65278,65535)  #21E0FEFF  srgba(33,224,254,1)
7,3: (8738,20817,13107,65535)  #225133FF  srgba(34,81,51,1)
8,3: (8738,40863,51657,65535)  #229FC9FF  srgba(34,159,201,1)
9,3: (8995,32382,58339,65535)  #237EE3FF  srgba(35,126,227,1)
10,3: (9252,40349,39835,65535)  #249D9BFF  srgba(36,157,155,1)
11,3: (10794,10794,10537,65535)  #2A2A29FF  srgba(42,42,41,1)
12,3: (11051,38036,2827,65535)  #2B940BFF  srgba(43,148,11,1)
13,3: (11308,0,63993,65535)  #2C00F9FF  srgba(44,0,249,1)
14,3: (11822,41120,63993,65535)  #2EA0F9FF  srgba(46,160,249,1)
15,3: (12079,18504,37008,65535)  #2F4890FF  srgba(47,72,144,1)
