# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,514,65535)  #000002FF  srgba(0,0,2,1)
2,0: (0,0,1028,65535)  #000004FF  srgba(0,0,4,1)
3,0: (0,0,2056,65535)  #000008FF  srgba(0,0,8,1)
4,0: (0,0,2313,65535)  #000009FF  srgba(0,0,9,1)
5,0: (0,0,3855,65535)  #00000FFF  srgba(0,0,15,1)
6,0: (0,0,5140,65535)  #000014FF  srgba(0,0,20,1)
7,0: (0,0,6168,65535)  #000018FF  srgba(0,0,24,1)
8,0: (0,0,6425,65535)  #000019FF  srgba(0,0,25,1)
9,0: (0,0,7453,65535)  #00001DFF  srgba(0,0,29,1)
10,0: (0,0,7710,65535)  #00001EFF  srgba(0,0,30,1)
11,0: (0,0,8738,65535)  #000022FF  srgba(0,0,34,1)
12,0: (0,0,9509,65535)  #000025FF  srgba(0,0,37,1)
13,0: (0,0,10537,65535)  #000029FF  srgba(0,0,41,1)
14,0: (0,0,10794,65535)  #00002AFF  srgba(0,0,42,1)
15,0: (0,0,11051,65535)  #00002BFF  srgba(0,0,43,1)
0,1: (0,0,11308,65535)  #00002CFF  srgba(0,0,44,1)
1,1: (0,0,12079,65535)  #00002FFF  srgba(0,0,47,1)
2,1: (0,0,12079,65535)  #00002FFF  srgba(0,0,47,1)
3,1: (0,0,12079,65535)  #00002FFF  srgba(0,0,47,1)
4,1: (0,0,13621,65535)  #000035FF  srgba(0,0,53,1)
5,1: (0,0,14649,65535)  #000039FF  srgba(0,0,57,1)
6,1: (0,0,15163,65535)  #00003BFF  srgba(0,0,59,1)
7,1: (0,0,15420,65535)  #00003CFF  srgba(0,0,60,1)
8,1: (0,0,15934,65535)  #00003EFF  srgba(0,0,62,1)
9,1: (0,0,15934,65535)  #00003EFF  srgba(0,0,62,1)
10,1: (0,0,16962,65535)  #000042FF  srgba(0,0,66,1)
11,1: (0,0,18247,65535)  #000047FF  srgba(0,0,71,1)
12,1: (0,0,19275,65535)  #00004BFF  srgba(0,0,75,1)
13,1: (0,0,19532,65535)  #00004CFF  srgba(0,0,76,1)
14,1: (0,0,20817,65535)  #000051FF  srgba(0,0,81,1)
15,1: (0,0,21588,65535)  #000054FF  srgba(0,0,84,1)
0,2: (0,0,21845,65535)  #000055FF  srgba(0,0,85,1)
1,2: (0,0,22616,65535)  #000058FF  srgba(0,0,88,1)
2,2: (0,0,23130,65535)  #00005AFF  srgba(0,0,90,1)
3,2: (0,0,23130,65535)  #00005AFF  srgba(0,0,90,1)
4,2: (0,0,23901,65535)  #00005DFF  srgba(0,0,93,1)
5,2: (0,0,26214,65535)  #000066FF  srgba(0,0,102,1)
6,2: (0,0,27499,65535)  #00006BFF  srgba(0,0,107,1)
