# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,1028,65535)  #000004FF  srgba(0,0,4,1)
2,0: (0,0,1542,65535)  #000006FF  srgba(0,0,6,1)
3,0: (0,0,2056,65535)  #000008FF  srgba(0,0,8,1)
4,0: (0,0,2827,65535)  #00000BFF  srgba(0,0,11,1)
5,0: (0,0,3598,65535)  #00000EFF  srgba(0,0,14,1)
6,0: (0,0,3855,65535)  #00000FFF  srgba(0,0,15,1)
7,0: (0,0,4626,65535)  #000012FF  srgba(0,0,18,1)
8,0: (0,0,5140,65535)  #000014FF  srgba(0,0,20,1)
9,0: (0,0,5397,65535)  #000015FF  srgba(0,0,21,1)
10,0: (0,0,6168,65535)  #000018FF  srgba(0,0,24,1)
11,0: (0,0,6682,65535)  #00001AFF  srgba(0,0,26,1)
12,0: (0,0,7196,65535)  #00001CFF  srgba(0,0,28,1)
13,0: (0,0,7453,65535)  #00001DFF  srgba(0,0,29,1)
14,0: (0,0,7710,65535)  #00001EFF  srgba(0,0,30,1)
15,0: (0,0,7967,65535)  #00001FFF  srgba(0,0,31,1)
0,1: (0,0,8738,65535)  #000022FF  srgba(0,0,34,1)
1,1: (0,0,8995,65535)  #000023FF  srgba(0,0,35,1)
2,1: (0,0,9766,65535)  #000026FF  srgba(0,0,38,1)
3,1: (0,0,10280,65535)  #000028FF  srgba(0,0,40,1)
4,1: (0,0,10537,65535)  #000029FF  srgba(0,0,41,1)
5,1: (0,0,11308,65535)  #00002CFF  srgba(0,0,44,1)
6,1: (0,0,11308,65535)  #00002CFF  srgba(0,0,44,1)
7,1: (0,0,11822,65535)  #00002EFF  srgba(0,0,46,1)
8,1: (0,0,12079,65535)  #00002FFF  srgba(0,0,47,1)
9,1: (0,0,12593,65535)  #000031FF  srgba(0,0,49,1)
10,1: (0,0,13364,65535)  #000034FF  srgba(0,0,52,1)
11,1: (0,0,13621,65535)  #000035FF  srgba(0,0,53,1)
12,1: (0,0,14135,65535)  #000037FF  srgba(0,0,55,1)
13,1: (0,0,14649,65535)  #000039FF  srgba(0,0,57,1)
14,1: (0,0,15420,65535)  #00003CFF  srgba(0,0,60,1)
15,1: (0,0,15677,65535)  #00003DFF  srgba(0,0,61,1)
0,2: (0,0,16191,65535)  #00003FFF  srgba(0,0,63,1)
1,2: (0,0,16191,65535)  #00003FFF  srgba(0,0,63,1)
2,2: (0,0,16705,65535)  #000041FF  srgba(0,0,65,1)
3,2: (0,0,16962,65535)  #000042FF  srgba(0,0,66,1)
4,2: (0,0,17219,65535)  #000043FF  srgba(0,0,67,1)
5,2: (0,0,17733,65535)  #000045FF  srgba(0,0,69,1)
6,2: (0,0,18247,65535)  #000047FF  srgba(0,0,71,1)
7,2: (0,0,18761,65535)  #000049FF  srgba(0,0,73,1)
8,2: (0,0,19275,65535)  #00004BFF  srgba(0,0,75,1)
9,2: (0,0,19532,65535)  #00004CFF  srgba(0,0,76,1)
10,2: (0,0,19789,65535)  #00004DFF  srgba(0,0,77,1)
11,2: (0,0,20303,65535)  #00004FFF  srgba(0,0,79,1)
12,2: (0,0,20560,65535)  #000050FF  srgba(0,0,80,1)
13,2: (0,0,21074,65535)  #000052FF  srgba(0,0,82,1)
14,2: (0,0,21588,65535)  #000054FF  srgba(0,0,84,1)
15,2: (0,0,21845,65535)  #000055FF  srgba(0,0,85,1)
0,3: (0,0,22359,65535)  #000057FF  srgba(0,0,87,1)
1,3: (0,0,22359,65535)  #000057FF  srgba(0,0,87,1)
2,3: (0,0,23387,65535)  #00005BFF  srgba(0,0,91,1)
3,3: (0,0,24158,65535)  #00005EFF  srgba(0,0,94,1)
4,3: (0,0,24672,65535)  #000060FF  srgba(0,0,96,1)
5,3: (0,0,24929,65535)  #000061FF  srgba(0,0,97,1)
6,3: (0,0,25700,65535)  #000064FF  srgba(0,0,100,1)
7,3: (0,0,26214,65535)  #000066FF  srgba(0,0,102,1)
8,3: (0,0,26728,65535)  #000068FF  srgba(0,0,104,1)
9,3: (0,0,26985,65535)  #000069FF  srgba(0,0,105,1)
10,3: (0,0,27499,65535)  #00006BFF  srgba(0,0,107,1)
11,3: (0,0,27756,65535)  #00006CFF  srgba(0,0,108,1)
12,3: (0,0,28270,65535)  #00006EFF  srgba(0,0,110,1)
13,3: (0,0,28784,65535)  #000070FF  srgba(0,0,112,1)
14,3: (0,0,29041,65535)  #000071FF  srgba(0,0,113,1)
15,3: (0,0,29298,65535)  #000072FF  srgba(0,0,114,1)
0,4: (0,0,29555,65535)  #000073FF  srgba(0,0,115,1)
1,4: (0,0,29812,65535)  #000074FF  srgba(0,0,116,1)
2,4: (0,0,30069,65535)  #000075FF  srgba(0,0,117,1)
3,4: (0,0,31097,65535)  #000079FF  srgba(0,0,121,1)
4,4: (0,0,32125,65535)  #00007DFF  srgba(0,0,125,1)
5,4: (0,0,32896,65535)  #000080FF  navy
6,4: (0,0,33153,65535)  #000081FF  srgba(0,0,129,1)
7,4: (0,0,33410,65535)  #000082FF  srgba(0,0,130,1)
8,4: (0,0,33667,65535)  #000083FF  srgba(0,0,131,1)
9,4: (0,0,34438,65535)  #000086FF  srgba(0,0,134,1)
10,4: (0,0,34952,65535)  #000088FF  srgba(0,0,136,1)
11,4: (0,0,35209,65535)  #000089FF  srgba(0,0,137,1)
12,4: (0,0,35723,65535)  #00008BFF  DarkBlue
13,4: (0,0,35723,65535)  #00008BFF  DarkBlue
14,4: (0,0,36237,65535)  #00008DFF  srgba(0,0,141,1)
15,4: (0,0,36751,65535)  #00008FFF  srgba(0,0,143,1)
0,5: (0,0,37008,65535)  #000090FF  srgba(0,0,144,1)
1,5: (0,0,37265,65535)  #000091FF  srgba(0,0,145,1)
2,5: (0,0,37779,65535)  #000093FF  srgba(0,0,147,1)
3,5: (0,0,38293,65535)  #000095FF  srgba(0,0,149,1)
4,5: (0,0,38550,65535)  #000096FF  srgba(0,0,150,1)
5,5: (0,0,38807,65535)  #000097FF  srgba(0,0,151,1)
6,5: (0,0,39578,65535)  #00009AFF  srgba(0,0,154,1)
7,5: (0,0,39835,65535)  #00009BFF  srgba(0,0,155,1)
8,5: (0,0,40349,65535)  #00009DFF  srgba(0,0,157,1)
9,5: (0,0,40863,65535)  #00009FFF  srgba(0,0,159,1)
10,5: (0,0,40863,65535)  #00009FFF  srgba(0,0,159,1)
11,5: (0,0,41377,65535)  #0000A1FF  srgba(0,0,161,1)
12,5: (0,0,41891,65535)  #0000A3FF  srgba(0,0,163,1)
13,5: (0,0,42148,65535)  #0000A4FF  srgba(0,0,164,1)
14,5: (0,0,42405,65535)  #0000A5FF  srgba(0,0,165,1)
15,5: (0,0,42662,65535)  #0000A6FF  srgba(0,0,166,1)
0,6: (0,0,42919,65535)  #0000A7FF  srgba(0,0,167,1)
1,6: (0,0,43433,65535)  #0000A9FF  srgba(0,0,169,1)
2,6: (0,0,44204,65535)  #0000ACFF  srgba(0,0,172,1)
3,6: (0,0,44461,65535)  #0000ADFF  srgba(0,0,173,1)
4,6: (0,0,45232,65535)  #0000B0FF  srgba(0,0,176,1)
5,6: (0,0,45746,65535)  #0000B2FF  srgba(0,0,178,1)
6,6: (0,0,46260,65535)  #0000B4FF  srgba(0,0,180,1)
7,6: (0,0,46774,65535)  #0000B6FF  srgba(0,0,182,1)
8,6: (0,0,47288,65535)  #0000B8FF  srgba(0,0,184,1)
9,6: (0,0,47802,65535)  #0000BAFF  srgba(0,0,186,1)
10,6: (0,0,48316,65535)  #0000BCFF  srgba(0,0,188,1)
11,6: (0,0,49087,65535)  #0000BFFF  srgba(0,0,191,1)
12,6: (0,0,49601,65535)  #0000C1FF  srgba(0,0,193,1)
13,6: (0,0,50115,65535)  #0000C3FF  srgba(0,0,195,1)
14,6: (0,0,50115,65535)  #0000C3FF  srgba(0,0,195,1)
15,6: (0,0,50629,65535)  #0000C5FF  srgba(0,0,197,1)
0,7: (0,0,51143,65535)  #0000C7FF  srgba(0,0,199,1)
1,7: (0,0,51143,65535)  #0000C7FF  srgba(0,0,199,1)
2,7: (0,0,51657,65535)  #0000C9FF  srgba(0,0,201,1)
3,7: (0,0,51914,65535)  #0000CAFF  srgba(0,0,202,1)
4,7: (0,0,52171,65535)  #0000CBFF  srgba(0,0,203,1)
5,7: (0,0,52685,65535)  #0000CDFF  MediumBlue
6,7: (0,0,52942,65535)  #0000CEFF  srgba(0,0,206,1)
7,7: (0,0,53456,65535)  #0000D0FF  srgba(0,0,208,1)
8,7: (0,0,53456,65535)  #0000D0FF  srgba(0,0,208,1)
9,7: (0,0,53970,65535)  #0000D2FF  srgba(0,0,210,1)
10,7: (0,0,54227,65535)  #0000D3FF  srgba(0,0,211,1)
11,7: (0,0,54741,65535)  #0000D5FF  srgba(0,0,213,1)
12,7: (0,0,54998,65535)  #0000D6FF  srgba(0,0,214,1)
13,7: (0,0,55255,65535)  #0000D7FF  srgba(0,0,215,1)
14,7: (0,0,55512,65535)  #0000D8FF  srgba(0,0,216,1)
15,7: (0,0,56026,65535)  #0000DAFF  srgba(0,0,218,1)
0,8: (0,0,56283,65535)  #0000DBFF  srgba(0,0,219,1)
1,8: (0,0,57311,65535)  #0000DFFF  srgba(0,0,223,1)
2,8: (0,257,514,65535)  #000102FF  srgba(0,1,2,1)
3,8: (0,257,771,65535)  #000103FF  srgba(0,1,3,1)
4,8: (0,257,1799,65535)  #000107FF  srgba(0,1,7,1)
5,8: (0,257,2570,65535)  #00010AFF  srgba(0,1,10,1)
6,8: (0,257,3084,65535)  #00010CFF  srgba(0,1,12,1)
7,8: (0,257,56797,65535)  #0001DDFF  srgba(0,1,221,1)
8,8: (0,514,0,65535)  #000200FF  srgba(0,2,0,1)
9,8: (0,771,0,65535)  #000300FF  srgba(0,3,0,1)
10,8: (0,1028,11822,65535)  #00042EFF  srgba(0,4,46,1)
11,8: (0,1285,28784,65535)  #000570FF  srgba(0,5,112,1)
