# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (1285,0,514,65535)  #050002FF  srgba(5,0,2,1)
2,0: (3855,3855,3855,65535)  #0F0F0FFF  grey6
3,0: (5911,771,2827,65535)  #17030BFF  srgba(23,3,11,1)
4,0: (8224,5140,6425,65535)  #201419FF  srgba(32,20,25,1)
5,0: (9509,771,2827,65535)  #25030BFF  srgba(37,3,11,1)
6,0: (11565,10537,11308,65535)  #2D292CFF  srgba(45,41,44,1)
7,0: (13878,12079,12850,65535)  #362F32FF  srgba(54,47,50,1)
8,0: (14392,14392,14649,65535)  #383839FF  srgba(56,56,57,1)
9,0: (15677,15163,15420,65535)  #3D3B3CFF  srgba(61,59,60,1)
10,0: (15934,13878,14906,65535)  #3E363AFF  srgba(62,54,58,1)
11,0: (16191,16448,16962,65535)  #3F4042FF  srgba(63,64,66,1)
12,0: (16448,16448,16448,65535)  #404040FF  grey25
13,0: (16705,16191,17219,65535)  #413F43FF  srgba(65,63,67,1)
14,0: (16705,16705,16705,65535)  #414141FF  srgba(65,65,65,1)
15,0: (16705,16962,16448,65535)  #414240FF  srgba(65,66,64,1)
0,1: (17219,15934,16191,65535)  #433E3FFF  srgba(67,62,63,1)
1,1: (17219,16448,16962,65535)  #434042FF  srgba(67,64,66,1)
2,1: (17219,16962,17476,65535)  #434244FF  srgba(67,66,68,1)
3,1: (17219,17219,16962,65535)  #434342FF  srgba(67,67,66,1)
4,1: (17733,16448,18504,65535)  #454048FF  srgba(69,64,72,1)
5,1: (17733,17476,17476,65535)  #454444FF  srgba(69,68,68,1)
6,1: (17990,16448,16448,65535)  #464040FF  srgba(70,64,64,1)
7,1: (18247,12593,14649,65535)  #473139FF  srgba(71,49,57,1)
8,1: (18247,16705,17733,65535)  #474145FF  srgba(71,65,69,1)
9,1: (18504,18504,18761,65535)  #484849FF  srgba(72,72,73,1)
10,1: (18761,15677,17476,65535)  #493D44FF  srgba(73,61,68,1)
11,1: (19532,11822,14392,65535)  #4C2E38FF  srgba(76,46,56,1)
12,1: (19532,11822,15420,65535)  #4C2E3CFF  srgba(76,46,60,1)
13,1: (19789,11308,13107,65535)  #4D2C33FF  srgba(77,44,51,1)
14,1: (19789,15420,16191,65535)  #4D3C3FFF  srgba(77,60,63,1)
15,1: (20303,514,2056,65535)  #4F0208FF  srgba(79,2,8,1)
0,2: (20303,16448,20046,65535)  #4F404EFF  srgba(79,64,78,1)
1,2: (20560,18504,19275,65535)  #50484BFF  srgba(80,72,75,1)
2,2: (21074,20303,20046,65535)  #524F4EFF  srgba(82,79,78,1)
