# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (514,257,257,65535)  #020101FF  srgba(2,1,1,1)
2,0: (2570,0,0,65535)  #0A0000FF  srgba(10,0,0,1)
3,0: (3341,3341,3598,65535)  #0D0D0EFF  srgba(13,13,14,1)
4,0: (4369,4883,4883,65535)  #111313FF  srgba(17,19,19,1)
5,0: (4883,4883,5140,65535)  #131314FF  srgba(19,19,20,1)
6,0: (5140,4369,4369,65535)  #141111FF  srgba(20,17,17,1)
7,0: (5654,5654,5911,65535)  #161617FF  srgba(22,22,23,1)
8,0: (5654,6168,6168,65535)  #161818FF  srgba(22,24,24,1)
9,0: (5654,6682,6168,65535)  #161A18FF  srgba(22,26,24,1)
10,0: (6168,5911,6168,65535)  #181718FF  srgba(24,23,24,1)
11,0: (6425,6425,6425,65535)  #191919FF  srgba(25,25,25,1)
12,0: (6682,6682,6682,65535)  #1A1A1AFF  grey10
13,0: (6939,6682,6168,65535)  #1B1A18FF  srgba(27,26,24,1)
14,0: (7196,7196,7453,65535)  #1C1C1DFF  srgba(28,28,29,1)
15,0: (7710,5397,6425,65535)  #1E1519FF  srgba(30,21,25,1)
0,1: (7710,7967,7967,65535)  #1E1F1FFF  srgba(30,31,31,1)
1,1: (7967,5397,4626,65535)  #1F1512FF  srgba(31,21,18,1)
2,1: (8224,514,257,65535)  #200201FF  srgba(32,2,1,1)
3,1: (8481,3598,4369,65535)  #210E11FF  srgba(33,14,17,1)
4,1: (8738,8481,4883,65535)  #222113FF  srgba(34,33,19,1)
5,1: (9766,6425,5397,65535)  #261915FF  srgba(38,25,21,1)
6,1: (9766,8481,8995,65535)  #262123FF  srgba(38,33,35,1)
7,1: (9766,9252,9509,65535)  #262425FF  srgba(38,36,37,1)
8,1: (10023,47802,10537,65535)  #27BA29FF  srgba(39,186,41,1)
9,1: (10280,10280,10023,65535)  #282827FF  srgba(40,40,39,1)
10,1: (11308,6682,7967,65535)  #2C1A1FFF  srgba(44,26,31,1)
11,1: (11565,11051,11565,65535)  #2D2B2DFF  srgba(45,43,45,1)
12,1: (11822,18247,257,65535)  #2E4701FF  srgba(46,71,1,1)
13,1: (11822,20560,771,65535)  #2E5003FF  srgba(46,80,3,1)
14,1: (12336,4883,5654,65535)  #301316FF  srgba(48,19,22,1)
15,1: (12593,0,514,65535)  #310002FF  srgba(49,0,2,1)
0,2: (12593,12336,12336,65535)  #313030FF  srgba(49,48,48,1)
1,2: (12593,29041,2313,65535)  #317109FF  srgba(49,113,9,1)
2,2: (12850,15420,15677,65535)  #323C3DFF  srgba(50,60,61,1)
3,2: (13364,2313,1799,65535)  #340907FF  srgba(52,9,7,1)
4,2: (13364,3341,4883,65535)  #340D13FF  srgba(52,13,19,1)
5,2: (13878,10537,2827,65535)  #36290BFF  srgba(54,41,11,1)
6,2: (13878,13621,13878,65535)  #363536FF  srgba(54,53,54,1)
7,2: (13878,16705,7967,65535)  #36411FFF  srgba(54,65,31,1)
8,2: (14392,15934,14649,65535)  #383E39FF  srgba(56,62,57,1)
9,2: (14649,14906,14906,65535)  #393A3AFF  srgba(57,58,58,1)
10,2: (14906,15420,15420,65535)  #3A3C3CFF  srgba(58,60,60,1)
11,2: (15163,15420,15163,65535)  #3B3C3BFF  srgba(59,60,59,1)
12,2: (15163,16705,16191,65535)  #3B413FFF  srgba(59,65,63,1)
13,2: (15163,17733,12336,65535)  #3B4530FF  srgba(59,69,48,1)
14,2: (15420,14906,15163,65535)  #3C3A3BFF  srgba(60,58,59,1)
15,2: (15420,15163,15934,65535)  #3C3B3EFF  srgba(60,59,62,1)
0,3: (15420,15420,14392,65535)  #3C3C38FF  srgba(60,60,56,1)
1,3: (15420,16962,16705,65535)  #3C4241FF  srgba(60,66,65,1)
2,3: (15420,16962,17219,65535)  #3C4243FF  srgba(60,66,67,1)
3,3: (15677,15677,15677,65535)  #3D3D3DFF  grey24
4,3: (15677,15677,16191,65535)  #3D3D3FFF  srgba(61,61,63,1)
5,3: (15677,16191,12593,65535)  #3D3F31FF  srgba(61,63,49,1)
6,3: (15677,16705,12336,65535)  #3D4130FF  srgba(61,65,48,1)
7,3: (15934,15677,15677,65535)  #3E3D3DFF  srgba(62,61,61,1)
8,3: (15934,16448,16448,65535)  #3E4040FF  srgba(62,64,64,1)
9,3: (16191,16191,16962,65535)  #3F3F42FF  srgba(63,63,66,1)
10,3: (16448,15420,15934,65535)  #403C3EFF  srgba(64,60,62,1)
11,3: (16448,16448,16448,65535)  #404040FF  grey25
12,3: (16705,16705,16705,65535)  #414141FF  srgba(65,65,65,1)
13,3: (16705,16705,16962,65535)  #414142FF  srgba(65,65,66,1)
