# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (257,0,1799,65535)  #010007FF  srgba(1,0,7,1)
2,0: (257,257,6425,65535)  #010119FF  srgba(1,1,25,1)
3,0: (1285,514,1542,65535)  #050206FF  srgba(5,2,6,1)
4,0: (1285,514,4626,65535)  #050212FF  srgba(5,2,18,1)
5,0: (1285,514,6939,65535)  #05021BFF  srgba(5,2,27,1)
6,0: (2313,1799,6425,65535)  #090719FF  srgba(9,7,25,1)
7,0: (2313,2313,2313,65535)  #090909FF  srgba(9,9,9,1)
8,0: (3598,2570,3598,65535)  #0E0A0EFF  srgba(14,10,14,1)
9,0: (4112,514,6682,65535)  #10021AFF  srgba(16,2,26,1)
10,0: (4112,771,3341,65535)  #10030DFF  srgba(16,3,13,1)
11,0: (4112,2570,6168,65535)  #100A18FF  srgba(16,10,24,1)
12,0: (4369,771,1028,65535)  #110304FF  srgba(17,3,4,1)
13,0: (4369,2056,2313,65535)  #110809FF  srgba(17,8,9,1)
14,0: (4883,3598,10280,65535)  #130E28FF  srgba(19,14,40,1)
15,0: (4883,4112,4369,65535)  #131011FF  srgba(19,16,17,1)
0,1: (5911,4883,5911,65535)  #171317FF  srgba(23,19,23,1)
1,1: (6425,2827,5654,65535)  #190B16FF  srgba(25,11,22,1)
2,1: (6682,2313,2827,65535)  #1A090BFF  srgba(26,9,11,1)
3,1: (6682,6425,6939,65535)  #1A191BFF  srgba(26,25,27,1)
4,1: (8224,8224,8224,65535)  #202020FF  srgba(32,32,32,1)
5,1: (8481,257,6425,65535)  #210119FF  srgba(33,1,25,1)
6,1: (8481,5654,10794,65535)  #21162AFF  srgba(33,22,42,1)
7,1: (8738,257,2056,65535)  #220108FF  srgba(34,1,8,1)
8,1: (8738,2827,5654,65535)  #220B16FF  srgba(34,11,22,1)
9,1: (8995,4883,5140,65535)  #231314FF  srgba(35,19,20,1)
10,1: (8995,6682,7196,65535)  #231A1CFF  srgba(35,26,28,1)
11,1: (8995,8738,10280,65535)  #232228FF  srgba(35,34,40,1)
12,1: (10023,4626,7453,65535)  #27121DFF  srgba(39,18,29,1)
13,1: (10280,12593,10537,65535)  #283129FF  srgba(40,49,41,1)
14,1: (10794,9509,11051,65535)  #2A252BFF  srgba(42,37,43,1)
15,1: (11051,8481,11308,65535)  #2B212CFF  srgba(43,33,44,1)
0,2: (11051,11822,11308,65535)  #2B2E2CFF  srgba(43,46,44,1)
1,2: (11051,16962,11565,65535)  #2B422DFF  srgba(43,66,45,1)
