# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (514,514,514,65535)  #020202FF  srgba(2,2,2,1)
2,0: (4112,4112,3855,65535)  #10100FFF  srgba(16,16,15,1)
3,0: (7710,7710,6425,65535)  #1E1E19FF  srgba(30,30,25,1)
4,0: (8995,8995,9252,65535)  #232324FF  srgba(35,35,36,1)
5,0: (10537,9252,8738,65535)  #292422FF  srgba(41,36,34,1)
6,0: (11051,10023,11822,65535)  #2B272EFF  srgba(43,39,46,1)
7,0: (11051,10537,9509,65535)  #2B2925FF  srgba(43,41,37,1)
8,0: (11565,11308,11822,65535)  #2D2C2EFF  srgba(45,44,46,1)
9,0: (12079,12593,11308,65535)  #2F312CFF  srgba(47,49,44,1)
10,0: (12593,12593,15420,65535)  #31313CFF  srgba(49,49,60,1)
11,0: (12593,13107,13107,65535)  #313333FF  srgba(49,51,51,1)
12,0: (13878,13878,13364,65535)  #363634FF  srgba(54,54,52,1)
13,0: (14392,13878,17990,65535)  #383646FF  srgba(56,54,70,1)
14,0: (14649,14906,14906,65535)  #393A3AFF  srgba(57,58,58,1)
15,0: (14906,13621,19789,65535)  #3A354DFF  srgba(58,53,77,1)
0,1: (14906,14906,16962,65535)  #3A3A42FF  srgba(58,58,66,1)
1,1: (15163,15163,15420,65535)  #3B3B3CFF  srgba(59,59,60,1)
2,1: (15163,15677,24929,65535)  #3B3D61FF  srgba(59,61,97,1)
3,1: (15677,15420,15420,65535)  #3D3C3CFF  srgba(61,60,60,1)
4,1: (15677,15934,14135,65535)  #3D3E37FF  srgba(61,62,55,1)
5,1: (15934,15420,21845,65535)  #3E3C55FF  srgba(62,60,85,1)
6,1: (15934,16191,13364,65535)  #3E3F34FF  srgba(62,63,52,1)
7,1: (16191,15934,9509,65535)  #3F3E25FF  srgba(63,62,37,1)
8,1: (16191,16191,12336,65535)  #3F3F30FF  srgba(63,63,48,1)
9,1: (16705,16448,16705,65535)  #414041FF  srgba(65,64,65,1)
10,1: (16705,16962,15677,65535)  #41423DFF  srgba(65,66,61,1)
11,1: (16705,17476,19789,65535)  #41444DFF  srgba(65,68,77,1)
12,1: (16962,16448,17990,65535)  #424046FF  srgba(66,64,70,1)
13,1: (16962,16705,16962,65535)  #424142FF  srgba(66,65,66,1)
14,1: (16962,46517,35723,65535)  #42B58BFF  srgba(66,181,139,1)
15,1: (17219,17476,16962,65535)  #434442FF  srgba(67,68,66,1)
0,2: (17219,17733,17733,65535)  #434545FF  srgba(67,69,69,1)
1,2: (17476,15934,25186,65535)  #443E62FF  srgba(68,62,98,1)
2,2: (17990,23901,16705,65535)  #465D41FF  srgba(70,93,65,1)
3,2: (18247,17990,17476,65535)  #474644FF  srgba(71,70,68,1)
4,2: (18504,28270,31868,65535)  #486E7CFF  srgba(72,110,124,1)
