# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (257,257,514,65535)  #010102FF  srgba(1,1,2,1)
2,0: (2313,2313,2313,65535)  #090909FF  srgba(9,9,9,1)
3,0: (4883,4883,4883,65535)  #131313FF  srgba(19,19,19,1)
4,0: (7196,7196,7196,65535)  #1C1C1CFF  grey11
5,0: (7967,7967,7967,65535)  #1F1F1FFF  grey12
6,0: (8995,8995,8995,65535)  #232323FF  srgba(35,35,35,1)
7,0: (10280,10537,10280,65535)  #282928FF  srgba(40,41,40,1)
8,0: (11051,27756,21588,65535)  #2B6C54FF  srgba(43,108,84,1)
9,0: (11308,21845,21074,65535)  #2C5552FF  srgba(44,85,82,1)
10,0: (11565,21845,29041,65535)  #2D5571FF  srgba(45,85,113,1)
11,0: (11565,28784,32639,65535)  #2D707FFF  srgba(45,112,127,1)
12,0: (11822,11308,37265,65535)  #2E2C91FF  srgba(46,44,145,1)
13,0: (11822,11822,11565,65535)  #2E2E2DFF  srgba(46,46,45,1)
14,0: (11822,21331,11822,65535)  #2E532EFF  srgba(46,83,46,1)
15,0: (11822,37008,33667,65535)  #2E9083FF  srgba(46,144,131,1)
0,1: (12079,16448,32125,65535)  #2F407DFF  srgba(47,64,125,1)
1,1: (12079,22359,38807,65535)  #2F5797FF  srgba(47,87,151,1)
2,1: (12079,46774,50886,65535)  #2FB6C6FF  srgba(47,182,198,1)
3,1: (12336,11822,28270,65535)  #302E6EFF  srgba(48,46,110,1)
4,1: (12336,19275,20046,65535)  #304B4EFF  srgba(48,75,78,1)
5,1: (12336,32125,46260,65535)  #307DB4FF  srgba(48,125,180,1)
6,1: (12850,16448,23130,65535)  #32405AFF  srgba(50,64,90,1)
7,1: (13107,12079,23901,65535)  #332F5DFF  srgba(51,47,93,1)
8,1: (13107,12850,12850,65535)  #333232FF  srgba(51,50,50,1)
9,1: (13364,13621,13364,65535)  #343534FF  srgba(52,53,52,1)
10,1: (13621,16448,19532,65535)  #35404CFF  srgba(53,64,76,1)
11,1: (13878,12850,19532,65535)  #36324CFF  srgba(54,50,76,1)
12,1: (13878,13621,13621,65535)  #363535FF  srgba(54,53,53,1)
13,1: (13878,13621,14392,65535)  #363538FF  srgba(54,53,56,1)
14,1: (13878,14906,11822,65535)  #363A2EFF  srgba(54,58,46,1)
15,1: (13878,17733,12593,65535)  #364531FF  srgba(54,69,49,1)
0,2: (14135,14135,14135,65535)  #373737FF  srgba(55,55,55,1)
1,2: (14135,16191,16962,65535)  #373F42FF  srgba(55,63,66,1)
2,2: (14392,13878,16448,65535)  #383640FF  srgba(56,54,64,1)
3,2: (14392,14649,14906,65535)  #38393AFF  srgba(56,57,58,1)
4,2: (14392,16191,12850,65535)  #383F32FF  srgba(56,63,50,1)
5,2: (14649,14392,15420,65535)  #39383CFF  srgba(57,56,60,1)
6,2: (14649,14649,14392,65535)  #393938FF  srgba(57,57,56,1)
7,2: (14649,15420,15420,65535)  #393C3CFF  srgba(57,60,60,1)
8,2: (14906,13364,12079,65535)  #3A342FFF  srgba(58,52,47,1)
9,2: (14906,14906,14906,65535)  #3A3A3AFF  srgba(58,58,58,1)
10,2: (14906,15163,14392,65535)  #3A3B38FF  srgba(58,59,56,1)
11,2: (14906,15420,14392,65535)  #3A3C38FF  srgba(58,60,56,1)
12,2: (14906,15677,15677,65535)  #3A3D3DFF  srgba(58,61,61,1)
13,2: (15163,14649,14906,65535)  #3B393AFF  srgba(59,57,58,1)
14,2: (15163,14649,15420,65535)  #3B393CFF  srgba(59,57,60,1)
15,2: (15163,15163,15163,65535)  #3B3B3BFF  grey23
0,3: (15420,15163,14392,65535)  #3C3B38FF  srgba(60,59,56,1)
1,3: (15420,15163,15934,65535)  #3C3B3EFF  srgba(60,59,62,1)
2,3: (15420,15420,15420,65535)  #3C3C3CFF  srgba(60,60,60,1)
3,3: (15420,15934,13621,65535)  #3C3E35FF  srgba(60,62,53,1)
4,3: (15677,11822,27756,65535)  #3D2E6CFF  srgba(61,46,108,1)
5,3: (15677,12850,21331,65535)  #3D3253FF  srgba(61,50,83,1)
6,3: (15677,13364,19018,65535)  #3D344AFF  srgba(61,52,74,1)
7,3: (15677,14135,16962,65535)  #3D3742FF  srgba(61,55,66,1)
8,3: (15677,14649,13878,65535)  #3D3936FF  srgba(61,57,54,1)
9,3: (15677,14649,15934,65535)  #3D393EFF  srgba(61,57,62,1)
10,3: (15677,15163,15163,65535)  #3D3B3BFF  srgba(61,59,59,1)
11,3: (15677,15420,16448,65535)  #3D3C40FF  srgba(61,60,64,1)
12,3: (15677,15677,15677,65535)  #3D3D3DFF  grey24
13,3: (15934,15420,14906,65535)  #3E3C3AFF  srgba(62,60,58,1)
14,3: (15934,15677,15677,65535)  #3E3D3DFF  srgba(62,61,61,1)
15,3: (16191,15420,13878,65535)  #3F3C36FF  srgba(63,60,54,1)
0,4: (16448,14392,13107,65535)  #403833FF  srgba(64,56,51,1)
1,4: (16448,15934,17476,65535)  #403E44FF  srgba(64,62,68,1)
2,4: (16448,16191,14906,65535)  #403F3AFF  srgba(64,63,58,1)
3,4: (16448,16191,16191,65535)  #403F3FFF  srgba(64,63,63,1)
4,4: (16705,14392,16962,65535)  #413842FF  srgba(65,56,66,1)
5,4: (16705,15420,12336,65535)  #413C30FF  srgba(65,60,48,1)
6,4: (16705,16705,16705,65535)  #414141FF  srgba(65,65,65,1)
7,4: (16705,16705,16705,65535)  #414141FF  srgba(65,65,65,1)
8,4: (16705,17476,17733,65535)  #414445FF  srgba(65,68,69,1)
9,4: (16962,12850,18504,65535)  #423248FF  srgba(66,50,72,1)
10,4: (16962,15934,12850,65535)  #423E32FF  srgba(66,62,50,1)
11,4: (16962,16962,16962,65535)  #424242FF  grey26
12,4: (17219,15934,17733,65535)  #433E45FF  srgba(67,62,69,1)
13,4: (17219,16191,16962,65535)  #433F42FF  srgba(67,63,66,1)
14,4: (17219,16448,13364,65535)  #434034FF  srgba(67,64,52,1)
15,4: (17219,19275,11822,65535)  #434B2EFF  srgba(67,75,46,1)
0,5: (17476,16962,12593,65535)  #444231FF  srgba(68,66,49,1)
1,5: (17733,14135,12593,65535)  #453731FF  srgba(69,55,49,1)
2,5: (17733,15677,19275,65535)  #453D4BFF  srgba(69,61,75,1)
3,5: (17733,15677,25443,65535)  #453D63FF  srgba(69,61,99,1)
4,5: (17733,17476,12593,65535)  #454431FF  srgba(69,68,49,1)
5,5: (17990,18761,23387,65535)  #46495BFF  srgba(70,73,91,1)
6,5: (18247,13107,18761,65535)  #473349FF  srgba(71,51,73,1)
7,5: (18247,17476,16191,65535)  #47443FFF  srgba(71,68,63,1)
8,5: (18504,19018,31868,65535)  #484A7CFF  srgba(72,74,124,1)
9,5: (19018,13621,12079,65535)  #4A352FFF  srgba(74,53,47,1)
10,5: (19275,13364,24672,65535)  #4B3460FF  srgba(75,52,96,1)
11,5: (19275,15677,20303,65535)  #4B3D4FFF  srgba(75,61,79,1)
12,5: (19275,17219,13364,65535)  #4B4334FF  srgba(75,67,52,1)
13,5: (19275,17476,10794,65535)  #4B442AFF  srgba(75,68,42,1)
14,5: (19532,10023,24929,65535)  #4C2761FF  srgba(76,39,97,1)
