# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (1285,0,0,65535)  #050000FF  srgba(5,0,0,1)
2,0: (4112,0,0,65535)  #100000FF  srgba(16,0,0,1)
3,0: (6425,2570,2056,65535)  #190A08FF  srgba(25,10,8,1)
4,0: (7453,6682,6425,65535)  #1D1A19FF  srgba(29,26,25,1)
5,0: (10537,10537,10537,65535)  #292929FF  grey16
6,0: (13107,12850,12593,65535)  #333231FF  srgba(51,50,49,1)
7,0: (14649,3341,3341,65535)  #390D0DFF  srgba(57,13,13,1)
8,0: (15934,48316,46774,65535)  #3EBCB6FF  srgba(62,188,182,1)
9,0: (17733,39835,32639,65535)  #459B7FFF  srgba(69,155,127,1)
10,0: (18761,18761,18504,65535)  #494948FF  srgba(73,73,72,1)
11,0: (19018,36237,1285,65535)  #4A8D05FF  srgba(74,141,5,1)
12,0: (19275,19275,19275,65535)  #4B4B4BFF  srgba(75,75,75,1)
13,0: (19789,19789,19789,65535)  #4D4D4DFF  grey30
14,0: (20046,34438,19532,65535)  #4E864CFF  srgba(78,134,76,1)
15,0: (20303,20046,19018,65535)  #4F4E4AFF  srgba(79,78,74,1)
0,1: (20303,20303,20303,65535)  #4F4F4FFF  grey31
1,1: (20560,20560,20560,65535)  #505050FF  srgba(80,80,80,1)
2,1: (20817,11822,6939,65535)  #512E1BFF  srgba(81,46,27,1)
3,1: (21074,19018,17990,65535)  #524A46FF  srgba(82,74,70,1)
4,1: (21074,20560,19275,65535)  #52504BFF  srgba(82,80,75,1)
5,1: (21074,20817,20817,65535)  #525151FF  srgba(82,81,81,1)
6,1: (21331,21074,21074,65535)  #535252FF  srgba(83,82,82,1)
7,1: (21845,21845,21588,65535)  #555554FF  srgba(85,85,84,1)
8,1: (22616,22359,21588,65535)  #585754FF  srgba(88,87,84,1)
9,1: (22873,22873,21331,65535)  #595953FF  srgba(89,89,83,1)
10,1: (23130,16191,10023,65535)  #5A3F27FF  srgba(90,63,39,1)
11,1: (23130,22873,23130,65535)  #5A595AFF  srgba(90,89,90,1)
12,1: (23387,18761,10023,65535)  #5B4927FF  srgba(91,73,39,1)
13,1: (23387,20560,21845,65535)  #5B5055FF  srgba(91,80,85,1)
14,1: (23901,22102,20303,65535)  #5D564FFF  srgba(93,86,79,1)
15,1: (23901,22616,14135,65535)  #5D5837FF  srgba(93,88,55,1)
0,2: (24158,27756,25443,65535)  #5E6C63FF  srgba(94,108,99,1)
1,2: (24672,20046,16962,65535)  #604E42FF  srgba(96,78,66,1)
2,2: (24672,20817,17219,65535)  #605143FF  srgba(96,81,67,1)
3,2: (24672,23901,23644,65535)  #605D5CFF  srgba(96,93,92,1)
4,2: (24929,24158,24672,65535)  #615E60FF  srgba(97,94,96,1)
5,2: (24929,24929,24672,65535)  #616160FF  srgba(97,97,96,1)
6,2: (25186,23644,4112,65535)  #625C10FF  srgba(98,92,16,1)
7,2: (25700,24158,20303,65535)  #645E4FFF  srgba(100,94,79,1)
8,2: (25700,25700,25443,65535)  #646463FF  srgba(100,100,99,1)
9,2: (25957,18504,15420,65535)  #65483CFF  srgba(101,72,60,1)
