# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,35466,63479,65535)  #008AF7FF  srgba(0,138,247,1)
2,0: (0,49858,63222,65535)  #00C2F6FF  srgba(0,194,246,1)
3,0: (0,60395,40092,65535)  #00EB9CFF  srgba(0,235,156,1)
4,0: (257,257,257,65535)  #010101FF  srgba(1,1,1,1)
5,0: (257,20303,25957,65535)  #014F65FF  srgba(1,79,101,1)
6,0: (257,24929,27756,65535)  #01616CFF  srgba(1,97,108,1)
7,0: (257,25443,39835,65535)  #01639BFF  srgba(1,99,155,1)
8,0: (257,26471,33410,65535)  #016782FF  srgba(1,103,130,1)
9,0: (257,26985,257,65535)  #016901FF  srgba(1,105,1,1)
10,0: (257,29041,38807,65535)  #017197FF  srgba(1,113,151,1)
11,0: (257,31868,35209,65535)  #017C89FF  srgba(1,124,137,1)
12,0: (257,32639,42919,65535)  #017FA7FF  srgba(1,127,167,1)
13,0: (257,35980,257,65535)  #018C01FF  srgba(1,140,1,1)
14,0: (257,36494,65278,65535)  #018EFEFF  srgba(1,142,254,1)
15,0: (257,38807,41891,65535)  #0197A3FF  srgba(1,151,163,1)
0,1: (257,39321,27756,65535)  #01996CFF  srgba(1,153,108,1)
1,1: (257,42662,11051,65535)  #01A62BFF  srgba(1,166,43,1)
2,1: (257,43433,514,65535)  #01A902FF  srgba(1,169,2,1)
3,1: (257,45232,37008,65535)  #01B090FF  srgba(1,176,144,1)
4,1: (257,49344,25443,65535)  #01C063FF  srgba(1,192,99,1)
5,1: (257,49858,11308,65535)  #01C22CFF  srgba(1,194,44,1)
6,1: (257,58596,63736,65535)  #01E4F8FF  srgba(1,228,248,1)
7,1: (257,60138,54998,65535)  #01EAD6FF  srgba(1,234,214,1)
8,1: (514,13878,257,65535)  #023601FF  srgba(2,54,1,1)
9,1: (514,15163,16962,65535)  #023B42FF  srgba(2,59,66,1)
10,1: (514,27499,61166,65535)  #026BEEFF  srgba(2,107,238,1)
11,1: (514,31611,6425,65535)  #027B19FF  srgba(2,123,25,1)
12,1: (514,32125,15163,65535)  #027D3BFF  srgba(2,125,59,1)
13,1: (514,35723,51657,65535)  #028BC9FF  srgba(2,139,201,1)
14,1: (771,771,514,65535)  #030302FF  srgba(3,3,2,1)
15,1: (771,13107,29041,65535)  #033371FF  srgba(3,51,113,1)
0,2: (771,13364,21845,65535)  #033455FF  srgba(3,52,85,1)
1,2: (771,14392,10023,65535)  #033827FF  srgba(3,56,39,1)
2,2: (771,16191,41634,65535)  #033FA2FF  srgba(3,63,162,1)
3,2: (771,23130,60395,65535)  #035AEBFF  srgba(3,90,235,1)
4,2: (1028,1028,1028,65535)  #040404FF  srgba(4,4,4,1)
5,2: (1028,16191,58853,65535)  #043FE5FF  srgba(4,63,229,1)
6,2: (1285,1542,1285,65535)  #050605FF  srgba(5,6,5,1)
7,2: (1285,7453,11051,65535)  #051D2BFF  srgba(5,29,43,1)
8,2: (1542,4883,1028,65535)  #061304FF  srgba(6,19,4,1)
9,2: (1542,5397,4883,65535)  #061513FF  srgba(6,21,19,1)
10,2: (1799,1799,1028,65535)  #070704FF  srgba(7,7,4,1)
11,2: (1799,2056,1799,65535)  #070807FF  srgba(7,8,7,1)
12,2: (2056,1542,1542,65535)  #080606FF  srgba(8,6,6,1)
13,2: (2056,1542,2570,65535)  #08060AFF  srgba(8,6,10,1)
14,2: (2056,2313,1285,65535)  #080905FF  srgba(8,9,5,1)
