# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,20817,30583,65535)  #005177FF  srgba(0,81,119,1)
2,0: (0,26471,38550,65535)  #006796FF  srgba(0,103,150,1)
3,0: (0,30069,48573,65535)  #0075BDFF  srgba(0,117,189,1)
4,0: (257,34181,38293,65535)  #018595FF  srgba(1,133,149,1)
5,0: (257,38036,48830,65535)  #0194BEFF  srgba(1,148,190,1)
6,0: (771,20303,41120,65535)  #034FA0FF  srgba(3,79,160,1)
7,0: (1028,28270,31097,65535)  #046E79FF  srgba(4,110,121,1)
8,0: (1542,1542,1285,65535)  #060605FF  srgba(6,6,5,1)
9,0: (1542,20303,22873,65535)  #064F59FF  srgba(6,79,89,1)
10,0: (2313,20046,6682,65535)  #094E1AFF  srgba(9,78,26,1)
11,0: (2827,26728,24929,65535)  #0B6861FF  srgba(11,104,97,1)
12,0: (3084,37779,59624,65535)  #0C93E8FF  srgba(12,147,232,1)
13,0: (3341,37265,40606,65535)  #0D919EFF  srgba(13,145,158,1)
14,0: (3341,39321,61166,65535)  #0D99EEFF  srgba(13,153,238,1)
15,0: (3598,19018,18247,65535)  #0E4A47FF  srgba(14,74,71,1)
0,1: (3598,33924,57825,65535)  #0E84E1FF  srgba(14,132,225,1)
1,1: (4369,33667,33153,65535)  #118381FF  srgba(17,131,129,1)
2,1: (4369,41377,48573,65535)  #11A1BDFF  srgba(17,161,189,1)
3,1: (4369,41377,56797,65535)  #11A1DDFF  srgba(17,161,221,1)
4,1: (4626,41377,64250,65535)  #12A1FAFF  srgba(18,161,250,1)
5,1: (5397,31868,48316,65535)  #157CBCFF  srgba(21,124,188,1)
6,1: (5397,37008,34438,65535)  #159086FF  srgba(21,144,134,1)
7,1: (5397,40863,41891,65535)  #159FA3FF  srgba(21,159,163,1)
8,1: (5654,19532,29812,65535)  #164C74FF  srgba(22,76,116,1)
9,1: (5911,44975,51914,65535)  #17AFCAFF  srgba(23,175,202,1)
10,1: (6168,23130,6682,65535)  #185A1AFF  srgba(24,90,26,1)
11,1: (6168,33153,28784,65535)  #188170FF  srgba(24,129,112,1)
12,1: (6425,39064,35209,65535)  #199889FF  srgba(25,152,137,1)
13,1: (6682,28270,38036,65535)  #1A6E94FF  srgba(26,110,148,1)
14,1: (6939,45232,63222,65535)  #1BB0F6FF  srgba(27,176,246,1)
15,1: (6939,51657,65021,65535)  #1BC9FDFF  srgba(27,201,253,1)
0,2: (7196,7453,6682,65535)  #1C1D1AFF  srgba(28,29,26,1)
1,2: (7196,17733,8995,65535)  #1C4523FF  srgba(28,69,35,1)
2,2: (7196,27499,6939,65535)  #1C6B1BFF  srgba(28,107,27,1)
3,2: (7196,34181,38293,65535)  #1C8595FF  srgba(28,133,149,1)
4,2: (7196,38036,48830,65535)  #1C94BEFF  srgba(28,148,190,1)
5,2: (7196,50886,58082,65535)  #1CC6E2FF  srgba(28,198,226,1)
6,2: (8224,44461,31868,65535)  #20AD7CFF  srgba(32,173,124,1)
7,2: (8481,39578,6939,65535)  #219A1BFF  srgba(33,154,27,1)
8,2: (9252,9252,8224,65535)  #242420FF  srgba(36,36,32,1)
9,2: (9252,28527,30840,65535)  #246F78FF  srgba(36,111,120,1)
10,2: (10023,17733,18247,65535)  #274547FF  srgba(39,69,71,1)
11,2: (10794,16448,15677,65535)  #2A403DFF  srgba(42,64,61,1)
12,2: (10794,26471,24158,65535)  #2A675EFF  srgba(42,103,94,1)
13,2: (11051,19789,22359,65535)  #2B4D57FF  srgba(43,77,87,1)
14,2: (11308,20046,7196,65535)  #2C4E1CFF  srgba(44,78,28,1)
15,2: (11565,11565,11051,65535)  #2D2D2BFF  srgba(45,45,43,1)
0,3: (11565,16191,12079,65535)  #2D3F2FFF  srgba(45,63,47,1)
1,3: (11822,13878,27242,65535)  #2E366AFF  srgba(46,54,106,1)
2,3: (12850,17476,7967,65535)  #32441FFF  srgba(50,68,31,1)
3,3: (13364,13621,12850,65535)  #343532FF  srgba(52,53,50,1)
4,3: (13364,14392,15677,65535)  #34383DFF  srgba(52,56,61,1)
5,3: (13364,17476,17990,65535)  #344446FF  srgba(52,68,70,1)
6,3: (13878,13878,13878,65535)  #363636FF  grey21
7,3: (13878,15677,15420,65535)  #363D3CFF  srgba(54,61,60,1)
8,3: (14135,14392,15163,65535)  #37383BFF  srgba(55,56,59,1)
9,3: (14135,15163,13621,65535)  #373B35FF  srgba(55,59,53,1)
10,3: (14392,14392,13621,65535)  #383835FF  srgba(56,56,53,1)
11,3: (14392,14649,14392,65535)  #383938FF  srgba(56,57,56,1)
12,3: (14392,15934,12336,65535)  #383E30FF  srgba(56,62,48,1)
13,3: (14649,14906,13364,65535)  #393A34FF  srgba(57,58,52,1)
14,3: (14649,15163,15163,65535)  #393B3BFF  srgba(57,59,59,1)
15,3: (14906,14392,13878,65535)  #3A3836FF  srgba(58,56,54,1)
0,4: (14906,14392,14649,65535)  #3A3839FF  srgba(58,56,57,1)
1,4: (14906,14906,14135,65535)  #3A3A37FF  srgba(58,58,55,1)
2,4: (14906,14906,14906,65535)  #3A3A3AFF  srgba(58,58,58,1)
3,4: (15163,14649,14135,65535)  #3B3937FF  srgba(59,57,55,1)
4,4: (15163,14649,15163,65535)  #3B393BFF  srgba(59,57,59,1)
5,4: (15163,15163,14392,65535)  #3B3B38FF  srgba(59,59,56,1)
6,4: (15163,15163,14392,65535)  #3B3B38FF  srgba(59,59,56,1)
7,4: (15163,15163,15163,65535)  #3B3B3BFF  grey23
8,4: (15420,14649,13621,65535)  #3C3935FF  srgba(60,57,53,1)
9,4: (15420,15163,14135,65535)  #3C3B37FF  srgba(60,59,55,1)
10,4: (15420,15420,15420,65535)  #3C3C3CFF  srgba(60,60,60,1)
11,4: (15677,14392,14392,65535)  #3D3838FF  srgba(61,56,56,1)
12,4: (15677,14392,15420,65535)  #3D383CFF  srgba(61,56,60,1)
13,4: (15677,15420,15677,65535)  #3D3C3DFF  srgba(61,60,61,1)
14,4: (15677,15677,14906,65535)  #3D3D3AFF  srgba(61,61,58,1)
15,4: (15934,15420,14649,65535)  #3E3C39FF  srgba(62,60,57,1)
0,5: (15934,15677,13878,65535)  #3E3D36FF  srgba(62,61,54,1)
1,5: (15934,15677,15163,65535)  #3E3D3BFF  srgba(62,61,59,1)
2,5: (16191,15163,12336,65535)  #3F3B30FF  srgba(63,59,48,1)
3,5: (16191,16191,15934,65535)  #3F3F3EFF  srgba(63,63,62,1)
4,5: (16448,14649,10794,65535)  #40392AFF  srgba(64,57,42,1)
5,5: (16705,14135,11822,65535)  #41372EFF  srgba(65,55,46,1)
6,5: (16705,16705,15934,65535)  #41413EFF  srgba(65,65,62,1)
7,5: (16705,16705,16962,65535)  #414142FF  srgba(65,65,66,1)
8,5: (16962,14392,14392,65535)  #423838FF  srgba(66,56,56,1)
9,5: (16962,16448,5397,65535)  #424015FF  srgba(66,64,21,1)
10,5: (16962,16705,16191,65535)  #42413FFF  srgba(66,65,63,1)
11,5: (17219,13107,10280,65535)  #433328FF  srgba(67,51,40,1)
12,5: (17219,16191,14135,65535)  #433F37FF  srgba(67,63,55,1)
13,5: (17476,14392,11308,65535)  #44382CFF  srgba(68,56,44,1)
14,5: (17733,14135,15420,65535)  #45373CFF  srgba(69,55,60,1)
15,5: (17990,15163,8224,65535)  #463B20FF  srgba(70,59,32,1)
0,6: (17990,17733,17733,65535)  #464545FF  srgba(70,69,69,1)
1,6: (18247,16448,15934,65535)  #47403EFF  srgba(71,64,62,1)
2,6: (18504,15677,6425,65535)  #483D19FF  srgba(72,61,25,1)
3,6: (19275,13364,19018,65535)  #4B344AFF  srgba(75,52,74,1)
4,6: (19275,13621,14392,65535)  #4B3538FF  srgba(75,53,56,1)
5,6: (19532,18247,17990,65535)  #4C4746FF  srgba(76,71,70,1)
6,6: (20046,20560,20303,65535)  #4E504FFF  srgba(78,80,79,1)
7,6: (21074,11308,32896,65535)  #522C80FF  srgba(82,44,128,1)
