# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,4883,41377,65535)  #0013A1FF  srgba(0,19,161,1)
2,0: (257,257,514,65535)  #010102FF  srgba(1,1,2,1)
3,0: (257,4626,31611,65535)  #01127BFF  srgba(1,18,123,1)
4,0: (257,10537,46774,65535)  #0129B6FF  srgba(1,41,182,1)
5,0: (514,3598,23644,65535)  #020E5CFF  srgba(2,14,92,1)
6,0: (771,3598,18761,65535)  #030E49FF  srgba(3,14,73,1)
7,0: (771,6425,21331,65535)  #031953FF  srgba(3,25,83,1)
8,0: (771,9766,33667,65535)  #032683FF  srgba(3,38,131,1)
9,0: (1028,4883,12336,65535)  #041330FF  srgba(4,19,48,1)
10,0: (1028,14906,48830,65535)  #043ABEFF  srgba(4,58,190,1)
11,0: (1285,3084,13878,65535)  #050C36FF  srgba(5,12,54,1)
12,0: (1285,8481,21588,65535)  #052154FF  srgba(5,33,84,1)
13,0: (1285,14906,34695,65535)  #053A87FF  srgba(5,58,135,1)
14,0: (1542,2056,2570,65535)  #06080AFF  srgba(6,8,10,1)
15,0: (1542,3341,10280,65535)  #060D28FF  srgba(6,13,40,1)
0,1: (1542,6168,12593,65535)  #061831FF  srgba(6,24,49,1)
1,1: (1542,12079,22616,65535)  #062F58FF  srgba(6,47,88,1)
2,1: (1799,6168,1285,65535)  #071805FF  srgba(7,24,5,1)
3,1: (1799,8224,13107,65535)  #072033FF  srgba(7,32,51,1)
4,1: (1799,20560,51657,65535)  #0750C9FF  srgba(7,80,201,1)
5,1: (2056,2056,3084,65535)  #08080CFF  srgba(8,8,12,1)
6,1: (2056,4112,6425,65535)  #081019FF  srgba(8,16,25,1)
7,1: (2056,5140,6682,65535)  #08141AFF  srgba(8,20,26,1)
8,1: (2313,2827,6682,65535)  #090B1AFF  srgba(9,11,26,1)
9,1: (2570,2570,2570,65535)  #0A0A0AFF  grey4
10,1: (2570,3084,2570,65535)  #0A0C0AFF  srgba(10,12,10,1)
11,1: (2570,3855,5911,65535)  #0A0F17FF  srgba(10,15,23,1)
12,1: (2570,4626,2313,65535)  #0A1209FF  srgba(10,18,9,1)
13,1: (2827,3084,3341,65535)  #0B0C0DFF  srgba(11,12,13,1)
14,1: (3084,2570,2827,65535)  #0C0A0BFF  srgba(12,10,11,1)
15,1: (3084,3084,3084,65535)  #0C0C0CFF  srgba(12,12,12,1)
0,2: (3084,3598,3598,65535)  #0C0E0EFF  srgba(12,14,14,1)
1,2: (3084,3598,4369,65535)  #0C0E11FF  srgba(12,14,17,1)
2,2: (3084,3855,3084,65535)  #0C0F0CFF  srgba(12,15,12,1)
3,2: (3084,4112,2827,65535)  #0C100BFF  srgba(12,16,11,1)
4,2: (3084,4369,4369,65535)  #0C1111FF  srgba(12,17,17,1)
5,2: (3341,3084,2313,65535)  #0D0C09FF  srgba(13,12,9,1)
6,2: (3341,3341,3341,65535)  #0D0D0DFF  grey5
7,2: (3598,3598,2827,65535)  #0E0E0BFF  srgba(14,14,11,1)
8,2: (3855,3598,3341,65535)  #0F0E0DFF  srgba(15,14,13,1)
9,2: (3855,3855,3855,65535)  #0F0F0FFF  grey6
10,2: (3855,4883,2313,65535)  #0F1309FF  srgba(15,19,9,1)
11,2: (4112,3341,4369,65535)  #100D11FF  srgba(16,13,17,1)
12,2: (4112,4112,4112,65535)  #101010FF  srgba(16,16,16,1)
13,2: (4369,3341,3341,65535)  #110D0DFF  srgba(17,13,13,1)
14,2: (4369,4369,3084,65535)  #11110CFF  srgba(17,17,12,1)
15,2: (4369,4369,4369,65535)  #111111FF  srgba(17,17,17,1)
0,3: (4626,3341,4883,65535)  #120D13FF  srgba(18,13,19,1)
1,3: (4626,4626,4369,65535)  #121211FF  srgba(18,18,17,1)
2,3: (4626,4626,4883,65535)  #121213FF  srgba(18,18,19,1)
3,3: (4883,3084,7710,65535)  #130C1EFF  srgba(19,12,30,1)
4,3: (4883,3598,13621,65535)  #130E35FF  srgba(19,14,53,1)
5,3: (4883,3855,5911,65535)  #130F17FF  srgba(19,15,23,1)
6,3: (4883,5140,4883,65535)  #131413FF  srgba(19,20,19,1)
7,3: (5140,4626,21331,65535)  #141253FF  srgba(20,18,83,1)
8,3: (5140,6682,13878,65535)  #141A36FF  srgba(20,26,54,1)
9,3: (5140,9252,42148,65535)  #1424A4FF  srgba(20,36,164,1)
10,3: (5140,15163,34695,65535)  #143B87FF  srgba(20,59,135,1)
11,3: (5140,17476,52942,65535)  #1444CEFF  srgba(20,68,206,1)
12,3: (5397,6168,7710,65535)  #15181EFF  srgba(21,24,30,1)
13,3: (5397,7196,27756,65535)  #151C6CFF  srgba(21,28,108,1)
14,3: (5397,7196,32125,65535)  #151C7DFF  srgba(21,28,125,1)
15,3: (5397,9766,14392,65535)  #152638FF  srgba(21,38,56,1)
0,4: (5397,10537,21588,65535)  #152954FF  srgba(21,41,84,1)
1,4: (5397,20046,37265,65535)  #154E91FF  srgba(21,78,145,1)
2,4: (5397,25443,57568,65535)  #1563E0FF  srgba(21,99,224,1)
3,4: (5654,3855,2570,65535)  #160F0AFF  srgba(22,15,10,1)
4,4: (5654,4626,2313,65535)  #161209FF  srgba(22,18,9,1)
5,4: (5654,5911,5654,65535)  #161716FF  srgba(22,23,22,1)
6,4: (5911,2827,2570,65535)  #170B0AFF  srgba(23,11,10,1)
7,4: (5911,7196,1542,65535)  #171C06FF  srgba(23,28,6,1)
8,4: (7453,2570,5397,65535)  #1D0A15FF  srgba(29,10,21,1)
9,4: (8224,2570,7967,65535)  #200A1FFF  srgba(32,10,31,1)
10,4: (8224,4883,23387,65535)  #20135BFF  srgba(32,19,91,1)
11,4: (8224,7196,6939,65535)  #201C1BFF  srgba(32,28,27,1)
12,4: (8481,8481,23387,65535)  #21215BFF  srgba(33,33,91,1)
13,4: (8738,6425,31611,65535)  #22197BFF  srgba(34,25,123,1)
14,4: (8738,7196,15677,65535)  #221C3DFF  srgba(34,28,61,1)
15,4: (8738,7710,8738,65535)  #221E22FF  srgba(34,30,34,1)
0,5: (8738,12336,23130,65535)  #22305AFF  srgba(34,48,90,1)
1,5: (8995,2313,2056,65535)  #230908FF  srgba(35,9,8,1)
2,5: (8995,12079,31611,65535)  #232F7BFF  srgba(35,47,123,1)
3,5: (9252,3855,2056,65535)  #240F08FF  srgba(36,15,8,1)
4,5: (9509,5140,1542,65535)  #251406FF  srgba(37,20,6,1)
5,5: (9509,7196,11051,65535)  #251C2BFF  srgba(37,28,43,1)
6,5: (9509,9509,1028,65535)  #252504FF  srgba(37,37,4,1)
7,5: (9509,9766,9509,65535)  #252625FF  srgba(37,38,37,1)
8,5: (9509,10023,12850,65535)  #252732FF  srgba(37,39,50,1)
9,5: (10023,2056,10280,65535)  #270828FF  srgba(39,8,40,1)
10,5: (10023,21331,43176,65535)  #2753A8FF  srgba(39,83,168,1)
11,5: (10280,1799,15677,65535)  #28073DFF  srgba(40,7,61,1)
12,5: (10280,2056,12336,65535)  #280830FF  srgba(40,8,48,1)
13,5: (10280,19018,32639,65535)  #284A7FFF  srgba(40,74,127,1)
14,5: (10537,1285,5654,65535)  #290516FF  srgba(41,5,22,1)
15,5: (10537,3855,5397,65535)  #290F15FF  srgba(41,15,21,1)
0,6: (10537,5654,39835,65535)  #29169BFF  srgba(41,22,155,1)
1,6: (10537,11565,12593,65535)  #292D31FF  srgba(41,45,49,1)
2,6: (11051,2313,8224,65535)  #2B0920FF  srgba(43,9,32,1)
3,6: (11051,6425,32382,65535)  #2B197EFF  srgba(43,25,126,1)
4,6: (11308,7710,23901,65535)  #2C1E5DFF  srgba(44,30,93,1)
5,6: (11565,14906,41891,65535)  #2D3AA3FF  srgba(45,58,163,1)
6,6: (11565,17990,24158,65535)  #2D465EFF  srgba(45,70,94,1)
7,6: (11822,13364,13878,65535)  #2E3436FF  srgba(46,52,54,1)
8,6: (11822,18504,56283,65535)  #2E48DBFF  srgba(46,72,219,1)
9,6: (11822,21331,53713,65535)  #2E53D1FF  srgba(46,83,209,1)
10,6: (12079,27756,64250,65535)  #2F6CFAFF  srgba(47,108,250,1)
11,6: (12336,1799,2056,65535)  #300708FF  srgba(48,7,8,1)
12,6: (12593,21588,61680,65535)  #3154F0FF  srgba(49,84,240,1)
13,6: (12593,31097,64250,65535)  #3179FAFF  srgba(49,121,250,1)
14,6: (13107,24158,55769,65535)  #335ED9FF  srgba(51,94,217,1)
15,6: (13364,11051,54998,65535)  #342BD6FF  srgba(52,43,214,1)
0,7: (13364,13107,23130,65535)  #34335AFF  srgba(52,51,90,1)
1,7: (13621,13621,13364,65535)  #353534FF  srgba(53,53,52,1)
2,7: (13621,28527,54227,65535)  #356FD3FF  srgba(53,111,211,1)
3,7: (13878,12336,31868,65535)  #36307CFF  srgba(54,48,124,1)
4,7: (14135,24415,63993,65535)  #375FF9FF  srgba(55,95,249,1)
5,7: (14649,1285,6939,65535)  #39051BFF  srgba(57,5,27,1)
6,7: (14906,14649,14906,65535)  #3A393AFF  srgba(58,57,58,1)
7,7: (15163,27242,47545,65535)  #3B6AB9FF  srgba(59,106,185,1)
8,7: (15420,1285,2056,65535)  #3C0508FF  srgba(60,5,8,1)
9,7: (15420,4369,32382,65535)  #3C117EFF  srgba(60,17,126,1)
10,7: (15420,6425,7196,65535)  #3C191CFF  srgba(60,25,28,1)
11,7: (15420,27756,64250,65535)  #3C6CFAFF  srgba(60,108,250,1)
12,7: (15677,6939,13107,65535)  #3D1B33FF  srgba(61,27,51,1)
13,7: (15677,26985,39064,65535)  #3D6998FF  srgba(61,105,152,1)
14,7: (15934,22359,42919,65535)  #3E57A7FF  srgba(62,87,167,1)
15,7: (16191,4369,2056,65535)  #3F1108FF  srgba(63,17,8,1)
0,8: (16191,6425,22873,65535)  #3F1959FF  srgba(63,25,89,1)
1,8: (16448,771,22359,65535)  #400357FF  srgba(64,3,87,1)
2,8: (16448,1028,10794,65535)  #40042AFF  srgba(64,4,42,1)
3,8: (16448,1028,16448,65535)  #400440FF  srgba(64,4,64,1)
4,8: (16448,4112,6682,65535)  #40101AFF  srgba(64,16,26,1)
5,8: (16448,20560,32382,65535)  #40507EFF  srgba(64,80,126,1)
6,8: (16705,1285,13364,65535)  #410534FF  srgba(65,5,52,1)
7,8: (16962,4112,10537,65535)  #421029FF  srgba(66,16,41,1)
