# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,3084,65535)  #00000CFF  srgba(0,0,12,1)
2,0: (0,0,6682,65535)  #00001AFF  srgba(0,0,26,1)
3,0: (0,0,23644,65535)  #00005CFF  srgba(0,0,92,1)
4,0: (0,257,771,65535)  #000103FF  srgba(0,1,3,1)
5,0: (257,0,18504,65535)  #010048FF  srgba(1,0,72,1)
6,0: (257,257,12850,65535)  #010132FF  srgba(1,1,50,1)
7,0: (771,771,771,65535)  #030303FF  grey1
8,0: (1028,0,27499,65535)  #04006BFF  srgba(4,0,107,1)
9,0: (1028,771,3598,65535)  #04030EFF  srgba(4,3,14,1)
10,0: (1285,257,32896,65535)  #050180FF  srgba(5,1,128,1)
11,0: (1542,5140,59367,65535)  #0614E7FF  srgba(6,20,231,1)
12,0: (2056,2056,2827,65535)  #08080BFF  srgba(8,8,11,1)
13,0: (2827,2570,3341,65535)  #0B0A0DFF  srgba(11,10,13,1)
14,0: (3341,514,23901,65535)  #0D025DFF  srgba(13,2,93,1)
15,0: (3598,4112,52942,65535)  #0E10CEFF  srgba(14,16,206,1)
0,1: (3598,7967,46774,65535)  #0E1FB6FF  srgba(14,31,182,1)
1,1: (3855,4112,3855,65535)  #0F100FFF  srgba(15,16,15,1)
2,1: (4112,1799,17990,65535)  #100746FF  srgba(16,7,70,1)
3,1: (4112,1799,46260,65535)  #1007B4FF  srgba(16,7,180,1)
4,1: (4112,2313,4369,65535)  #100911FF  srgba(16,9,17,1)
5,1: (4626,1542,40349,65535)  #12069DFF  srgba(18,6,157,1)
6,1: (4883,5140,5911,65535)  #131417FF  srgba(19,20,23,1)
7,1: (5140,8995,40349,65535)  #14239DFF  srgba(20,35,157,1)
8,1: (5911,4626,11822,65535)  #17122EFF  srgba(23,18,46,1)
9,1: (6425,4883,33153,65535)  #191381FF  srgba(25,19,129,1)
10,1: (6425,6425,6425,65535)  #191919FF  srgba(25,25,25,1)
11,1: (6682,1028,28527,65535)  #1A046FFF  srgba(26,4,111,1)
12,1: (6939,1285,34181,65535)  #1B0585FF  srgba(27,5,133,1)
13,1: (6939,3855,17990,65535)  #1B0F46FF  srgba(27,15,70,1)
14,1: (6939,12850,55769,65535)  #1B32D9FF  srgba(27,50,217,1)
15,1: (7453,4883,60395,65535)  #1D13EBFF  srgba(29,19,235,1)
0,2: (7710,5397,25186,65535)  #1E1562FF  srgba(30,21,98,1)
1,2: (7710,13621,63479,65535)  #1E35F7FF  srgba(30,53,247,1)
2,2: (7967,7967,7967,65535)  #1F1F1FFF  grey12
3,2: (7967,13107,33153,65535)  #1F3381FF  srgba(31,51,129,1)
4,2: (8224,16448,65278,65535)  #2040FEFF  srgba(32,64,254,1)
5,2: (8224,18504,65278,65535)  #2048FEFF  srgba(32,72,254,1)
6,2: (8738,16705,62194,65535)  #2241F2FF  srgba(34,65,242,1)
7,2: (8738,18761,31611,65535)  #22497BFF  srgba(34,73,123,1)
8,2: (8995,7967,17476,65535)  #231F44FF  srgba(35,31,68,1)
9,2: (8995,8481,11822,65535)  #23212EFF  srgba(35,33,46,1)
10,2: (8995,18761,16962,65535)  #234942FF  srgba(35,73,66,1)
11,2: (8995,20303,43433,65535)  #234FA9FF  srgba(35,79,169,1)
