# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,514,65535)  #000002FF  srgba(0,0,2,1)
2,0: (0,0,3598,65535)  #00000EFF  srgba(0,0,14,1)
3,0: (0,0,10537,65535)  #000029FF  srgba(0,0,41,1)
4,0: (0,0,15163,65535)  #00003BFF  srgba(0,0,59,1)
5,0: (0,0,17733,65535)  #000045FF  srgba(0,0,69,1)
6,0: (0,0,18247,65535)  #000047FF  srgba(0,0,71,1)
7,0: (0,0,19275,65535)  #00004BFF  srgba(0,0,75,1)
8,0: (0,0,23387,65535)  #00005BFF  srgba(0,0,91,1)
9,0: (0,0,37779,65535)  #000093FF  srgba(0,0,147,1)
10,0: (0,0,44204,65535)  #0000ACFF  srgba(0,0,172,1)
11,0: (0,0,53456,65535)  #0000D0FF  srgba(0,0,208,1)
12,0: (0,0,60138,65535)  #0000EAFF  srgba(0,0,234,1)
13,0: (0,0,60395,65535)  #0000EBFF  srgba(0,0,235,1)
14,0: (0,257,5654,65535)  #000116FF  srgba(0,1,22,1)
15,0: (0,514,32639,65535)  #00027FFF  srgba(0,2,127,1)
0,1: (0,514,47288,65535)  #0002B8FF  srgba(0,2,184,1)
1,1: (0,1285,0,65535)  #000500FF  srgba(0,5,0,1)
2,1: (0,3341,63993,65535)  #000DF9FF  srgba(0,13,249,1)
3,1: (0,4369,0,65535)  #001100FF  srgba(0,17,0,1)
4,1: (0,5397,0,65535)  #001500FF  srgba(0,21,0,1)
5,1: (0,5654,30326,65535)  #001676FF  srgba(0,22,118,1)
6,1: (0,7710,0,65535)  #001E00FF  srgba(0,30,0,1)
7,1: (0,8738,64764,65535)  #0022FCFF  srgba(0,34,252,1)
8,1: (0,8995,4369,65535)  #002311FF  srgba(0,35,17,1)
9,1: (0,10794,19275,65535)  #002A4BFF  srgba(0,42,75,1)
10,1: (0,11051,0,65535)  #002B00FF  srgba(0,43,0,1)
11,1: (0,12850,0,65535)  #003200FF  srgba(0,50,0,1)
12,1: (0,13621,0,65535)  #003500FF  srgba(0,53,0,1)
13,1: (0,18761,0,65535)  #004900FF  srgba(0,73,0,1)
14,1: (0,18761,0,65535)  #004900FF  srgba(0,73,0,1)
15,1: (0,18761,5654,65535)  #004916FF  srgba(0,73,22,1)
0,2: (0,25700,0,65535)  #006400FF  DarkGreen
1,2: (0,33410,0,65535)  #008200FF  srgba(0,130,0,1)
2,2: (0,43176,0,65535)  #00A800FF  srgba(0,168,0,1)
3,2: (0,46774,22102,65535)  #00B656FF  srgba(0,182,86,1)
4,2: (0,47031,0,65535)  #00B700FF  srgba(0,183,0,1)
5,2: (0,47031,1028,65535)  #00B704FF  srgba(0,183,4,1)
6,2: (0,47288,0,65535)  #00B800FF  srgba(0,184,0,1)
7,2: (0,47288,9766,65535)  #00B826FF  srgba(0,184,38,1)
8,2: (0,47545,0,65535)  #00B900FF  srgba(0,185,0,1)
9,2: (0,47545,1799,65535)  #00B907FF  srgba(0,185,7,1)
10,2: (0,47802,20560,65535)  #00BA50FF  srgba(0,186,80,1)
11,2: (0,48059,0,65535)  #00BB00FF  srgba(0,187,0,1)
12,2: (0,48059,257,65535)  #00BB01FF  srgba(0,187,1,1)
13,2: (0,48059,4112,65535)  #00BB10FF  srgba(0,187,16,1)
14,2: (0,48316,0,65535)  #00BC00FF  srgba(0,188,0,1)
15,2: (0,48573,9509,65535)  #00BD25FF  srgba(0,189,37,1)
0,3: (0,48830,0,65535)  #00BE00FF  srgba(0,190,0,1)
1,3: (0,49087,10794,65535)  #00BF2AFF  srgba(0,191,42,1)
2,3: (0,50372,16705,65535)  #00C441FF  srgba(0,196,65,1)
3,3: (0,52428,0,65535)  #00CC00FF  srgba(0,204,0,1)
4,3: (0,52685,30326,65535)  #00CD76FF  srgba(0,205,118,1)
5,3: (0,52942,771,65535)  #00CE03FF  srgba(0,206,3,1)
6,3: (0,54998,26471,65535)  #00D667FF  srgba(0,214,103,1)
7,3: (0,56540,1799,65535)  #00DC07FF  srgba(0,220,7,1)
8,3: (0,57054,61680,65535)  #00DEF0FF  srgba(0,222,240,1)
9,3: (0,57568,0,65535)  #00E000FF  srgba(0,224,0,1)
10,3: (0,58596,40092,65535)  #00E49CFF  srgba(0,228,156,1)
11,3: (0,60395,54741,65535)  #00EBD5FF  srgba(0,235,213,1)
12,3: (0,62194,0,65535)  #00F200FF  srgba(0,242,0,1)
13,3: (0,62194,0,65535)  #00F200FF  srgba(0,242,0,1)
14,3: (0,62965,58853,65535)  #00F5E5FF  srgba(0,245,229,1)
15,3: (0,63222,20817,65535)  #00F651FF  srgba(0,246,81,1)
0,4: (0,64250,9252,65535)  #00FA24FF  srgba(0,250,36,1)
1,4: (0,64507,771,65535)  #00FB03FF  srgba(0,251,3,1)
2,4: (0,65278,0,65535)  #00FE00FF  srgba(0,254,0,1)
3,4: (0,65535,0,65535)  #00FF00FF  lime
4,4: (257,0,3084,65535)  #01000CFF  srgba(1,0,12,1)
5,4: (257,0,12079,65535)  #01002FFF  srgba(1,0,47,1)
6,4: (257,0,41120,65535)  #0100A0FF  srgba(1,0,160,1)
7,4: (257,771,25700,65535)  #010364FF  srgba(1,3,100,1)
8,4: (257,771,40092,65535)  #01039CFF  srgba(1,3,156,1)
9,4: (257,1542,257,65535)  #010601FF  srgba(1,6,1,1)
10,4: (257,4369,5911,65535)  #011117FF  srgba(1,17,23,1)
11,4: (257,6939,65021,65535)  #011BFDFF  srgba(1,27,253,1)
12,4: (257,9766,0,65535)  #012600FF  srgba(1,38,0,1)
13,4: (257,10023,514,65535)  #012702FF  srgba(1,39,2,1)
14,4: (257,16705,0,65535)  #014100FF  srgba(1,65,0,1)
15,4: (257,17219,514,65535)  #014302FF  srgba(1,67,2,1)
0,5: (257,41120,41891,65535)  #01A0A3FF  srgba(1,160,163,1)
1,5: (257,42148,514,65535)  #01A402FF  srgba(1,164,2,1)
2,5: (514,0,25443,65535)  #020063FF  srgba(2,0,99,1)
3,5: (514,257,60652,65535)  #0201ECFF  srgba(2,1,236,1)
4,5: (514,27242,514,65535)  #026A02FF  srgba(2,106,2,1)
5,5: (514,33924,59367,65535)  #0284E7FF  srgba(2,132,231,1)
6,5: (514,40349,23644,65535)  #029D5CFF  srgba(2,157,92,1)
7,5: (514,62451,2827,65535)  #02F30BFF  srgba(2,243,11,1)
8,5: (771,13364,63479,65535)  #0334F7FF  srgba(3,52,247,1)
