# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,514,65535)  #000002FF  srgba(0,0,2,1)
2,0: (0,1285,0,65535)  #000500FF  srgba(0,5,0,1)
3,0: (0,2827,0,65535)  #000B00FF  srgba(0,11,0,1)
4,0: (0,4883,0,65535)  #001300FF  srgba(0,19,0,1)
5,0: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
6,0: (514,514,771,65535)  #020203FF  srgba(2,2,3,1)
7,0: (771,0,1542,65535)  #030006FF  srgba(3,0,6,1)
8,0: (1028,257,0,65535)  #040100FF  srgba(4,1,0,1)
9,0: (1285,0,0,65535)  #050000FF  srgba(5,0,0,1)
10,0: (1285,0,771,65535)  #050003FF  srgba(5,0,3,1)
11,0: (1285,0,1542,65535)  #050006FF  srgba(5,0,6,1)
12,0: (1285,6425,2570,65535)  #05190AFF  srgba(5,25,10,1)
13,0: (1799,2570,2056,65535)  #070A08FF  srgba(7,10,8,1)
14,0: (1799,11308,5140,65535)  #072C14FF  srgba(7,44,20,1)
15,0: (2313,0,0,65535)  #090000FF  srgba(9,0,0,1)
0,1: (2827,2827,3084,65535)  #0B0B0CFF  srgba(11,11,12,1)
1,1: (2827,3084,3855,65535)  #0B0C0FFF  srgba(11,12,15,1)
2,1: (2827,7196,5654,65535)  #0B1C16FF  srgba(11,28,22,1)
3,1: (3341,0,1028,65535)  #0D0004FF  srgba(13,0,4,1)
4,1: (3341,3341,3341,65535)  #0D0D0DFF  grey5
5,1: (3341,3598,3855,65535)  #0D0E0FFF  srgba(13,14,15,1)
6,1: (3341,13364,9509,65535)  #0D3425FF  srgba(13,52,37,1)
7,1: (3598,3855,2827,65535)  #0E0F0BFF  srgba(14,15,11,1)
8,1: (3855,0,0,65535)  #0F0000FF  srgba(15,0,0,1)
9,1: (4626,4112,4626,65535)  #121012FF  srgba(18,16,18,1)
10,1: (4883,0,1542,65535)  #130006FF  srgba(19,0,6,1)
11,1: (4883,5140,4883,65535)  #131413FF  srgba(19,20,19,1)
12,1: (5140,3855,4112,65535)  #140F10FF  srgba(20,15,16,1)
13,1: (5140,7196,7196,65535)  #141C1CFF  srgba(20,28,28,1)
14,1: (5140,20303,13621,65535)  #144F35FF  srgba(20,79,53,1)
15,1: (5397,5911,5654,65535)  #151716FF  srgba(21,23,22,1)
0,2: (5911,3598,5654,65535)  #170E16FF  srgba(23,14,22,1)
1,2: (6425,0,0,65535)  #190000FF  srgba(25,0,0,1)
2,2: (6682,0,3598,65535)  #1A000EFF  srgba(26,0,14,1)
3,2: (6682,6682,6682,65535)  #1A1A1AFF  grey10
4,2: (6682,6682,6939,65535)  #1A1A1BFF  srgba(26,26,27,1)
5,2: (7453,0,1799,65535)  #1D0007FF  srgba(29,0,7,1)
6,2: (7453,7710,8995,65535)  #1D1E23FF  srgba(29,30,35,1)
7,2: (8481,6682,7710,65535)  #211A1EFF  srgba(33,26,30,1)
8,2: (8481,15677,14135,65535)  #213D37FF  srgba(33,61,55,1)
9,2: (8738,11565,10280,65535)  #222D28FF  srgba(34,45,40,1)
10,2: (8995,0,0,65535)  #230000FF  srgba(35,0,0,1)
11,2: (9252,9252,9252,65535)  #242424FF  grey14
12,2: (9766,18504,14392,65535)  #264838FF  srgba(38,72,56,1)
13,2: (11051,0,2056,65535)  #2B0008FF  srgba(43,0,8,1)
14,2: (11051,25186,19018,65535)  #2B624AFF  srgba(43,98,74,1)
15,2: (11565,0,2313,65535)  #2D0009FF  srgba(45,0,9,1)
0,3: (11822,0,4626,65535)  #2E0012FF  srgba(46,0,18,1)
1,3: (11822,2313,7710,65535)  #2E091EFF  srgba(46,9,30,1)
2,3: (12079,514,5911,65535)  #2F0217FF  srgba(47,2,23,1)
3,3: (12336,7196,9509,65535)  #301C25FF  srgba(48,28,37,1)
4,3: (12336,14392,14392,65535)  #303838FF  srgba(48,56,56,1)
5,3: (12593,35209,25700,65535)  #318964FF  srgba(49,137,100,1)
6,3: (12850,11051,11565,65535)  #322B2DFF  srgba(50,43,45,1)
7,3: (13107,0,0,65535)  #330000FF  srgba(51,0,0,1)
8,3: (14392,0,3855,65535)  #38000FFF  srgba(56,0,15,1)
9,3: (14392,13878,14906,65535)  #38363AFF  srgba(56,54,58,1)
10,3: (14649,28784,23387,65535)  #39705BFF  srgba(57,112,91,1)
11,3: (14906,21074,19789,65535)  #3A524DFF  srgba(58,82,77,1)
12,3: (14906,31354,25186,65535)  #3A7A62FF  srgba(58,122,98,1)
13,3: (15163,26214,22873,65535)  #3B6659FF  srgba(59,102,89,1)
14,3: (15420,7453,12079,65535)  #3C1D2FFF  srgba(60,29,47,1)
15,3: (15677,771,7196,65535)  #3D031CFF  srgba(61,3,28,1)
0,4: (15677,19532,17219,65535)  #3D4C43FF  srgba(61,76,67,1)
1,4: (15934,0,3598,65535)  #3E000EFF  srgba(62,0,14,1)
2,4: (16448,2056,9766,65535)  #400826FF  srgba(64,8,38,1)
3,4: (16962,12850,15163,65535)  #42323BFF  srgba(66,50,59,1)
4,4: (17990,17219,18504,65535)  #464348FF  srgba(70,67,72,1)
5,4: (17990,18504,17733,65535)  #464845FF  srgba(70,72,69,1)
6,4: (17990,18504,18504,65535)  #464848FF  srgba(70,72,72,1)
7,4: (18247,0,3598,65535)  #47000EFF  srgba(71,0,14,1)
8,4: (18247,18247,17476,65535)  #474744FF  srgba(71,71,68,1)
9,4: (18504,18504,18504,65535)  #484848FF  srgba(72,72,72,1)
10,4: (18761,18761,18761,65535)  #494949FF  srgba(73,73,73,1)
11,4: (19275,39578,31611,65535)  #4B9A7BFF  srgba(75,154,123,1)
12,4: (19532,2056,10794,65535)  #4C082AFF  srgba(76,8,42,1)
13,4: (20046,15934,17219,65535)  #4E3E43FF  srgba(78,62,67,1)
14,4: (20046,18504,19789,65535)  #4E484DFF  srgba(78,72,77,1)
15,4: (20046,29555,25957,65535)  #4E7365FF  srgba(78,115,101,1)
0,5: (20303,20303,21331,65535)  #4F4F53FF  srgba(79,79,83,1)
1,5: (20560,23130,22616,65535)  #505A58FF  srgba(80,90,88,1)
2,5: (20817,6939,12593,65535)  #511B31FF  srgba(81,27,49,1)
3,5: (21074,33924,30583,65535)  #528477FF  srgba(82,132,119,1)
4,5: (21331,21331,21845,65535)  #535355FF  srgba(83,83,85,1)
5,5: (21331,21845,21845,65535)  #535555FF  srgba(83,85,85,1)
6,5: (22359,9509,16191,65535)  #57253FFF  srgba(87,37,63,1)
7,5: (22359,15420,18761,65535)  #573C49FF  srgba(87,60,73,1)
8,5: (22359,15420,20046,65535)  #573C4EFF  srgba(87,60,78,1)
9,5: (22616,1542,10280,65535)  #580628FF  srgba(88,6,40,1)
10,5: (23901,23387,24158,65535)  #5D5B5EFF  srgba(93,91,94,1)
11,5: (24415,25443,25443,65535)  #5F6363FF  srgba(95,99,99,1)
12,5: (24415,40092,33924,65535)  #5F9C84FF  srgba(95,156,132,1)
13,5: (24672,2827,14906,65535)  #600B3AFF  srgba(96,11,58,1)
14,5: (25700,32639,31097,65535)  #647F79FF  srgba(100,127,121,1)
15,5: (25957,23644,25443,65535)  #655C63FF  srgba(101,92,99,1)
0,6: (26214,26214,26728,65535)  #666668FF  srgba(102,102,104,1)
1,6: (26728,7710,17476,65535)  #681E44FF  srgba(104,30,68,1)
2,6: (26985,12336,18247,65535)  #693047FF  srgba(105,48,71,1)
3,6: (26985,47545,39321,65535)  #69B999FF  srgba(105,185,153,1)
4,6: (28013,13621,20560,65535)  #6D3550FF  srgba(109,53,80,1)
5,6: (28270,18504,24158,65535)  #6E485EFF  srgba(110,72,94,1)
6,6: (29041,31097,31354,65535)  #71797AFF  srgba(113,121,122,1)
7,6: (29298,13364,22873,65535)  #723459FF  srgba(114,52,89,1)
8,6: (29298,42405,38550,65535)  #72A596FF  srgba(114,165,150,1)
9,6: (29555,40606,35466,65535)  #739E8AFF  srgba(115,158,138,1)
10,6: (29812,23901,26985,65535)  #745D69FF  srgba(116,93,105,1)
11,6: (31868,29555,31354,65535)  #7C737AFF  srgba(124,115,122,1)
12,6: (32125,33667,33410,65535)  #7D8382FF  srgba(125,131,130,1)
13,6: (32382,12336,22359,65535)  #7E3057FF  srgba(126,48,87,1)
14,6: (32639,17219,23901,65535)  #7F435DFF  srgba(127,67,93,1)
15,6: (32639,47288,41120,65535)  #7FB8A0FF  srgba(127,184,160,1)
0,7: (32639,49601,44204,65535)  #7FC1ACFF  srgba(127,193,172,1)
1,7: (32896,30069,32382,65535)  #80757EFF  srgba(128,117,126,1)
2,7: (32896,33153,32125,65535)  #80817DFF  srgba(128,129,125,1)
3,7: (32896,33153,33153,65535)  #808181FF  srgba(128,129,129,1)
4,7: (32896,59110,50886,65535)  #80E6C6FF  srgba(128,230,198,1)
5,7: (33153,17219,26214,65535)  #814366FF  srgba(129,67,102,1)
6,7: (33410,33153,33153,65535)  #828181FF  srgba(130,129,129,1)
7,7: (33410,33153,33924,65535)  #828184FF  srgba(130,129,132,1)
8,7: (33924,33667,33924,65535)  #848384FF  srgba(132,131,132,1)
9,7: (33924,36751,35723,65535)  #848F8BFF  srgba(132,143,139,1)
