# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,257,65535)  #000001FF  srgba(0,0,1,1)
2,0: (257,257,514,65535)  #010102FF  srgba(1,1,2,1)
3,0: (514,771,514,65535)  #020302FF  srgba(2,3,2,1)
4,0: (771,514,1799,65535)  #030207FF  srgba(3,2,7,1)
5,0: (771,1028,771,65535)  #030403FF  srgba(3,4,3,1)
6,0: (1285,1285,1028,65535)  #050504FF  srgba(5,5,4,1)
7,0: (1542,771,1542,65535)  #060306FF  srgba(6,3,6,1)
8,0: (1542,1542,1542,65535)  #060606FF  srgba(6,6,6,1)
9,0: (1799,1799,3084,65535)  #07070CFF  srgba(7,7,12,1)
10,0: (1799,2056,2056,65535)  #070808FF  srgba(7,8,8,1)
11,0: (2313,2313,2313,65535)  #090909FF  srgba(9,9,9,1)
12,0: (2313,2313,3855,65535)  #09090FFF  srgba(9,9,15,1)
13,0: (2570,2570,5397,65535)  #0A0A15FF  srgba(10,10,21,1)
14,0: (2827,2827,2570,65535)  #0B0B0AFF  srgba(11,11,10,1)
15,0: (3084,2570,3341,65535)  #0C0A0DFF  srgba(12,10,13,1)
0,1: (3084,3084,3084,65535)  #0C0C0CFF  srgba(12,12,12,1)
1,1: (3084,3084,4369,65535)  #0C0C11FF  srgba(12,12,17,1)
2,1: (3084,3341,3084,65535)  #0C0D0CFF  srgba(12,13,12,1)
3,1: (3341,4112,3855,65535)  #0D100FFF  srgba(13,16,15,1)
4,1: (3855,3084,7196,65535)  #0F0C1CFF  srgba(15,12,28,1)
5,1: (3855,3855,3598,65535)  #0F0F0EFF  srgba(15,15,14,1)
6,1: (4112,4112,4112,65535)  #101010FF  srgba(16,16,16,1)
7,1: (4369,3855,5397,65535)  #110F15FF  srgba(17,15,21,1)
8,1: (4369,4369,4112,65535)  #111110FF  srgba(17,17,16,1)
9,1: (4626,3084,9509,65535)  #120C25FF  srgba(18,12,37,1)
10,1: (4626,4626,4626,65535)  #121212FF  grey7
11,1: (4626,14906,25700,65535)  #123A64FF  srgba(18,58,100,1)
12,1: (4883,4369,4626,65535)  #131112FF  srgba(19,17,18,1)
13,1: (4883,4883,4883,65535)  #131313FF  srgba(19,19,19,1)
14,1: (5140,5397,6425,65535)  #141519FF  srgba(20,21,25,1)
15,1: (5140,14135,22616,65535)  #143758FF  srgba(20,55,88,1)
0,2: (5397,5397,8481,65535)  #151521FF  srgba(21,21,33,1)
1,2: (5397,7710,8995,65535)  #151E23FF  srgba(21,30,35,1)
2,2: (5654,5654,5654,65535)  #161616FF  srgba(22,22,22,1)
3,2: (5654,13621,25186,65535)  #163562FF  srgba(22,53,98,1)
4,2: (5654,15163,30069,65535)  #163B75FF  srgba(22,59,117,1)
5,2: (5911,5911,5911,65535)  #171717FF  grey9
6,2: (5911,12850,19275,65535)  #17324BFF  srgba(23,50,75,1)
7,2: (6168,3084,13107,65535)  #180C33FF  srgba(24,12,51,1)
8,2: (6168,6168,6168,65535)  #181818FF  srgba(24,24,24,1)
9,2: (6168,11308,18247,65535)  #182C47FF  srgba(24,44,71,1)
10,2: (6168,13878,19532,65535)  #18364CFF  srgba(24,54,76,1)
11,2: (6425,5911,8224,65535)  #191720FF  srgba(25,23,32,1)
12,2: (6425,6682,6425,65535)  #191A19FF  srgba(25,26,25,1)
13,2: (6425,15677,31868,65535)  #193D7CFF  srgba(25,61,124,1)
14,2: (6682,6939,6939,65535)  #1A1B1BFF  srgba(26,27,27,1)
15,2: (6682,8738,13878,65535)  #1A2236FF  srgba(26,34,54,1)
0,3: (7196,13621,28527,65535)  #1C356FFF  srgba(28,53,111,1)
1,3: (7196,13621,30326,65535)  #1C3576FF  srgba(28,53,118,1)
2,3: (7453,6939,10023,65535)  #1D1B27FF  srgba(29,27,39,1)
3,3: (7453,14649,25957,65535)  #1D3965FF  srgba(29,57,101,1)
4,3: (7453,16448,26728,65535)  #1D4068FF  srgba(29,64,104,1)
5,3: (7710,7710,7710,65535)  #1E1E1EFF  srgba(30,30,30,1)
6,3: (8224,7967,13878,65535)  #201F36FF  srgba(32,31,54,1)
7,3: (8224,8224,8738,65535)  #202022FF  srgba(32,32,34,1)
8,3: (8224,10794,31097,65535)  #202A79FF  srgba(32,42,121,1)
9,3: (8481,3341,18247,65535)  #210D47FF  srgba(33,13,71,1)
10,3: (8481,17733,32125,65535)  #21457DFF  srgba(33,69,125,1)
11,3: (8738,8224,9509,65535)  #222025FF  srgba(34,32,37,1)
12,3: (8738,14135,22616,65535)  #223758FF  srgba(34,55,88,1)
13,3: (8995,12336,19018,65535)  #23304AFF  srgba(35,48,74,1)
14,3: (8995,13364,25186,65535)  #233462FF  srgba(35,52,98,1)
15,3: (9252,7710,17219,65535)  #241E43FF  srgba(36,30,67,1)
0,4: (9252,8738,10794,65535)  #24222AFF  srgba(36,34,42,1)
1,4: (9252,12336,28784,65535)  #243070FF  srgba(36,48,112,1)
2,4: (9252,13878,19018,65535)  #24364AFF  srgba(36,54,74,1)
3,4: (9509,8738,13878,65535)  #252236FF  srgba(37,34,54,1)
4,4: (9509,9509,9252,65535)  #252524FF  srgba(37,37,36,1)
5,4: (9766,9766,10537,65535)  #262629FF  srgba(38,38,41,1)
6,4: (10023,16448,30069,65535)  #274075FF  srgba(39,64,117,1)
7,4: (10537,15420,26471,65535)  #293C67FF  srgba(41,60,103,1)
8,4: (10794,3341,26728,65535)  #2A0D68FF  srgba(42,13,104,1)
9,4: (11051,7710,20046,65535)  #2B1E4EFF  srgba(43,30,78,1)
10,4: (11051,8995,16962,65535)  #2B2342FF  srgba(43,35,66,1)
11,4: (11051,10280,14392,65535)  #2B2838FF  srgba(43,40,56,1)
12,4: (11051,11051,10794,65535)  #2B2B2AFF  srgba(43,43,42,1)
13,4: (11051,11822,17476,65535)  #2B2E44FF  srgba(43,46,68,1)
14,4: (11051,12336,21588,65535)  #2B3054FF  srgba(43,48,84,1)
15,4: (11051,15420,32125,65535)  #2B3C7DFF  srgba(43,60,125,1)
0,5: (11565,12593,25186,65535)  #2D3162FF  srgba(45,49,98,1)
1,5: (11565,13364,25186,65535)  #2D3462FF  srgba(45,52,98,1)
2,5: (11565,17733,33924,65535)  #2D4584FF  srgba(45,69,132,1)
3,5: (11822,10794,24929,65535)  #2E2A61FF  srgba(46,42,97,1)
4,5: (11822,14649,26471,65535)  #2E3967FF  srgba(46,57,103,1)
