# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (257,257,257,65535)  #010101FF  srgba(1,1,1,1)
1,0: (257,257,1028,65535)  #010104FF  srgba(1,1,4,1)
2,0: (257,1028,514,65535)  #010402FF  srgba(1,4,2,1)
3,0: (771,771,771,65535)  #030303FF  grey1
4,0: (1028,1028,1028,65535)  #040404FF  srgba(4,4,4,1)
5,0: (1285,1285,1285,65535)  #050505FF  grey2
6,0: (1542,1542,2056,65535)  #060608FF  srgba(6,6,8,1)
7,0: (2056,1285,1028,65535)  #080504FF  srgba(8,5,4,1)
8,0: (2056,2056,2313,65535)  #080809FF  srgba(8,8,9,1)
9,0: (2313,1799,4369,65535)  #090711FF  srgba(9,7,17,1)
10,0: (2570,2313,2570,65535)  #0A090AFF  srgba(10,9,10,1)
11,0: (2827,2827,2827,65535)  #0B0B0BFF  srgba(11,11,11,1)
12,0: (3084,2056,7710,65535)  #0C081EFF  srgba(12,8,30,1)
13,0: (3084,3084,3084,65535)  #0C0C0CFF  srgba(12,12,12,1)
14,0: (3341,4112,4112,65535)  #0D1010FF  srgba(13,16,16,1)
15,0: (3598,514,514,65535)  #0E0202FF  srgba(14,2,2,1)
0,1: (3598,3598,3598,65535)  #0E0E0EFF  srgba(14,14,14,1)
1,1: (4112,4112,4112,65535)  #101010FF  srgba(16,16,16,1)
2,1: (4369,3341,3084,65535)  #110D0CFF  srgba(17,13,12,1)
3,1: (4369,4112,4369,65535)  #111011FF  srgba(17,16,17,1)
4,1: (4369,4626,4369,65535)  #111211FF  srgba(17,18,17,1)
5,1: (4883,4883,4883,65535)  #131313FF  srgba(19,19,19,1)
6,1: (5140,5911,5397,65535)  #141715FF  srgba(20,23,21,1)
7,1: (5397,4626,7710,65535)  #15121EFF  srgba(21,18,30,1)
8,1: (5397,5140,5397,65535)  #151415FF  srgba(21,20,21,1)
9,1: (5654,5397,4626,65535)  #161512FF  srgba(22,21,18,1)
10,1: (5911,5911,5911,65535)  #171717FF  grey9
11,1: (5911,5911,6168,65535)  #171718FF  srgba(23,23,24,1)
12,1: (6168,3341,12336,65535)  #180D30FF  srgba(24,13,48,1)
13,1: (6168,5911,5397,65535)  #181715FF  srgba(24,23,21,1)
14,1: (6168,6168,6168,65535)  #181818FF  srgba(24,24,24,1)
15,1: (6425,5140,7967,65535)  #19141FFF  srgba(25,20,31,1)
0,2: (6682,5140,4626,65535)  #1A1412FF  srgba(26,20,18,1)
1,2: (6939,2056,2570,65535)  #1B080AFF  srgba(27,8,10,1)
2,2: (6939,6939,6939,65535)  #1B1B1BFF  srgba(27,27,27,1)
3,2: (7196,5140,8224,65535)  #1C1420FF  srgba(28,20,32,1)
4,2: (7453,514,514,65535)  #1D0202FF  srgba(29,2,2,1)
5,2: (7710,5140,5397,65535)  #1E1415FF  srgba(30,20,21,1)
6,2: (8224,7967,7967,65535)  #201F1FFF  srgba(32,31,31,1)
7,2: (9252,9252,9252,65535)  #242424FF  grey14
8,2: (9509,3855,19275,65535)  #250F4BFF  srgba(37,15,75,1)
9,2: (10280,8995,16448,65535)  #282340FF  srgba(40,35,64,1)
10,2: (10794,10794,11051,65535)  #2A2A2BFF  srgba(42,42,43,1)
11,2: (11308,3855,4369,65535)  #2C0F11FF  srgba(44,15,17,1)
12,2: (11565,11565,11822,65535)  #2D2D2EFF  srgba(45,45,46,1)
13,2: (11822,2056,2570,65535)  #2E080AFF  srgba(46,8,10,1)
14,2: (11822,11822,12336,65535)  #2E2E30FF  srgba(46,46,48,1)
15,2: (12850,12850,12850,65535)  #323232FF  srgba(50,50,50,1)
0,3: (13107,257,514,65535)  #330102FF  srgba(51,1,2,1)
1,3: (13107,13107,12850,65535)  #333332FF  srgba(51,51,50,1)
2,3: (13364,13364,13621,65535)  #343435FF  srgba(52,52,53,1)
3,3: (13878,5140,6168,65535)  #361418FF  srgba(54,20,24,1)
4,3: (14649,10794,9766,65535)  #392A26FF  srgba(57,42,38,1)
5,3: (14649,12079,18504,65535)  #392F48FF  srgba(57,47,72,1)
6,3: (14906,14906,14392,65535)  #3A3A38FF  srgba(58,58,56,1)
7,3: (15163,9252,24415,65535)  #3B245FFF  srgba(59,36,95,1)
8,3: (15420,3855,33410,65535)  #3C0F82FF  srgba(60,15,130,1)
9,3: (15934,15934,15934,65535)  #3E3E3EFF  srgba(62,62,62,1)
10,3: (16705,13621,24415,65535)  #41355FFF  srgba(65,53,95,1)
11,3: (16962,16705,16962,65535)  #424142FF  srgba(66,65,66,1)
12,3: (17219,5140,7453,65535)  #43141DFF  srgba(67,20,29,1)
13,3: (17476,17476,17733,65535)  #444445FF  srgba(68,68,69,1)
14,3: (18247,2313,2570,65535)  #47090AFF  srgba(71,9,10,1)
15,3: (18761,18761,18761,65535)  #494949FF  srgba(73,73,73,1)
0,4: (19789,18504,17990,65535)  #4D4846FF  srgba(77,72,70,1)
1,4: (20046,4626,5397,65535)  #4E1215FF  srgba(78,18,21,1)
2,4: (20046,20046,19789,65535)  #4E4E4DFF  srgba(78,78,77,1)
3,4: (20303,14135,31097,65535)  #4F3779FF  srgba(79,55,121,1)
4,4: (20303,20303,20303,65535)  #4F4F4FFF  grey31
5,4: (21074,20560,22102,65535)  #525056FF  srgba(82,80,86,1)
6,4: (22102,22102,22102,65535)  #565656FF  srgba(86,86,86,1)
7,4: (22102,63736,56026,65535)  #56F8DAFF  srgba(86,248,218,1)
8,4: (22873,1285,514,65535)  #590502FF  srgba(89,5,2,1)
9,4: (22873,12593,38036,65535)  #593194FF  srgba(89,49,148,1)
10,4: (23387,19275,36751,65535)  #5B4B8FFF  srgba(91,75,143,1)
11,4: (23387,22873,23130,65535)  #5B595AFF  srgba(91,89,90,1)
12,4: (24158,4112,4369,65535)  #5E1011FF  srgba(94,16,17,1)
13,4: (24158,20817,18761,65535)  #5E5149FF  srgba(94,81,73,1)
14,4: (24415,15163,12850,65535)  #5F3B32FF  srgba(95,59,50,1)
15,4: (24672,64250,50886,65535)  #60FAC6FF  srgba(96,250,198,1)
0,5: (25186,25186,24929,65535)  #626261FF  srgba(98,98,97,1)
1,5: (26214,20046,38807,65535)  #664E97FF  srgba(102,78,151,1)
2,5: (26471,56283,62451,65535)  #67DBF3FF  srgba(103,219,243,1)
3,5: (26471,64507,47545,65535)  #67FBB9FF  srgba(103,251,185,1)
4,5: (26728,63222,55769,65535)  #68F6D9FF  srgba(104,246,217,1)
5,5: (26985,7967,6682,65535)  #691F1AFF  srgba(105,31,26,1)
6,5: (27242,27242,26985,65535)  #6A6A69FF  srgba(106,106,105,1)
7,5: (27499,12850,50629,65535)  #6B32C5FF  srgba(107,50,197,1)
8,5: (27756,27242,30069,65535)  #6C6A75FF  srgba(108,106,117,1)
9,5: (28013,57311,52942,65535)  #6DDFCEFF  srgba(109,223,206,1)
10,5: (28270,28270,28013,65535)  #6E6E6DFF  srgba(110,110,109,1)
11,5: (28784,3598,2570,65535)  #700E0AFF  srgba(112,14,10,1)
12,5: (29041,46003,65021,65535)  #71B3FDFF  srgba(113,179,253,1)
13,5: (29298,4626,60909,65535)  #7212EDFF  srgba(114,18,237,1)
14,5: (29298,20303,41377,65535)  #724FA1FF  srgba(114,79,161,1)
15,5: (29555,21845,60909,65535)  #7355EDFF  srgba(115,85,237,1)
0,6: (29555,29555,29555,65535)  #737373FF  grey45
1,6: (29555,47545,61166,65535)  #73B9EEFF  srgba(115,185,238,1)
2,6: (30069,48830,52171,65535)  #75BECBFF  srgba(117,190,203,1)
3,6: (30583,30326,30326,65535)  #777676FF  srgba(119,118,118,1)
4,6: (30840,11308,64250,65535)  #782CFAFF  srgba(120,44,250,1)
5,6: (30840,22616,48059,65535)  #7858BBFF  srgba(120,88,187,1)
6,6: (30840,28784,25957,65535)  #787065FF  srgba(120,112,101,1)
7,6: (31097,4112,65278,65535)  #7910FEFF  srgba(121,16,254,1)
8,6: (31868,28527,39321,65535)  #7C6F99FF  srgba(124,111,153,1)
9,6: (32125,34438,41120,65535)  #7D86A0FF  srgba(125,134,160,1)
10,6: (32125,62451,55255,65535)  #7DF3D7FF  srgba(125,243,215,1)
11,6: (32125,63479,50629,65535)  #7DF7C5FF  srgba(125,247,197,1)
12,6: (32382,16191,52685,65535)  #7E3FCDFF  srgba(126,63,205,1)
13,6: (32382,32382,32125,65535)  #7E7E7DFF  srgba(126,126,125,1)
14,6: (32896,49858,45746,65535)  #80C2B2FF  srgba(128,194,178,1)
15,6: (33153,60138,47545,65535)  #81EAB9FF  srgba(129,234,185,1)
0,7: (33410,35980,63222,65535)  #828CF6FF  srgba(130,140,246,1)
1,7: (33667,56540,60395,65535)  #83DCEBFF  srgba(131,220,235,1)
2,7: (33667,56797,51657,65535)  #83DDC9FF  srgba(131,221,201,1)
3,7: (34181,24672,50115,65535)  #8560C3FF  srgba(133,96,195,1)
4,7: (34181,34181,34181,65535)  #858585FF  grey52
5,7: (34438,24415,60138,65535)  #865FEAFF  srgba(134,95,234,1)
6,7: (34438,45489,63736,65535)  #86B1F8FF  srgba(134,177,248,1)
7,7: (34438,46260,53713,65535)  #86B4D1FF  srgba(134,180,209,1)
8,7: (34952,34952,39321,65535)  #888899FF  srgba(136,136,153,1)
9,7: (35209,35209,35209,65535)  #898989FF  srgba(137,137,137,1)
10,7: (35723,35466,35466,65535)  #8B8A8AFF  srgba(139,138,138,1)
11,7: (35980,35723,35723,65535)  #8C8B8BFF  srgba(140,139,139,1)
12,7: (35980,63993,47288,65535)  #8CF9B8FF  srgba(140,249,184,1)
13,7: (36751,36494,35980,65535)  #8F8E8CFF  srgba(143,142,140,1)
14,7: (37265,22616,56797,65535)  #9158DDFF  srgba(145,88,221,1)
15,7: (37265,37008,36751,65535)  #91908FFF  srgba(145,144,143,1)
0,8: (37522,28784,50115,65535)  #9270C3FF  srgba(146,112,195,1)
1,8: (38036,29298,25700,65535)  #947264FF  srgba(148,114,100,1)
2,8: (38036,34438,63736,65535)  #9486F8FF  srgba(148,134,248,1)
3,8: (38036,46517,43947,65535)  #94B5ABFF  srgba(148,181,171,1)
4,8: (38293,34695,54998,65535)  #9587D6FF  srgba(149,135,214,1)
5,8: (38293,36237,41634,65535)  #958DA2FF  srgba(149,141,162,1)
6,8: (38293,48316,61937,65535)  #95BCF1FF  srgba(149,188,241,1)
7,8: (38550,8481,5140,65535)  #962114FF  srgba(150,33,20,1)
8,8: (38550,33924,33153,65535)  #968481FF  srgba(150,132,129,1)
9,8: (38550,38550,38036,65535)  #969694FF  srgba(150,150,148,1)
10,8: (38550,41634,61680,65535)  #96A2F0FF  srgba(150,162,240,1)
11,8: (38550,63222,50629,65535)  #96F6C5FF  srgba(150,246,197,1)
12,8: (38807,20817,62708,65535)  #9751F4FF  srgba(151,81,244,1)
