# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (257,514,257,65535)  #010201FF  srgba(1,2,1,1)
2,0: (257,514,771,65535)  #010203FF  srgba(1,2,3,1)
3,0: (514,1028,257,65535)  #020401FF  srgba(2,4,1,1)
4,0: (771,771,771,65535)  #030303FF  grey1
5,0: (1028,1028,1028,65535)  #040404FF  srgba(4,4,4,1)
6,0: (1542,1542,1285,65535)  #060605FF  srgba(6,6,5,1)
7,0: (2056,2056,2056,65535)  #080808FF  grey3
8,0: (2056,2056,5911,65535)  #080817FF  srgba(8,8,23,1)
9,0: (2313,2570,2313,65535)  #090A09FF  srgba(9,10,9,1)
10,0: (2827,2827,2827,65535)  #0B0B0BFF  srgba(11,11,11,1)
11,0: (3084,3084,3341,65535)  #0C0C0DFF  srgba(12,12,13,1)
12,0: (3341,3341,2570,65535)  #0D0D0AFF  srgba(13,13,10,1)
13,0: (3598,3084,11308,65535)  #0E0C2CFF  srgba(14,12,44,1)
14,0: (3598,3855,27242,65535)  #0E0F6AFF  srgba(14,15,106,1)
15,0: (3855,3855,3598,65535)  #0F0F0EFF  srgba(15,15,14,1)
0,1: (4112,4112,4112,65535)  #101010FF  srgba(16,16,16,1)
1,1: (4112,5140,22102,65535)  #101456FF  srgba(16,20,86,1)
2,1: (4112,5397,25186,65535)  #101562FF  srgba(16,21,98,1)
3,1: (4369,4369,4369,65535)  #111111FF  srgba(17,17,17,1)
4,1: (4626,3855,20817,65535)  #120F51FF  srgba(18,15,81,1)
5,1: (4626,5911,29298,65535)  #121772FF  srgba(18,23,114,1)
6,1: (4883,4883,4883,65535)  #131313FF  srgba(19,19,19,1)
7,1: (5397,5397,5654,65535)  #151516FF  srgba(21,21,22,1)
8,1: (5911,5911,5911,65535)  #171717FF  grey9
9,1: (6168,11565,29555,65535)  #182D73FF  srgba(24,45,115,1)
10,1: (6425,6425,6425,65535)  #191919FF  srgba(25,25,25,1)
11,1: (6425,11051,25443,65535)  #192B63FF  srgba(25,43,99,1)
12,1: (6939,4112,5654,65535)  #1B1016FF  srgba(27,16,22,1)
13,1: (6939,21588,21588,65535)  #1B5454FF  srgba(27,84,84,1)
14,1: (7196,7453,10023,65535)  #1C1D27FF  srgba(28,29,39,1)
15,1: (7453,7453,7196,65535)  #1D1D1CFF  srgba(29,29,28,1)
0,2: (7453,22359,20303,65535)  #1D574FFF  srgba(29,87,79,1)
1,2: (7710,8481,15163,65535)  #1E213BFF  srgba(30,33,59,1)
2,2: (7710,21588,22873,65535)  #1E5459FF  srgba(30,84,89,1)
3,2: (7967,7967,7967,65535)  #1F1F1FFF  grey12
4,2: (7967,8738,17219,65535)  #1F2243FF  srgba(31,34,67,1)
5,2: (8224,8481,8224,65535)  #202120FF  srgba(32,33,32,1)
6,2: (8224,20817,24415,65535)  #20515FFF  srgba(32,81,95,1)
7,2: (8224,23387,18504,65535)  #205B48FF  srgba(32,91,72,1)
8,2: (8738,8738,8738,65535)  #222222FF  srgba(34,34,34,1)
9,2: (8738,9252,21074,65535)  #222452FF  srgba(34,36,82,1)
10,2: (8995,9252,8995,65535)  #232423FF  srgba(35,36,35,1)
11,2: (8995,16705,22616,65535)  #234158FF  srgba(35,65,88,1)
12,2: (9509,6939,6682,65535)  #251B1AFF  srgba(37,27,26,1)
13,2: (9509,9509,9509,65535)  #252525FF  srgba(37,37,37,1)
14,2: (10023,9252,7710,65535)  #27241EFF  srgba(39,36,30,1)
15,2: (10023,10023,10023,65535)  #272727FF  srgba(39,39,39,1)
0,3: (10537,10794,10537,65535)  #292A29FF  srgba(41,42,41,1)
1,3: (11308,11308,11051,65535)  #2C2C2BFF  srgba(44,44,43,1)
2,3: (12079,11822,11565,65535)  #2F2E2DFF  srgba(47,46,45,1)
3,3: (12336,13364,29041,65535)  #303471FF  srgba(48,52,113,1)
4,3: (12336,13621,26985,65535)  #303569FF  srgba(48,53,105,1)
5,3: (12336,14392,24929,65535)  #303861FF  srgba(48,56,97,1)
6,3: (12593,13364,14649,65535)  #313439FF  srgba(49,52,57,1)
7,3: (12593,22359,21588,65535)  #315754FF  srgba(49,87,84,1)
8,3: (13107,13107,12850,65535)  #333332FF  srgba(51,51,50,1)
9,3: (13107,13878,21588,65535)  #333654FF  srgba(51,54,84,1)
10,3: (13364,10794,10280,65535)  #342A28FF  srgba(52,42,40,1)
11,3: (13621,13878,34952,65535)  #353688FF  srgba(53,54,136,1)
12,3: (13621,20817,26985,65535)  #355169FF  srgba(53,81,105,1)
13,3: (13878,22102,20303,65535)  #36564FFF  srgba(54,86,79,1)
14,3: (13878,22616,18504,65535)  #365848FF  srgba(54,88,72,1)
15,3: (14135,14135,14135,65535)  #373737FF  srgba(55,55,55,1)
0,4: (14392,13364,12850,65535)  #383432FF  srgba(56,52,50,1)
1,4: (14392,14649,14392,65535)  #383938FF  srgba(56,57,56,1)
2,4: (14392,15420,17219,65535)  #383C43FF  srgba(56,60,67,1)
3,4: (14392,17219,21588,65535)  #384354FF  srgba(56,67,84,1)
4,4: (14649,14906,14649,65535)  #393A39FF  srgba(57,58,57,1)
5,4: (15163,14392,12850,65535)  #3B3832FF  srgba(59,56,50,1)
6,4: (15163,15163,15163,65535)  #3B3B3BFF  grey23
7,4: (15420,20817,29812,65535)  #3C5174FF  srgba(60,81,116,1)
8,4: (15934,20560,22873,65535)  #3E5059FF  srgba(62,80,89,1)
9,4: (16191,15677,15420,65535)  #3F3D3CFF  srgba(63,61,60,1)
10,4: (16448,6168,7196,65535)  #40181CFF  srgba(64,24,28,1)
11,4: (16448,15934,12850,65535)  #403E32FF  srgba(64,62,50,1)
12,4: (16448,16448,16448,65535)  #404040FF  grey25
13,4: (16448,16705,16705,65535)  #404141FF  srgba(64,65,65,1)
14,4: (16705,23387,24672,65535)  #415B60FF  srgba(65,91,96,1)
15,4: (16705,25443,22873,65535)  #416359FF  srgba(65,99,89,1)
0,5: (16962,16962,16962,65535)  #424242FF  grey26
1,5: (16962,29041,27499,65535)  #42716BFF  srgba(66,113,107,1)
2,5: (17990,17733,17476,65535)  #464544FF  srgba(70,69,68,1)
3,5: (17990,19532,17733,65535)  #464C45FF  srgba(70,76,69,1)
4,5: (18247,17219,15420,65535)  #47433CFF  srgba(71,67,60,1)
5,5: (18504,20817,39835,65535)  #48519BFF  srgba(72,81,155,1)
6,5: (18761,23387,21588,65535)  #495B54FF  srgba(73,91,84,1)
7,5: (19018,19275,18504,65535)  #4A4B48FF  srgba(74,75,72,1)
8,5: (19018,31868,34952,65535)  #4A7C88FF  srgba(74,124,136,1)
9,5: (19275,8995,10023,65535)  #4B2327FF  srgba(75,35,39,1)
10,5: (19532,20560,20046,65535)  #4C504EFF  srgba(76,80,78,1)
11,5: (20046,20817,21331,65535)  #4E5153FF  srgba(78,81,83,1)
12,5: (20560,19532,16962,65535)  #504C42FF  srgba(80,76,66,1)
13,5: (20817,20817,20560,65535)  #515150FF  srgba(81,81,80,1)
14,5: (21074,22102,16962,65535)  #525642FF  srgba(82,86,66,1)
15,5: (22102,20303,16962,65535)  #564F42FF  srgba(86,79,66,1)
0,6: (22359,19275,16191,65535)  #574B3FFF  srgba(87,75,63,1)
1,6: (22359,21074,19532,65535)  #57524CFF  srgba(87,82,76,1)
2,6: (22359,21331,17219,65535)  #575343FF  srgba(87,83,67,1)
3,6: (22359,22359,22359,65535)  #575757FF  grey34
4,6: (22359,23130,16962,65535)  #575A42FF  srgba(87,90,66,1)
5,6: (22616,21845,20046,65535)  #58554EFF  srgba(88,85,78,1)
6,6: (22873,9766,10794,65535)  #59262AFF  srgba(89,38,42,1)
7,6: (22873,22102,18761,65535)  #595649FF  srgba(89,86,73,1)
8,6: (22873,22873,20817,65535)  #595951FF  srgba(89,89,81,1)
9,6: (22873,23901,18247,65535)  #595D47FF  srgba(89,93,71,1)
10,6: (23130,23130,23130,65535)  #5A5A5AFF  srgba(90,90,90,1)
11,6: (23387,24929,19532,65535)  #5B614CFF  srgba(91,97,76,1)
12,6: (24158,21845,19532,65535)  #5E554CFF  srgba(94,85,76,1)
13,6: (24158,24672,19275,65535)  #5E604BFF  srgba(94,96,75,1)
14,6: (24158,24672,22359,65535)  #5E6057FF  srgba(94,96,87,1)
15,6: (24929,24929,24929,65535)  #616161FF  grey38
0,7: (25186,8481,9766,65535)  #622126FF  srgba(98,33,38,1)
1,7: (25186,15677,13621,65535)  #623D35FF  srgba(98,61,53,1)
