# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,257,65535)  #000001FF  srgba(0,0,1,1)
2,0: (1285,257,1028,65535)  #050104FF  srgba(5,1,4,1)
3,0: (2313,2313,2313,65535)  #090909FF  srgba(9,9,9,1)
4,0: (3341,0,4369,65535)  #0D0011FF  srgba(13,0,17,1)
5,0: (4112,3598,4112,65535)  #100E10FF  srgba(16,14,16,1)
6,0: (5911,5911,5911,65535)  #171717FF  grey9
7,0: (6682,3341,6425,65535)  #1A0D19FF  srgba(26,13,25,1)
8,0: (7453,0,6682,65535)  #1D001AFF  srgba(29,0,26,1)
9,0: (7710,7453,7453,65535)  #1E1D1DFF  srgba(30,29,29,1)
10,0: (9766,7196,10023,65535)  #261C27FF  srgba(38,28,39,1)
11,0: (10794,257,10794,65535)  #2A012AFF  srgba(42,1,42,1)
12,0: (10794,10794,10794,65535)  #2A2A2AFF  srgba(42,42,42,1)
13,0: (10794,20817,10023,65535)  #2A5127FF  srgba(42,81,39,1)
14,0: (11565,11308,11565,65535)  #2D2C2DFF  srgba(45,44,45,1)
15,0: (11822,11565,11565,65535)  #2E2D2DFF  srgba(46,45,45,1)
0,1: (12593,6682,12079,65535)  #311A2FFF  srgba(49,26,47,1)
1,1: (12850,13107,12850,65535)  #323332FF  srgba(50,51,50,1)
2,1: (13364,16191,13107,65535)  #343F33FF  srgba(52,63,51,1)
3,1: (13621,33410,11308,65535)  #35822CFF  srgba(53,130,44,1)
4,1: (13878,21331,11822,65535)  #36532EFF  srgba(54,83,46,1)
5,1: (14135,14135,14135,65535)  #373737FF  srgba(55,55,55,1)
6,1: (14392,5654,16705,65535)  #381641FF  srgba(56,22,65,1)
7,1: (14392,10280,13621,65535)  #382835FF  srgba(56,40,53,1)
8,1: (14392,14392,14392,65535)  #383838FF  grey22
9,1: (14392,14649,14135,65535)  #383937FF  srgba(56,57,55,1)
10,1: (14392,38807,11822,65535)  #38972EFF  srgba(56,151,46,1)
11,1: (14649,13364,15163,65535)  #39343BFF  srgba(57,52,59,1)
12,1: (14649,14135,14392,65535)  #393738FF  srgba(57,55,56,1)
13,1: (14649,14906,14649,65535)  #393A39FF  srgba(57,58,57,1)
14,1: (14649,15163,14392,65535)  #393B38FF  srgba(57,59,56,1)
15,1: (14649,34438,13878,65535)  #398636FF  srgba(57,134,54,1)
0,2: (14906,13621,16962,65535)  #3A3542FF  srgba(58,53,66,1)
