# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,6682,65535)  #00001AFF  srgba(0,0,26,1)
2,0: (0,0,6939,65535)  #00001BFF  srgba(0,0,27,1)
3,0: (0,0,14649,65535)  #000039FF  srgba(0,0,57,1)
4,0: (0,0,22359,65535)  #000057FF  srgba(0,0,87,1)
5,0: (0,0,28527,65535)  #00006FFF  srgba(0,0,111,1)
6,0: (0,0,32896,65535)  #000080FF  navy
7,0: (0,0,46003,65535)  #0000B3FF  srgba(0,0,179,1)
8,0: (257,0,257,65535)  #010001FF  srgba(1,0,1,1)
9,0: (771,0,7453,65535)  #03001DFF  srgba(3,0,29,1)
10,0: (771,0,36237,65535)  #03008DFF  srgba(3,0,141,1)
11,0: (1028,0,10537,65535)  #040029FF  srgba(4,0,41,1)
12,0: (1285,0,257,65535)  #050001FF  srgba(5,0,1,1)
13,0: (1285,0,514,65535)  #050002FF  srgba(5,0,2,1)
14,0: (1542,0,0,65535)  #060000FF  srgba(6,0,0,1)
15,0: (1542,0,35723,65535)  #06008BFF  srgba(6,0,139,1)
0,1: (1799,0,24929,65535)  #070061FF  srgba(7,0,97,1)
1,1: (2056,0,0,65535)  #080000FF  srgba(8,0,0,1)
2,1: (2056,0,21845,65535)  #080055FF  srgba(8,0,85,1)
3,1: (2313,0,2056,65535)  #090008FF  srgba(9,0,8,1)
4,1: (2313,257,1028,65535)  #090104FF  srgba(9,1,4,1)
5,1: (2570,0,28527,65535)  #0A006FFF  srgba(10,0,111,1)
6,1: (3084,0,33410,65535)  #0C0082FF  srgba(12,0,130,1)
7,1: (3598,0,0,65535)  #0E0000FF  srgba(14,0,0,1)
8,1: (3855,3855,4112,65535)  #0F0F10FF  srgba(15,15,16,1)
9,1: (4112,0,257,65535)  #100001FF  srgba(16,0,1,1)
10,1: (4626,4626,4626,65535)  #121212FF  grey7
11,1: (4883,0,0,65535)  #130000FF  srgba(19,0,0,1)
12,1: (5911,0,0,65535)  #170000FF  srgba(23,0,0,1)
13,1: (5911,0,1542,65535)  #170006FF  srgba(23,0,6,1)
14,1: (5911,3855,4626,65535)  #170F12FF  srgba(23,15,18,1)
15,1: (6425,5140,5397,65535)  #191415FF  srgba(25,20,21,1)
0,2: (7967,0,257,65535)  #1F0001FF  srgba(31,0,1,1)
1,2: (7967,0,16705,65535)  #1F0041FF  srgba(31,0,65,1)
2,2: (8481,257,771,65535)  #210103FF  srgba(33,1,3,1)
3,2: (9509,0,257,65535)  #250001FF  srgba(37,0,1,1)
4,2: (10537,0,0,65535)  #290000FF  srgba(41,0,0,1)
5,2: (11051,0,29298,65535)  #2B0072FF  srgba(43,0,114,1)
6,2: (11565,0,37265,65535)  #2D0091FF  srgba(45,0,145,1)
7,2: (11822,0,0,65535)  #2E0000FF  srgba(46,0,0,1)
8,2: (13364,9252,10023,65535)  #342427FF  srgba(52,36,39,1)
9,2: (13878,0,514,65535)  #360002FF  srgba(54,0,2,1)
10,2: (13878,771,771,65535)  #360303FF  srgba(54,3,3,1)
11,2: (14392,0,257,65535)  #380001FF  srgba(56,0,1,1)
12,2: (14392,11565,7453,65535)  #382D1DFF  srgba(56,45,29,1)
13,2: (15163,771,1028,65535)  #3B0304FF  srgba(59,3,4,1)
14,2: (15420,0,0,65535)  #3C0000FF  srgba(60,0,0,1)
15,2: (15934,0,0,65535)  #3E0000FF  srgba(62,0,0,1)
0,3: (15934,0,28270,65535)  #3E006EFF  srgba(62,0,110,1)
1,3: (15934,9252,12593,65535)  #3E2431FF  srgba(62,36,49,1)
2,3: (16191,257,771,65535)  #3F0103FF  srgba(63,1,3,1)
3,3: (16448,0,13621,65535)  #400035FF  srgba(64,0,53,1)
4,3: (16705,771,514,65535)  #410302FF  srgba(65,3,2,1)
5,3: (16705,11565,13364,65535)  #412D34FF  srgba(65,45,52,1)
6,3: (17219,14906,0,65535)  #433A00FF  srgba(67,58,0,1)
7,3: (17733,8481,7196,65535)  #45211CFF  srgba(69,33,28,1)
8,3: (17990,1542,29555,65535)  #460673FF  srgba(70,6,115,1)
9,3: (18247,0,10794,65535)  #47002AFF  srgba(71,0,42,1)
10,3: (18247,771,771,65535)  #470303FF  srgba(71,3,3,1)
11,3: (18504,10794,12593,65535)  #482A31FF  srgba(72,42,49,1)
12,3: (18761,0,28527,65535)  #49006FFF  srgba(73,0,111,1)
13,3: (19275,0,0,65535)  #4B0000FF  srgba(75,0,0,1)
14,3: (19789,0,0,65535)  #4D0000FF  srgba(77,0,0,1)
15,3: (20046,5140,5654,65535)  #4E1416FF  srgba(78,20,22,1)
0,4: (20560,0,22359,65535)  #500057FF  srgba(80,0,87,1)
1,4: (20817,0,22102,65535)  #510056FF  srgba(81,0,86,1)
2,4: (21331,7710,7453,65535)  #531E1DFF  srgba(83,30,29,1)
3,4: (21845,257,257,65535)  #550101FF  srgba(85,1,1,1)
4,4: (22102,257,1028,65535)  #560104FF  srgba(86,1,4,1)
5,4: (22359,771,514,65535)  #570302FF  srgba(87,3,2,1)
6,4: (22359,771,1285,65535)  #570305FF  srgba(87,3,5,1)
7,4: (22873,0,257,65535)  #590001FF  srgba(89,0,1,1)
8,4: (23130,0,0,65535)  #5A0000FF  srgba(90,0,0,1)
9,4: (23130,7196,12593,65535)  #5A1C31FF  srgba(90,28,49,1)
10,4: (23387,0,0,65535)  #5B0000FF  srgba(91,0,0,1)
11,4: (23644,7453,10537,65535)  #5C1D29FF  srgba(92,29,41,1)
12,4: (24672,771,514,65535)  #600302FF  srgba(96,3,2,1)
13,4: (25186,2313,3598,65535)  #62090EFF  srgba(98,9,14,1)
14,4: (25443,257,514,65535)  #630102FF  srgba(99,1,2,1)
15,4: (25443,7710,13621,65535)  #631E35FF  srgba(99,30,53,1)
0,5: (25957,0,771,65535)  #650003FF  srgba(101,0,3,1)
1,5: (25957,2570,257,65535)  #650A01FF  srgba(101,10,1,1)
2,5: (26214,0,0,65535)  #660000FF  srgba(102,0,0,1)
3,5: (26214,8224,14392,65535)  #662038FF  srgba(102,32,56,1)
4,5: (26985,257,771,65535)  #690103FF  srgba(105,1,3,1)
5,5: (27756,29041,0,65535)  #6C7100FF  srgba(108,113,0,1)
6,5: (28270,771,1028,65535)  #6E0304FF  srgba(110,3,4,1)
7,5: (29041,7967,7453,65535)  #711F1DFF  srgba(113,31,29,1)
8,5: (29298,771,771,65535)  #720303FF  srgba(114,3,3,1)
9,5: (29812,5654,10280,65535)  #741628FF  srgba(116,22,40,1)
10,5: (29812,30069,4369,65535)  #747511FF  srgba(116,117,17,1)
11,5: (30069,0,257,65535)  #750001FF  srgba(117,0,1,1)
12,5: (30326,3341,13364,65535)  #760D34FF  srgba(118,13,52,1)
13,5: (30840,3598,11308,65535)  #780E2CFF  srgba(120,14,44,1)
14,5: (31097,3341,12336,65535)  #790D30FF  srgba(121,13,48,1)
15,5: (31097,5397,5140,65535)  #791514FF  srgba(121,21,20,1)
0,6: (31354,0,0,65535)  #7A0000FF  srgba(122,0,0,1)
1,6: (31611,0,0,65535)  #7B0000FF  srgba(123,0,0,1)
2,6: (32125,0,12336,65535)  #7D0030FF  srgba(125,0,48,1)
3,6: (32125,5140,5654,65535)  #7D1416FF  srgba(125,20,22,1)
4,6: (32382,6682,12593,65535)  #7E1A31FF  srgba(126,26,49,1)
5,6: (32639,2827,8224,65535)  #7F0B20FF  srgba(127,11,32,1)
6,6: (34181,257,257,65535)  #850101FF  srgba(133,1,1,1)
7,6: (34952,257,771,65535)  #880103FF  srgba(136,1,3,1)
8,6: (34952,15677,4369,65535)  #883D11FF  srgba(136,61,17,1)
9,6: (35723,3598,4112,65535)  #8B0E10FF  srgba(139,14,16,1)
10,6: (35980,3084,8224,65535)  #8C0C20FF  srgba(140,12,32,1)
11,6: (36237,0,0,65535)  #8D0000FF  srgba(141,0,0,1)
12,6: (36751,0,11822,65535)  #8F002EFF  srgba(143,0,46,1)
13,6: (37265,11822,12593,65535)  #912E31FF  srgba(145,46,49,1)
14,6: (37522,1542,1285,65535)  #920605FF  srgba(146,6,5,1)
15,6: (37522,2570,10537,65535)  #920A29FF  srgba(146,10,41,1)
0,7: (38036,0,0,65535)  #940000FF  srgba(148,0,0,1)
1,7: (38550,771,514,65535)  #960302FF  srgba(150,3,2,1)
2,7: (39064,0,0,65535)  #980000FF  srgba(152,0,0,1)
3,7: (39321,771,771,65535)  #990303FF  srgba(153,3,3,1)
4,7: (39578,0,0,65535)  #9A0000FF  srgba(154,0,0,1)
5,7: (39578,2570,11822,65535)  #9A0A2EFF  srgba(154,10,46,1)
6,7: (40349,0,29298,65535)  #9D0072FF  srgba(157,0,114,1)
7,7: (41377,257,514,65535)  #A10102FF  srgba(161,1,2,1)
8,7: (41891,0,257,65535)  #A30001FF  srgba(163,0,1,1)
9,7: (41891,514,771,65535)  #A30203FF  srgba(163,2,3,1)
10,7: (41891,22616,12850,65535)  #A35832FF  srgba(163,88,50,1)
11,7: (42662,0,0,65535)  #A60000FF  srgba(166,0,0,1)
12,7: (42919,0,21845,65535)  #A70055FF  srgba(167,0,85,1)
13,7: (42919,4883,4369,65535)  #A71311FF  srgba(167,19,17,1)
14,7: (43176,20046,42919,65535)  #A84EA7FF  srgba(168,78,167,1)
15,7: (43690,28527,0,65535)  #AA6F00FF  srgba(170,111,0,1)
0,8: (43947,0,257,65535)  #AB0001FF  srgba(171,0,1,1)
1,8: (43947,0,1285,65535)  #AB0005FF  srgba(171,0,5,1)
2,8: (44461,0,2056,65535)  #AD0008FF  srgba(173,0,8,1)
3,8: (44718,771,771,65535)  #AE0303FF  srgba(174,3,3,1)
4,8: (44718,44461,0,65535)  #AEAD00FF  srgba(174,173,0,1)
5,8: (45232,0,0,65535)  #B00000FF  srgba(176,0,0,1)
6,8: (45232,0,16705,65535)  #B00041FF  srgba(176,0,65,1)
7,8: (45232,2570,0,65535)  #B00A00FF  srgba(176,10,0,1)
8,8: (46003,7710,17733,65535)  #B31E45FF  srgba(179,30,69,1)
9,8: (46517,0,10537,65535)  #B50029FF  srgba(181,0,41,1)
10,8: (46517,1285,1285,65535)  #B50505FF  srgba(181,5,5,1)
11,8: (46517,6939,10537,65535)  #B51B29FF  srgba(181,27,41,1)
12,8: (46774,7196,35209,65535)  #B61C89FF  srgba(182,28,137,1)
13,8: (47031,2570,7967,65535)  #B70A1FFF  srgba(183,10,31,1)
14,8: (47545,771,257,65535)  #B90301FF  srgba(185,3,1,1)
15,8: (47545,2313,3598,65535)  #B9090EFF  srgba(185,9,14,1)
0,9: (47802,2056,23901,65535)  #BA085DFF  srgba(186,8,93,1)
1,9: (48059,0,5654,65535)  #BB0016FF  srgba(187,0,22,1)
2,9: (48830,0,17476,65535)  #BE0044FF  srgba(190,0,68,1)
3,9: (48830,257,257,65535)  #BE0101FF  srgba(190,1,1,1)
4,9: (49344,257,514,65535)  #C00102FF  srgba(192,1,2,1)
5,9: (49858,0,771,65535)  #C20003FF  srgba(194,0,3,1)
6,9: (50115,0,0,65535)  #C30000FF  srgba(195,0,0,1)
7,9: (50115,18247,19275,65535)  #C3474BFF  srgba(195,71,75,1)
8,9: (50372,0,1285,65535)  #C40005FF  srgba(196,0,5,1)
9,9: (50372,0,4112,65535)  #C40010FF  srgba(196,0,16,1)
10,9: (50372,0,10023,65535)  #C40027FF  srgba(196,0,39,1)
11,9: (50629,0,6168,65535)  #C50018FF  srgba(197,0,24,1)
12,9: (50629,49344,3084,65535)  #C5C00CFF  srgba(197,192,12,1)
13,9: (51143,0,0,65535)  #C70000FF  srgba(199,0,0,1)
14,9: (51143,0,0,65535)  #C70000FF  srgba(199,0,0,1)
15,9: (51143,0,27242,65535)  #C7006AFF  srgba(199,0,106,1)
0,10: (51657,0,257,65535)  #C90001FF  srgba(201,0,1,1)
1,10: (52428,22102,25700,65535)  #CC5664FF  srgba(204,86,100,1)
2,10: (52685,0,1285,65535)  #CD0005FF  srgba(205,0,5,1)
3,10: (52942,0,1542,65535)  #CE0006FF  srgba(206,0,6,1)
4,10: (52942,11051,5140,65535)  #CE2B14FF  srgba(206,43,20,1)
5,10: (53199,31868,12850,65535)  #CF7C32FF  srgba(207,124,50,1)
6,10: (53456,55255,0,65535)  #D0D700FF  srgba(208,215,0,1)
7,10: (53713,42405,0,65535)  #D1A500FF  srgba(209,165,0,1)
8,10: (53970,0,0,65535)  #D20000FF  srgba(210,0,0,1)
9,10: (53970,3855,0,65535)  #D20F00FF  srgba(210,15,0,1)
10,10: (54227,23130,0,65535)  #D35A00FF  srgba(211,90,0,1)
11,10: (54998,0,0,65535)  #D60000FF  srgba(214,0,0,1)
12,10: (55255,0,514,65535)  #D70002FF  srgba(215,0,2,1)
13,10: (55255,12336,12593,65535)  #D73031FF  srgba(215,48,49,1)
14,10: (55255,43947,41891,65535)  #D7ABA3FF  srgba(215,171,163,1)
15,10: (55512,0,0,65535)  #D80000FF  srgba(216,0,0,1)
0,11: (55512,0,0,65535)  #D80000FF  srgba(216,0,0,1)
1,11: (55512,56283,12336,65535)  #D8DB30FF  srgba(216,219,48,1)
2,11: (55769,22359,35466,65535)  #D9578AFF  srgba(217,87,138,1)
3,11: (55769,47802,28270,65535)  #D9BA6EFF  srgba(217,186,110,1)
4,11: (55769,52942,19532,65535)  #D9CE4CFF  srgba(217,206,76,1)
5,11: (56026,33667,3341,65535)  #DA830DFF  srgba(218,131,13,1)
6,11: (56283,60138,2056,65535)  #DBEA08FF  srgba(219,234,8,1)
7,11: (56797,37008,12336,65535)  #DD9030FF  srgba(221,144,48,1)
8,11: (56797,49087,3084,65535)  #DDBF0CFF  srgba(221,191,12,1)
9,11: (57054,7196,0,65535)  #DE1C00FF  srgba(222,28,0,1)
10,11: (57054,55769,0,65535)  #DED900FF  srgba(222,217,0,1)
11,11: (57311,0,0,65535)  #DF0000FF  srgba(223,0,0,1)
