# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,257,65535)  #000001FF  srgba(0,0,1,1)
2,0: (0,257,0,65535)  #000100FF  srgba(0,1,0,1)
3,0: (0,514,0,65535)  #000200FF  srgba(0,2,0,1)
4,0: (257,0,514,65535)  #010002FF  srgba(1,0,2,1)
5,0: (257,257,0,65535)  #010100FF  srgba(1,1,0,1)
6,0: (257,257,257,65535)  #010101FF  srgba(1,1,1,1)
7,0: (257,771,0,65535)  #010300FF  srgba(1,3,0,1)
8,0: (257,1285,1285,65535)  #010505FF  srgba(1,5,5,1)
9,0: (257,1542,514,65535)  #010602FF  srgba(1,6,2,1)
10,0: (514,514,514,65535)  #020202FF  srgba(2,2,2,1)
11,0: (514,514,1285,65535)  #020205FF  srgba(2,2,5,1)
12,0: (514,771,257,65535)  #020301FF  srgba(2,3,1,1)
13,0: (514,1285,0,65535)  #020500FF  srgba(2,5,0,1)
14,0: (771,257,514,65535)  #030102FF  srgba(3,1,2,1)
15,0: (771,771,771,65535)  #030303FF  grey1
0,1: (771,1285,514,65535)  #030502FF  srgba(3,5,2,1)
1,1: (771,1285,1285,65535)  #030505FF  srgba(3,5,5,1)
2,1: (771,1542,1542,65535)  #030606FF  srgba(3,6,6,1)
3,1: (1028,771,257,65535)  #040301FF  srgba(4,3,1,1)
4,1: (1028,1028,1028,65535)  #040404FF  srgba(4,4,4,1)
5,1: (1028,1542,257,65535)  #040601FF  srgba(4,6,1,1)
6,1: (1028,1542,771,65535)  #040603FF  srgba(4,6,3,1)
7,1: (1285,771,1542,65535)  #050306FF  srgba(5,3,6,1)
8,1: (1285,1028,0,65535)  #050400FF  srgba(5,4,0,1)
9,1: (1285,1285,514,65535)  #050502FF  srgba(5,5,2,1)
10,1: (1285,1285,1285,65535)  #050505FF  grey2
11,1: (1285,2056,1799,65535)  #050807FF  srgba(5,8,7,1)
12,1: (1542,1028,1799,65535)  #060407FF  srgba(6,4,7,1)
13,1: (1542,1542,771,65535)  #060603FF  srgba(6,6,3,1)
14,1: (1542,1542,1542,65535)  #060606FF  srgba(6,6,6,1)
