# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,514,65535)  #000002FF  srgba(0,0,2,1)
2,0: (0,0,771,65535)  #000003FF  srgba(0,0,3,1)
3,0: (0,0,1028,65535)  #000004FF  srgba(0,0,4,1)
4,0: (0,0,1542,65535)  #000006FF  srgba(0,0,6,1)
5,0: (0,0,2056,65535)  #000008FF  srgba(0,0,8,1)
6,0: (0,0,3341,65535)  #00000DFF  srgba(0,0,13,1)
7,0: (0,0,3855,65535)  #00000FFF  srgba(0,0,15,1)
8,0: (0,0,4369,65535)  #000011FF  srgba(0,0,17,1)
9,0: (0,0,4883,65535)  #000013FF  srgba(0,0,19,1)
10,0: (0,0,5397,65535)  #000015FF  srgba(0,0,21,1)
11,0: (0,0,6168,65535)  #000018FF  srgba(0,0,24,1)
12,0: (0,0,6682,65535)  #00001AFF  srgba(0,0,26,1)
13,0: (0,0,7196,65535)  #00001CFF  srgba(0,0,28,1)
14,0: (0,0,7710,65535)  #00001EFF  srgba(0,0,30,1)
15,0: (0,0,8224,65535)  #000020FF  srgba(0,0,32,1)
0,1: (0,0,8995,65535)  #000023FF  srgba(0,0,35,1)
1,1: (0,0,10280,65535)  #000028FF  srgba(0,0,40,1)
2,1: (0,0,10794,65535)  #00002AFF  srgba(0,0,42,1)
3,1: (0,0,11565,65535)  #00002DFF  srgba(0,0,45,1)
4,1: (0,0,11822,65535)  #00002EFF  srgba(0,0,46,1)
5,1: (0,0,12336,65535)  #000030FF  srgba(0,0,48,1)
6,1: (0,0,12850,65535)  #000032FF  srgba(0,0,50,1)
7,1: (0,0,13878,65535)  #000036FF  srgba(0,0,54,1)
8,1: (0,0,15163,65535)  #00003BFF  srgba(0,0,59,1)
9,1: (0,0,15934,65535)  #00003EFF  srgba(0,0,62,1)
10,1: (0,0,16705,65535)  #000041FF  srgba(0,0,65,1)
11,1: (0,0,16962,65535)  #000042FF  srgba(0,0,66,1)
12,1: (0,0,17990,65535)  #000046FF  srgba(0,0,70,1)
13,1: (0,0,19018,65535)  #00004AFF  srgba(0,0,74,1)
14,1: (0,0,19789,65535)  #00004DFF  srgba(0,0,77,1)
15,1: (0,0,20817,65535)  #000051FF  srgba(0,0,81,1)
0,2: (0,0,20817,65535)  #000051FF  srgba(0,0,81,1)
1,2: (0,0,22102,65535)  #000056FF  srgba(0,0,86,1)
2,2: (0,0,23387,65535)  #00005BFF  srgba(0,0,91,1)
3,2: (0,0,23644,65535)  #00005CFF  srgba(0,0,92,1)
4,2: (0,0,24415,65535)  #00005FFF  srgba(0,0,95,1)
5,2: (0,0,24929,65535)  #000061FF  srgba(0,0,97,1)
6,2: (0,0,25957,65535)  #000065FF  srgba(0,0,101,1)
7,2: (0,0,27242,65535)  #00006AFF  srgba(0,0,106,1)
8,2: (0,0,28013,65535)  #00006DFF  srgba(0,0,109,1)
9,2: (0,0,28270,65535)  #00006EFF  srgba(0,0,110,1)
10,2: (0,0,28784,65535)  #000070FF  srgba(0,0,112,1)
11,2: (0,0,29041,65535)  #000071FF  srgba(0,0,113,1)
12,2: (0,0,29812,65535)  #000074FF  srgba(0,0,116,1)
13,2: (0,0,31354,65535)  #00007AFF  srgba(0,0,122,1)
14,2: (0,0,32125,65535)  #00007DFF  srgba(0,0,125,1)
15,2: (0,0,32896,65535)  #000080FF  navy
0,3: (0,0,33410,65535)  #000082FF  srgba(0,0,130,1)
1,3: (0,0,33924,65535)  #000084FF  srgba(0,0,132,1)
2,3: (0,0,34952,65535)  #000088FF  srgba(0,0,136,1)
3,3: (0,0,35723,65535)  #00008BFF  DarkBlue
4,3: (0,0,36494,65535)  #00008EFF  srgba(0,0,142,1)
5,3: (0,0,37008,65535)  #000090FF  srgba(0,0,144,1)
6,3: (0,0,37779,65535)  #000093FF  srgba(0,0,147,1)
7,3: (0,0,38550,65535)  #000096FF  srgba(0,0,150,1)
8,3: (0,0,39578,65535)  #00009AFF  srgba(0,0,154,1)
9,3: (0,0,40606,65535)  #00009EFF  srgba(0,0,158,1)
10,3: (0,0,41891,65535)  #0000A3FF  srgba(0,0,163,1)
11,3: (0,0,43176,65535)  #0000A8FF  srgba(0,0,168,1)
12,3: (0,0,43947,65535)  #0000ABFF  srgba(0,0,171,1)
13,3: (0,0,44461,65535)  #0000ADFF  srgba(0,0,173,1)
14,3: (0,0,44718,65535)  #0000AEFF  srgba(0,0,174,1)
15,3: (0,0,45232,65535)  #0000B0FF  srgba(0,0,176,1)
0,4: (0,0,45746,65535)  #0000B2FF  srgba(0,0,178,1)
1,4: (0,0,46003,65535)  #0000B3FF  srgba(0,0,179,1)
2,4: (0,0,47288,65535)  #0000B8FF  srgba(0,0,184,1)
3,4: (0,0,48059,65535)  #0000BBFF  srgba(0,0,187,1)
4,4: (0,0,49087,65535)  #0000BFFF  srgba(0,0,191,1)
5,4: (0,0,49087,65535)  #0000BFFF  srgba(0,0,191,1)
6,4: (0,0,50372,65535)  #0000C4FF  srgba(0,0,196,1)
7,4: (0,0,52171,65535)  #0000CBFF  srgba(0,0,203,1)
8,4: (0,0,52428,65535)  #0000CCFF  srgba(0,0,204,1)
9,4: (0,0,53713,65535)  #0000D1FF  srgba(0,0,209,1)
10,4: (0,0,54484,65535)  #0000D4FF  srgba(0,0,212,1)
11,4: (0,0,55769,65535)  #0000D9FF  srgba(0,0,217,1)
12,4: (0,0,57568,65535)  #0000E0FF  srgba(0,0,224,1)
13,4: (0,0,57825,65535)  #0000E1FF  srgba(0,0,225,1)
14,4: (0,257,257,65535)  #000101FF  srgba(0,1,1,1)
15,4: (0,257,4883,65535)  #000113FF  srgba(0,1,19,1)
0,5: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
1,5: (257,0,514,65535)  #010002FF  srgba(1,0,2,1)
2,5: (257,0,1542,65535)  #010006FF  srgba(1,0,6,1)
3,5: (257,0,2313,65535)  #010009FF  srgba(1,0,9,1)
4,5: (257,0,2570,65535)  #01000AFF  srgba(1,0,10,1)
5,5: (257,0,3084,65535)  #01000CFF  srgba(1,0,12,1)
6,5: (257,0,3598,65535)  #01000EFF  srgba(1,0,14,1)
7,5: (257,0,5911,65535)  #010017FF  srgba(1,0,23,1)
8,5: (257,0,8995,65535)  #010023FF  srgba(1,0,35,1)
9,5: (257,0,8995,65535)  #010023FF  srgba(1,0,35,1)
10,5: (257,0,10794,65535)  #01002AFF  srgba(1,0,42,1)
11,5: (257,0,14135,65535)  #010037FF  srgba(1,0,55,1)
