# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (257,257,257,65535)  #010101FF  srgba(1,1,1,1)
2,0: (514,514,257,65535)  #020201FF  srgba(2,2,1,1)
3,0: (514,1028,257,65535)  #020401FF  srgba(2,4,1,1)
4,0: (771,771,771,65535)  #030303FF  grey1
5,0: (1028,1028,257,65535)  #040401FF  srgba(4,4,1,1)
6,0: (1028,1028,1028,65535)  #040404FF  srgba(4,4,4,1)
7,0: (1285,1542,1285,65535)  #050605FF  srgba(5,6,5,1)
8,0: (2056,1799,2570,65535)  #08070AFF  srgba(8,7,10,1)
9,0: (2056,2056,1799,65535)  #080807FF  srgba(8,8,7,1)
10,0: (2313,2313,2313,65535)  #090909FF  srgba(9,9,9,1)
11,0: (2570,2570,2570,65535)  #0A0A0AFF  grey4
12,0: (2570,2570,3084,65535)  #0A0A0CFF  srgba(10,10,12,1)
13,0: (2827,2827,2827,65535)  #0B0B0BFF  srgba(11,11,11,1)
14,0: (3084,2827,3598,65535)  #0C0B0EFF  srgba(12,11,14,1)
15,0: (3084,3084,2313,65535)  #0C0C09FF  srgba(12,12,9,1)
0,1: (3084,3084,3084,65535)  #0C0C0CFF  srgba(12,12,12,1)
1,1: (3084,3341,3598,65535)  #0C0D0EFF  srgba(12,13,14,1)
2,1: (3341,3341,3341,65535)  #0D0D0DFF  grey5
3,1: (3598,3598,2827,65535)  #0E0E0BFF  srgba(14,14,11,1)
4,1: (3598,4112,3855,65535)  #0E100FFF  srgba(14,16,15,1)
5,1: (3855,3855,3855,65535)  #0F0F0FFF  grey6
6,1: (4112,4112,3341,65535)  #10100DFF  srgba(16,16,13,1)
7,1: (4112,4112,4112,65535)  #101010FF  srgba(16,16,16,1)
8,1: (4112,4112,4626,65535)  #101012FF  srgba(16,16,18,1)
9,1: (4112,4626,3855,65535)  #10120FFF  srgba(16,18,15,1)
10,1: (4369,4369,3084,65535)  #11110CFF  srgba(17,17,12,1)
11,1: (4369,4369,4369,65535)  #111111FF  srgba(17,17,17,1)
12,1: (4626,4626,3855,65535)  #12120FFF  srgba(18,18,15,1)
13,1: (4626,4626,4626,65535)  #121212FF  grey7
14,1: (4626,4883,5140,65535)  #121314FF  srgba(18,19,20,1)
15,1: (4883,4883,4883,65535)  #131313FF  srgba(19,19,19,1)
0,2: (5140,5140,5140,65535)  #141414FF  grey8
1,2: (5397,5654,4883,65535)  #151613FF  srgba(21,22,19,1)
2,2: (5654,5397,5654,65535)  #161516FF  srgba(22,21,22,1)
3,2: (5911,5654,6425,65535)  #171619FF  srgba(23,22,25,1)
4,2: (5911,5911,5140,65535)  #171714FF  srgba(23,23,20,1)
5,2: (5911,5911,5911,65535)  #171717FF  grey9
6,2: (5911,6425,6425,65535)  #171919FF  srgba(23,25,25,1)
7,2: (6168,6168,6168,65535)  #181818FF  srgba(24,24,24,1)
8,2: (6425,6425,6425,65535)  #191919FF  srgba(25,25,25,1)
9,2: (6682,6682,6682,65535)  #1A1A1AFF  grey10
10,2: (6939,6682,7453,65535)  #1B1A1DFF  srgba(27,26,29,1)
11,2: (6939,6939,6682,65535)  #1B1B1AFF  srgba(27,27,26,1)
12,2: (7196,7710,7196,65535)  #1C1E1CFF  srgba(28,30,28,1)
13,2: (7453,7453,7453,65535)  #1D1D1DFF  srgba(29,29,29,1)
14,2: (7453,7710,7710,65535)  #1D1E1EFF  srgba(29,30,30,1)
15,2: (7710,8224,8224,65535)  #1E2020FF  srgba(30,32,32,1)
0,3: (7967,7710,8481,65535)  #1F1E21FF  srgba(31,30,33,1)
1,3: (7967,7967,7710,65535)  #1F1F1EFF  srgba(31,31,30,1)
2,3: (8224,8224,8224,65535)  #202020FF  srgba(32,32,32,1)
3,3: (8224,8481,8738,65535)  #202122FF  srgba(32,33,34,1)
4,3: (8481,8481,8481,65535)  #212121FF  grey13
5,3: (8738,8738,7967,65535)  #22221FFF  srgba(34,34,31,1)
6,3: (8738,8738,8738,65535)  #222222FF  srgba(34,34,34,1)
7,3: (9252,9252,9252,65535)  #242424FF  grey14
8,3: (9252,9509,8738,65535)  #242522FF  srgba(36,37,34,1)
9,3: (9252,9509,9509,65535)  #242525FF  srgba(36,37,37,1)
10,3: (9509,9766,10023,65535)  #252627FF  srgba(37,38,39,1)
11,3: (9766,9766,9509,65535)  #262625FF  srgba(38,38,37,1)
