# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,1542,65535)  #000006FF  srgba(0,0,6,1)
2,0: (0,0,2313,65535)  #000009FF  srgba(0,0,9,1)
3,0: (0,0,3598,65535)  #00000EFF  srgba(0,0,14,1)
4,0: (0,0,4112,65535)  #000010FF  srgba(0,0,16,1)
5,0: (0,0,4883,65535)  #000013FF  srgba(0,0,19,1)
6,0: (0,0,5654,65535)  #000016FF  srgba(0,0,22,1)
7,0: (0,0,5911,65535)  #000017FF  srgba(0,0,23,1)
8,0: (0,0,6168,65535)  #000018FF  srgba(0,0,24,1)
9,0: (0,0,6425,65535)  #000019FF  srgba(0,0,25,1)
10,0: (0,0,6682,65535)  #00001AFF  srgba(0,0,26,1)
11,0: (0,0,6939,65535)  #00001BFF  srgba(0,0,27,1)
12,0: (0,0,7453,65535)  #00001DFF  srgba(0,0,29,1)
13,0: (0,0,7967,65535)  #00001FFF  srgba(0,0,31,1)
14,0: (0,0,9252,65535)  #000024FF  srgba(0,0,36,1)
15,0: (0,0,11051,65535)  #00002BFF  srgba(0,0,43,1)
0,1: (0,0,12336,65535)  #000030FF  srgba(0,0,48,1)
1,1: (0,0,13107,65535)  #000033FF  srgba(0,0,51,1)
2,1: (0,0,13878,65535)  #000036FF  srgba(0,0,54,1)
3,1: (0,0,14392,65535)  #000038FF  srgba(0,0,56,1)
4,1: (0,0,14649,65535)  #000039FF  srgba(0,0,57,1)
5,1: (0,0,14906,65535)  #00003AFF  srgba(0,0,58,1)
6,1: (0,0,15420,65535)  #00003CFF  srgba(0,0,60,1)
7,1: (0,0,15934,65535)  #00003EFF  srgba(0,0,62,1)
8,1: (0,0,16448,65535)  #000040FF  srgba(0,0,64,1)
9,1: (0,0,17476,65535)  #000044FF  srgba(0,0,68,1)
10,1: (0,0,18504,65535)  #000048FF  srgba(0,0,72,1)
11,1: (0,0,19018,65535)  #00004AFF  srgba(0,0,74,1)
12,1: (0,0,19789,65535)  #00004DFF  srgba(0,0,77,1)
13,1: (0,0,21074,65535)  #000052FF  srgba(0,0,82,1)
14,1: (0,0,21331,65535)  #000053FF  srgba(0,0,83,1)
15,1: (0,0,22102,65535)  #000056FF  srgba(0,0,86,1)
0,2: (0,0,23130,65535)  #00005AFF  srgba(0,0,90,1)
1,2: (0,0,24158,65535)  #00005EFF  srgba(0,0,94,1)
2,2: (0,0,24929,65535)  #000061FF  srgba(0,0,97,1)
3,2: (0,0,24929,65535)  #000061FF  srgba(0,0,97,1)
4,2: (0,0,25443,65535)  #000063FF  srgba(0,0,99,1)
5,2: (0,0,26728,65535)  #000068FF  srgba(0,0,104,1)
6,2: (0,0,28013,65535)  #00006DFF  srgba(0,0,109,1)
7,2: (0,0,29298,65535)  #000072FF  srgba(0,0,114,1)
8,2: (0,0,29555,65535)  #000073FF  srgba(0,0,115,1)
9,2: (0,0,30840,65535)  #000078FF  srgba(0,0,120,1)
10,2: (0,0,31097,65535)  #000079FF  srgba(0,0,121,1)
11,2: (0,0,32382,65535)  #00007EFF  srgba(0,0,126,1)
12,2: (0,0,32382,65535)  #00007EFF  srgba(0,0,126,1)
13,2: (0,0,33924,65535)  #000084FF  srgba(0,0,132,1)
14,2: (0,0,34181,65535)  #000085FF  srgba(0,0,133,1)
15,2: (0,0,35723,65535)  #00008BFF  DarkBlue
0,3: (0,0,37265,65535)  #000091FF  srgba(0,0,145,1)
1,3: (0,0,37779,65535)  #000093FF  srgba(0,0,147,1)
2,3: (0,0,39835,65535)  #00009BFF  srgba(0,0,155,1)
3,3: (0,0,39835,65535)  #00009BFF  srgba(0,0,155,1)
4,3: (0,0,42405,65535)  #0000A5FF  srgba(0,0,165,1)
5,3: (0,0,43433,65535)  #0000A9FF  srgba(0,0,169,1)
6,3: (0,0,44718,65535)  #0000AEFF  srgba(0,0,174,1)
7,3: (0,0,45746,65535)  #0000B2FF  srgba(0,0,178,1)
8,3: (0,0,47031,65535)  #0000B7FF  srgba(0,0,183,1)
9,3: (0,0,47031,65535)  #0000B7FF  srgba(0,0,183,1)
10,3: (0,0,48316,65535)  #0000BCFF  srgba(0,0,188,1)
11,3: (0,0,49601,65535)  #0000C1FF  srgba(0,0,193,1)
12,3: (0,0,49858,65535)  #0000C2FF  srgba(0,0,194,1)
13,3: (0,0,51143,65535)  #0000C7FF  srgba(0,0,199,1)
14,3: (0,0,52171,65535)  #0000CBFF  srgba(0,0,203,1)
15,3: (0,0,52685,65535)  #0000CDFF  MediumBlue
0,4: (0,0,53199,65535)  #0000CFFF  srgba(0,0,207,1)
1,4: (0,0,54484,65535)  #0000D4FF  srgba(0,0,212,1)
2,4: (0,0,54484,65535)  #0000D4FF  srgba(0,0,212,1)
3,4: (0,0,56283,65535)  #0000DBFF  srgba(0,0,219,1)
4,4: (0,0,58082,65535)  #0000E2FF  srgba(0,0,226,1)
5,4: (0,0,59624,65535)  #0000E8FF  srgba(0,0,232,1)
6,4: (0,0,60909,65535)  #0000EDFF  srgba(0,0,237,1)
7,4: (0,257,6939,65535)  #00011BFF  srgba(0,1,27,1)
8,4: (0,257,17476,65535)  #000144FF  srgba(0,1,68,1)
9,4: (0,257,24158,65535)  #00015EFF  srgba(0,1,94,1)
10,4: (0,257,56026,65535)  #0001DAFF  srgba(0,1,218,1)
11,4: (0,514,3855,65535)  #00020FFF  srgba(0,2,15,1)
12,4: (0,514,4883,65535)  #000213FF  srgba(0,2,19,1)
13,4: (0,514,21331,65535)  #000253FF  srgba(0,2,83,1)
14,4: (0,514,28013,65535)  #00026DFF  srgba(0,2,109,1)
15,4: (0,514,38807,65535)  #000297FF  srgba(0,2,151,1)
0,5: (0,514,62451,65535)  #0002F3FF  srgba(0,2,243,1)
1,5: (0,771,3084,65535)  #00030CFF  srgba(0,3,12,1)
2,5: (0,771,10023,65535)  #000327FF  srgba(0,3,39,1)
3,5: (0,771,13107,65535)  #000333FF  srgba(0,3,51,1)
4,5: (0,771,48059,65535)  #0003BBFF  srgba(0,3,187,1)
5,5: (0,771,50886,65535)  #0003C6FF  srgba(0,3,198,1)
6,5: (0,771,53970,65535)  #0003D2FF  srgba(0,3,210,1)
7,5: (0,1028,1285,65535)  #000405FF  srgba(0,4,5,1)
8,5: (0,1028,2313,65535)  #000409FF  srgba(0,4,9,1)
9,5: (0,1542,4883,65535)  #000613FF  srgba(0,6,19,1)
10,5: (0,1799,3598,65535)  #00070EFF  srgba(0,7,14,1)
11,5: (0,1799,42148,65535)  #0007A4FF  srgba(0,7,164,1)
12,5: (0,1799,44975,65535)  #0007AFFF  srgba(0,7,175,1)
13,5: (0,1799,63993,65535)  #0007F9FF  srgba(0,7,249,1)
14,5: (0,2056,20560,65535)  #000850FF  srgba(0,8,80,1)
15,5: (0,2056,23901,65535)  #00085DFF  srgba(0,8,93,1)
0,6: (0,2056,33410,65535)  #000882FF  srgba(0,8,130,1)
1,6: (0,2570,2827,65535)  #000A0BFF  srgba(0,10,11,1)
2,6: (0,2827,1028,65535)  #000B04FF  srgba(0,11,4,1)
3,6: (0,2827,4112,65535)  #000B10FF  srgba(0,11,16,1)
4,6: (0,3084,11051,65535)  #000C2BFF  srgba(0,12,43,1)
5,6: (0,3341,17476,65535)  #000D44FF  srgba(0,13,68,1)
6,6: (0,3598,4112,65535)  #000E10FF  srgba(0,14,16,1)
7,6: (0,3598,36751,65535)  #000E8FFF  srgba(0,14,143,1)
8,6: (0,3598,39321,65535)  #000E99FF  srgba(0,14,153,1)
9,6: (0,3855,2570,65535)  #000F0AFF  srgba(0,15,10,1)
