# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,257,0,65535)  #000100FF  srgba(0,1,0,1)
2,0: (0,257,0,65535)  #000100FF  srgba(0,1,0,1)
3,0: (0,257,514,65535)  #000102FF  srgba(0,1,2,1)
4,0: (0,514,0,65535)  #000200FF  srgba(0,2,0,1)
5,0: (0,1542,1542,65535)  #000606FF  srgba(0,6,6,1)
6,0: (0,1799,0,65535)  #000700FF  srgba(0,7,0,1)
7,0: (0,1799,0,65535)  #000700FF  srgba(0,7,0,1)
8,0: (0,4626,0,65535)  #001200FF  srgba(0,18,0,1)
9,0: (0,6425,0,65535)  #001900FF  srgba(0,25,0,1)
10,0: (0,7967,0,65535)  #001F00FF  srgba(0,31,0,1)
11,0: (0,9252,0,65535)  #002400FF  srgba(0,36,0,1)
12,0: (0,11308,0,65535)  #002C00FF  srgba(0,44,0,1)
13,0: (0,12593,0,65535)  #003100FF  srgba(0,49,0,1)
14,0: (0,15420,0,65535)  #003C00FF  srgba(0,60,0,1)
15,0: (0,18504,0,65535)  #004800FF  srgba(0,72,0,1)
0,1: (0,21845,0,65535)  #005500FF  srgba(0,85,0,1)
1,1: (0,25700,0,65535)  #006400FF  DarkGreen
2,1: (0,30583,0,65535)  #007700FF  srgba(0,119,0,1)
3,1: (0,65535,0,65535)  #00FF00FF  lime
4,1: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
5,1: (257,0,1285,65535)  #010005FF  srgba(1,0,5,1)
6,1: (257,257,514,65535)  #010102FF  srgba(1,1,2,1)
7,1: (257,14649,514,65535)  #013902FF  srgba(1,57,2,1)
8,1: (257,35980,0,65535)  #018C00FF  srgba(1,140,0,1)
9,1: (257,41120,0,65535)  #01A000FF  srgba(1,160,0,1)
10,1: (257,43947,0,65535)  #01AB00FF  srgba(1,171,0,1)
11,1: (257,46260,0,65535)  #01B400FF  srgba(1,180,0,1)
12,1: (257,47288,0,65535)  #01B800FF  srgba(1,184,0,1)
13,1: (257,49858,0,65535)  #01C200FF  srgba(1,194,0,1)
14,1: (257,51143,0,65535)  #01C700FF  srgba(1,199,0,1)
15,1: (257,51657,0,65535)  #01C900FF  srgba(1,201,0,1)
0,2: (257,52685,0,65535)  #01CD00FF  srgba(1,205,0,1)
1,2: (257,53199,0,65535)  #01CF00FF  srgba(1,207,0,1)
2,2: (257,53970,0,65535)  #01D200FF  srgba(1,210,0,1)
3,2: (514,514,0,65535)  #020200FF  srgba(2,2,0,1)
4,2: (514,15163,5654,65535)  #023B16FF  srgba(2,59,22,1)
5,2: (514,15934,8481,65535)  #023E21FF  srgba(2,62,33,1)
6,2: (514,18247,13107,65535)  #024733FF  srgba(2,71,51,1)
7,2: (514,26985,5654,65535)  #026916FF  srgba(2,105,22,1)
8,2: (514,47802,0,65535)  #02BA00FF  srgba(2,186,0,1)
9,2: (514,49858,0,65535)  #02C200FF  srgba(2,194,0,1)
10,2: (514,51143,0,65535)  #02C700FF  srgba(2,199,0,1)
11,2: (514,52171,0,65535)  #02CB00FF  srgba(2,203,0,1)
12,2: (514,53970,0,65535)  #02D200FF  srgba(2,210,0,1)
13,2: (514,57054,0,65535)  #02DE00FF  srgba(2,222,0,1)
14,2: (514,57568,0,65535)  #02E000FF  srgba(2,224,0,1)
15,2: (514,59367,0,65535)  #02E700FF  srgba(2,231,0,1)
0,3: (514,65535,0,65535)  #02FF00FF  srgba(2,255,0,1)
1,3: (771,771,0,65535)  #030300FF  srgba(3,3,0,1)
2,3: (771,15420,2570,65535)  #033C0AFF  srgba(3,60,10,1)
3,3: (771,24415,2313,65535)  #035F09FF  srgba(3,95,9,1)
4,3: (771,25186,514,65535)  #036202FF  srgba(3,98,2,1)
5,3: (771,27499,8738,65535)  #036B22FF  srgba(3,107,34,1)
6,3: (771,29298,14135,65535)  #037237FF  srgba(3,114,55,1)
7,3: (771,43947,514,65535)  #03AB02FF  srgba(3,171,2,1)
8,3: (771,49601,257,65535)  #03C101FF  srgba(3,193,1,1)
