# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,514,65535)  #000002FF  srgba(0,0,2,1)
2,0: (0,514,0,65535)  #000200FF  srgba(0,2,0,1)
3,0: (0,514,514,65535)  #000202FF  srgba(0,2,2,1)
4,0: (0,771,0,65535)  #000300FF  srgba(0,3,0,1)
5,0: (0,1028,0,65535)  #000400FF  srgba(0,4,0,1)
6,0: (0,1028,0,65535)  #000400FF  srgba(0,4,0,1)
7,0: (0,1028,0,65535)  #000400FF  srgba(0,4,0,1)
8,0: (0,1542,0,65535)  #000600FF  srgba(0,6,0,1)
9,0: (0,1799,0,65535)  #000700FF  srgba(0,7,0,1)
10,0: (0,2056,0,65535)  #000800FF  srgba(0,8,0,1)
11,0: (0,2313,257,65535)  #000901FF  srgba(0,9,1,1)
12,0: (0,2827,0,65535)  #000B00FF  srgba(0,11,0,1)
13,0: (0,3084,257,65535)  #000C01FF  srgba(0,12,1,1)
14,0: (0,3341,0,65535)  #000D00FF  srgba(0,13,0,1)
15,0: (0,3855,0,65535)  #000F00FF  srgba(0,15,0,1)
0,1: (0,4112,0,65535)  #001000FF  srgba(0,16,0,1)
1,1: (0,4369,0,65535)  #001100FF  srgba(0,17,0,1)
2,1: (0,4369,0,65535)  #001100FF  srgba(0,17,0,1)
3,1: (0,5397,514,65535)  #001502FF  srgba(0,21,2,1)
4,1: (0,5654,0,65535)  #001600FF  srgba(0,22,0,1)
5,1: (0,5654,0,65535)  #001600FF  srgba(0,22,0,1)
6,1: (0,5911,0,65535)  #001700FF  srgba(0,23,0,1)
7,1: (0,6682,0,65535)  #001A00FF  srgba(0,26,0,1)
8,1: (0,8224,0,65535)  #002000FF  srgba(0,32,0,1)
9,1: (0,8224,0,65535)  #002000FF  srgba(0,32,0,1)
10,1: (0,8738,0,65535)  #002200FF  srgba(0,34,0,1)
11,1: (0,9252,0,65535)  #002400FF  srgba(0,36,0,1)
12,1: (0,10537,0,65535)  #002900FF  srgba(0,41,0,1)
13,1: (0,11051,0,65535)  #002B00FF  srgba(0,43,0,1)
14,1: (0,11308,0,65535)  #002C00FF  srgba(0,44,0,1)
15,1: (0,12336,0,65535)  #003000FF  srgba(0,48,0,1)
0,2: (0,13107,0,65535)  #003300FF  srgba(0,51,0,1)
1,2: (0,13878,0,65535)  #003600FF  srgba(0,54,0,1)
2,2: (0,14392,0,65535)  #003800FF  srgba(0,56,0,1)
3,2: (0,16191,0,65535)  #003F00FF  srgba(0,63,0,1)
4,2: (0,17476,0,65535)  #004400FF  srgba(0,68,0,1)
5,2: (0,18247,0,65535)  #004700FF  srgba(0,71,0,1)
6,2: (0,19789,0,65535)  #004D00FF  srgba(0,77,0,1)
7,2: (0,20560,0,65535)  #005000FF  srgba(0,80,0,1)
8,2: (0,20560,257,65535)  #005001FF  srgba(0,80,1,1)
9,2: (0,23130,0,65535)  #005A00FF  srgba(0,90,0,1)
10,2: (0,24929,0,65535)  #006100FF  srgba(0,97,0,1)
11,2: (0,25700,0,65535)  #006400FF  DarkGreen
12,2: (0,26985,0,65535)  #006900FF  srgba(0,105,0,1)
13,2: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
14,2: (257,257,257,65535)  #010101FF  srgba(1,1,1,1)
15,2: (257,1542,0,65535)  #010600FF  srgba(1,6,0,1)
0,3: (257,6939,0,65535)  #011B00FF  srgba(1,27,0,1)
1,3: (257,7453,0,65535)  #011D00FF  srgba(1,29,0,1)
2,3: (514,0,514,65535)  #020002FF  srgba(2,0,2,1)
3,3: (514,1542,0,65535)  #020600FF  srgba(2,6,0,1)
4,3: (514,3855,0,65535)  #020F00FF  srgba(2,15,0,1)
5,3: (514,4626,514,65535)  #021202FF  srgba(2,18,2,1)
6,3: (514,12850,0,65535)  #023200FF  srgba(2,50,0,1)
7,3: (771,7967,514,65535)  #031F02FF  srgba(3,31,2,1)
8,3: (771,12593,771,65535)  #033103FF  srgba(3,49,3,1)
