# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,0,65535)  #000000FF  black
1,0: (0,0,771,65535)  #000003FF  srgba(0,0,3,1)
2,0: (0,0,2056,65535)  #000008FF  srgba(0,0,8,1)
3,0: (0,0,4369,65535)  #000011FF  srgba(0,0,17,1)
4,0: (0,0,6682,65535)  #00001AFF  srgba(0,0,26,1)
5,0: (0,0,8481,65535)  #000021FF  srgba(0,0,33,1)
6,0: (0,0,10537,65535)  #000029FF  srgba(0,0,41,1)
7,0: (0,0,12593,65535)  #000031FF  srgba(0,0,49,1)
8,0: (0,0,16191,65535)  #00003FFF  srgba(0,0,63,1)
9,0: (0,0,19275,65535)  #00004BFF  srgba(0,0,75,1)
10,0: (0,0,21331,65535)  #000053FF  srgba(0,0,83,1)
11,0: (0,0,23901,65535)  #00005DFF  srgba(0,0,93,1)
12,0: (0,0,25186,65535)  #000062FF  srgba(0,0,98,1)
13,0: (0,0,26985,65535)  #000069FF  srgba(0,0,105,1)
14,0: (0,0,28270,65535)  #00006EFF  srgba(0,0,110,1)
15,0: (0,0,29812,65535)  #000074FF  srgba(0,0,116,1)
0,1: (0,0,32896,65535)  #000080FF  navy
1,1: (0,0,35723,65535)  #00008BFF  DarkBlue
2,1: (0,0,38293,65535)  #000095FF  srgba(0,0,149,1)
3,1: (0,0,41120,65535)  #0000A0FF  srgba(0,0,160,1)
4,1: (0,0,43947,65535)  #0000ABFF  srgba(0,0,171,1)
5,1: (0,257,0,65535)  #000100FF  srgba(0,1,0,1)
6,1: (0,257,47031,65535)  #0001B7FF  srgba(0,1,183,1)
7,1: (0,257,49344,65535)  #0001C0FF  srgba(0,1,192,1)
8,1: (0,257,50886,65535)  #0001C6FF  srgba(0,1,198,1)
9,1: (0,514,52171,65535)  #0002CBFF  srgba(0,2,203,1)
10,1: (0,514,54998,65535)  #0002D6FF  srgba(0,2,214,1)
11,1: (257,0,0,65535)  #010000FF  srgba(1,0,0,1)
12,1: (257,257,257,65535)  #010101FF  srgba(1,1,1,1)
